old_period,new_period,change_date,entered_contemporaneous_parties,left_contemporaneous_parties,change_status,old_composition_status,new_composition_status,raw_minister_events,decision_ids,data_version,release_metadata_sha256
dilma_2-2015-01-01,dilma_2-2015-03-19,2015-03-19,,PROS,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-dilma_rousseff-1-39:Cid Gomes:Ministério da Educação | service_start:service-dilma_rousseff-1-40:Luiz Cláudio Costa:Ministério da Educação | affiliation_end:affiliation-046ac4ccc1d3:PARTY:PROS | affiliation_start:affiliation-8fb8dd8f1887:PARTY:PT,C009;C021;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
dilma_2-2015-03-19,dilma_2-2016-03-18,2016-03-18,PROS,REPUBLICANOS,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-d627a715ad62:Luiz Inácio Lula da Silva:Casa Civil | service_start:service-dilma_rousseff-1-15:Eva Chiavon:Casa Civil | affiliation_end:affiliation-1e430540f85f:PARTY:REPUBLICANOS | affiliation_end:affiliation-ff30b0174398:PARTY:PT | affiliation_start:affiliation-634e3f7dfa5f:PARTY:PROS,C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
dilma_2-2016-03-18,dilma_2-2016-03-31,2016-03-31,,PROS,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-dilma_rousseff-1-43:George Hilton:Ministério do Esporte | service_start:service-dilma_rousseff-1-44:Ricardo Leyser:Ministério do Esporte | affiliation_end:affiliation-0b6f459ac1e7:PARTY:MDB | affiliation_end:affiliation-17b5cdf8e9ca:PARTY:MDB | affiliation_end:affiliation-2e5a9f3d642a:PARTY:MDB | affiliation_end:affiliation-30697884737b:PARTY:MDB | affiliation_end:affiliation-634e3f7dfa5f:PARTY:PROS | affiliation_end:affiliation-71a21ce067a9:PARTY:MDB | affiliation_end:affiliation-d578fe137ca4:PARTY:MDB | affiliation_start:affiliation-002a4a3e3ac6:PARTY:MDB | affiliation_start:affiliation-4489ca399bcf:PARTY:MDB | affiliation_start:affiliation-54b3f6457e04:PARTY:MDB | affiliation_start:affiliation-6ad626a70e58:PARTY:MDB | affiliation_start:affiliation-6d9fedcf0916:PARTY:MDB | affiliation_start:affiliation-7560fcd88f19:PARTY:MDB | affiliation_start:affiliation-edc82d3745eb:PARTY:PCdoB,C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
dilma_2-2016-03-31,dilma_2-2016-04-14,2016-04-14,,PP,identified_set_difference,primary_adjudicated,primary_adjudicated,"service_end:service-dilma_rousseff-1-17:Celso Pansera:Ministério da Ciência, Tecnologia e Inovação | service_end:service-dilma_rousseff-1-31:Patrus Ananias:Ministério do Desenvolvimento Agrário | service_end:service-dilma_rousseff-1-49:Gilberto Occhi:Ministério da Integração Nacional | service_start:service-dilma_rousseff-1-18:Emília Maria Silva Ribeiro Curi:Ministério da Ciência, Tecnologia e Inovação | service_start:service-dilma_rousseff-1-32:Maria Fernanda Ramos Coelho:Ministério do Desenvolvimento Agrário | service_start:service-dilma_rousseff-1-50:Josélio de Andrade Moura:Ministério da Integração Nacional | affiliation_end:affiliation-6d9fedcf0916:PARTY:MDB | affiliation_start:affiliation-47d73aaf6f1d:UNAFFILIATED: | affiliation_start:affiliation-b5e73dd9d2f3:PARTY:PT | affiliation_start:affiliation-bf2c58ba8453:UNAFFILIATED:",C005;C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
dilma_2-2016-04-14,dilma_2-2016-04-19,2016-04-19,,PSD,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-dilma_rousseff-1-19:Gilberto Kassab:Ministério das Cidades | service_end:service-dilma_rousseff-1-32:Maria Fernanda Ramos Coelho:Ministério do Desenvolvimento Agrário | service_start:service-dilma_rousseff-1-20:Inês da Silva Magalhães:Ministério das Cidades | service_start:service-dilma_rousseff-1-33:Patrus Ananias:Ministério do Desenvolvimento Agrário | affiliation_end:affiliation-893e7cb6ee58:PARTY:PT | affiliation_end:affiliation-b5e73dd9d2f3:PARTY:PT | affiliation_start:affiliation-17032a771737:PARTY:PT | affiliation_start:affiliation-32075f7875e5:PARTY:PT,C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
dilma_2-2016-04-19,temer-2016-05-12,2016-05-12,CIDADANIA;DEM;PP;PSB;PSD;PSDB;PV;REPUBLICANOS,PCdoB;PDT;PT,identified_set_difference,primary_adjudicated,primary_adjudicated,"service_end:service-0756ddce3efb:Jaques Wagner:Gabinete Pessoal | service_end:service-dilma_rousseff-1-11:Alexandre Tombini:Presidente do Banco Central do Brasil | service_end:service-dilma_rousseff-1-15:Eva Chiavon:Casa Civil | service_end:service-dilma_rousseff-1-18:Emília Maria Silva Ribeiro Curi:Ministério da Ciência, Tecnologia e Inovação | service_end:service-dilma_rousseff-1-20:Inês da Silva Magalhães:Ministério das Cidades | service_end:service-dilma_rousseff-1-22:Edinho Silva:Secretaria de Comunicação Social | service_end:service-dilma_rousseff-1-24:André Figueiredo:Ministério das Comunicações | service_end:service-dilma_rousseff-1-27:Luiz Navarro de Britto:Controladoria-Geral da União | service_end:service-dilma_rousseff-1-28:Juca Ferreira:Ministério da Cultura | service_end:service-dilma_rousseff-1-2:José Eduardo Cardozo:Advocacia-Geral da União | service_end:service-dilma_rousseff-1-30:Aldo Rebelo:Ministério da Defesa | service_end:service-dilma_rousseff-1-33:Patrus Ananias:Ministério do Desenvolvimento Agrário | service_end:service-dilma_rousseff-1-34:Armando Monteiro:Ministério do Desenvolvimento, Indústria e Comércio Exterior | service_end:service-dilma_rousseff-1-35:Tereza Campello:Ministério do Desenvolvimento Social e Combate à Fome | service_end:service-dilma_rousseff-1-38:Nilma Lino Gomes:Ministério das Mulheres, da Igualdade Racial e dos Direitos Humanos | service_end:service-dilma_rousseff-1-3:Kátia Abreu:Ministério da Agricultura, Pecuária e Abastecimento | service_end:service-dilma_rousseff-1-42:Aloizio Mercadante:Ministério da Educação | service_end:service-dilma_rousseff-1-44:Ricardo Leyser:Ministério do Esporte | service_end:service-dilma_rousseff-1-46:Nelson Barbosa:Ministério da Fazenda | service_end:service-dilma_rousseff-1-50:Josélio de Andrade Moura:Ministério da Integração Nacional | service_end:service-dilma_rousseff-1-53:Eugênio Aragão:Ministério da Justiça | service_end:service-dilma_rousseff-1-54:Izabella Teixeira:Ministério do Meio Ambiente | service_end:service-dilma_rousseff-1-57:Marco Antônio Martins Almeida:Ministério de Minas e Energia | service_end:service-dilma_rousseff-1-60:Valdir Moysés Simão:Ministério do Planejamento, Orçamento e Gestão | service_end:service-dilma_rousseff-1-64:Maurício Muniz Barreto de Carvalho:Secretaria Nacional dos Portos | service_end:service-dilma_rousseff-1-66:Mauro Vieira:Ministério das Relações Exteriores | service_end:service-dilma_rousseff-1-69:Marcelo Castro:Ministério da Saúde | service_end:service-dilma_rousseff-1-71:Ricardo Berzoini:Secretaria de Governo | service_end:service-dilma_rousseff-1-73:Miguel Rossetto:Ministério do Trabalho e Emprego | service_end:service-dilma_rousseff-1-74:Antonio Carlos Rodrigues:Ministério dos Transportes | service_end:service-dilma_rousseff-1-78:Alessandro Teixeira:Ministério do Turismo | service_end:service-f6b7136b576a:Carlos Eduardo Gabas:Aviação Civil | service_start:service-924bb8bb9eee:Alexandre Tombini:Banco Central | service_start:service-a8e3421c44ba:Fernando Bezerra Coelho Filho:Minas e Energia | service_start:service-c1cbf25fecd8:Geddel Vieira Lima:Secretaria de Governo | service_start:service-eabeba688ae4:Marcos Pereira:Desenvolvimento, Indústria e Comércio | service_start:service-michel_temer-0-16:Fabiano Silveira:Fiscalização, Transparência e Controladoria-Geral da União | service_start:service-michel_temer-0-1:Fábio Medina Osório:Advocacia-Geral da União | service_start:service-michel_temer-0-20:Mendonça Filho:Educação | service_start:service-michel_temer-0-22:Raul Jungmann:Defesa | service_start:service-michel_temer-0-24:Osmar Terra:Desenvolvimento Social e Agrário | service_start:service-michel_temer-0-28:Leonardo Picciani:Esporte | service_start:service-michel_temer-0-30:Henrique Meirelles:Fazenda e Previdência Social | service_start:service-michel_temer-0-32:Helder Barbalho:Integração Nacional | service_start:service-michel_temer-0-34:Alexandre de Moraes:Justiça | service_start:service-michel_temer-0-38:Sarney Filho:Meio Ambiente | service_start:service-michel_temer-0-3:Blairo Maggi:Agricultura, Pecuária e Abastecimento | service_start:service-michel_temer-0-42:Romero Jucá:Planejamento, Orçamento e Gestão | service_start:service-michel_temer-0-45:José Serra:Relações Exteriores | service_start:service-michel_temer-0-48:Ricardo Barros:Saúde | service_start:service-michel_temer-0-56:Sérgio Etchegoyen:Gabinete de Segurança Institucional | service_start:service-michel_temer-0-57:Ronaldo Nogueira:Trabalho | service_start:service-michel_temer-0-5:Eliseu Padilha:Casa Civil | service_start:service-michel_temer-0-61:Maurício Quintella Lessa:Transportes, Portos e Aviação Civil | service_start:service-michel_temer-0-63:Henrique Eduardo Alves:Turismo | service_start:service-michel_temer-0-6:Bruno Araújo:Cidades | service_start:service-michel_temer-0-9:Gilberto Kassab:Ciência, Tecnologia, Inovações e Comunicações | affiliation_end:affiliation-002a4a3e3ac6:PARTY:MDB | affiliation_end:affiliation-0a61bf84ff67:PARTY:PT | affiliation_end:affiliation-0ce85cff52a7:UNAFFILIATED: | affiliation_end:affiliation-17032a771737:PARTY:PT | affiliation_end:affiliation-178c65b3baec:PARTY:PT | affiliation_end:affiliation-1e682eb55f9d:PARTY:MDB | affiliation_end:affiliation-2695219a6106:PARTY:PCdoB | affiliation_end:affiliation-32075f7875e5:PARTY:PT | affiliation_end:affiliation-3788fbf471f6:UNAFFILIATED: | affiliation_end:affiliation-39707084a306:PARTY:PSD | affiliation_end:affiliation-47d73aaf6f1d:UNAFFILIATED: | affiliation_end:affiliation-4b873e91cdd8:PARTY:PT | affiliation_end:affiliation-518560e30e49:PARTY:MDB | affiliation_end:affiliation-53f836355175:PARTY:PT | affiliation_end:affiliation-54b3f6457e04:PARTY:MDB | affiliation_end:affiliation-627c24007baa:UNAFFILIATED: | affiliation_end:affiliation-6ad626a70e58:PARTY:MDB | affiliation_end:affiliation-7dc2db2ea744:PARTY:PT | affiliation_end:affiliation-80b6aeb3505e:PARTY:PDT | affiliation_end:affiliation-8965b608fad5:PARTY:PT | affiliation_end:affiliation-94a20845e40f:PARTY:PTB | affiliation_end:affiliation-af9da88352fc:UNAFFILIATED: | affiliation_end:affiliation-bf2c58ba8453:UNAFFILIATED: | affiliation_end:affiliation-c4982e18b6ca:UNAFFILIATED: | affiliation_end:affiliation-c6da526a7bf3:PARTY:PL | affiliation_end:affiliation-c877e5cc140e:PARTY:PT | affiliation_end:affiliation-cc9dac3fc072:UNAFFILIATED: | affiliation_end:affiliation-d8954b97c63c:PARTY:PT | affiliation_end:affiliation-da12fa7641e8:UNAFFILIATED: | affiliation_end:affiliation-e4422f7ef01f:PARTY:PT | affiliation_end:affiliation-e8a01b2cb1e0:UNAFFILIATED: | affiliation_end:affiliation-edc82d3745eb:PARTY:PCdoB | affiliation_end:affiliation-ef1c2f93359e:PARTY:PT | affiliation_end:affiliation-f443e02e8e29:UNAFFILIATED: | affiliation_end:affiliation-fc40400effd6:PARTY:PT | affiliation_start:affiliation-039f7dd7bfc6:PARTY:REPUBLICANOS | affiliation_start:affiliation-0582c89d9bcd:PARTY:MDB | affiliation_start:affiliation-0dfac208e513:PARTY:PP | affiliation_start:affiliation-10d430b823de:PARTY:DEM | affiliation_start:affiliation-11917984b5cf:UNAFFILIATED: | affiliation_start:affiliation-1cb53fca27f3:PARTY:PP | affiliation_start:affiliation-2076c877abd6:PARTY:PV | affiliation_start:affiliation-2a89a85cf823:PARTY:PSDB | affiliation_start:affiliation-2c211f0d3d26:PARTY:MDB | affiliation_start:affiliation-2e45b1403cc5:UNAFFILIATED: | affiliation_start:affiliation-394fa934582e:PARTY:MDB | affiliation_start:affiliation-398de098c7cd:PARTY:MDB | affiliation_start:affiliation-3b75f0d560cb:UNAFFILIATED: | affiliation_start:affiliation-3e99f909d3bf:PARTY:PSD | affiliation_start:affiliation-44ba3dbfd202:PARTY:PL | affiliation_start:affiliation-525428b40767:PARTY:PTB | affiliation_start:affiliation-5a9063548031:PARTY:CIDADANIA | affiliation_start:affiliation-60a5b7c52f05:PARTY:PSB | affiliation_start:affiliation-92a79e944d8e:PARTY:PSD | affiliation_start:affiliation-a69642f0ced0:PARTY:MDB | affiliation_start:affiliation-ad763f0b7d2f:PARTY:PSDB | affiliation_start:affiliation-b83c74e2afd9:UNAFFILIATED: | affiliation_start:affiliation-c67117c71f67:PARTY:MDB | affiliation_start:affiliation-de4060699ce6:PARTY:PSDB | affiliation_start:affiliation-e38dd461bf29:PARTY:MDB",C006;C045;C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2016-05-12,temer-2016-10-10,2016-10-10,,PSB,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-a8e3421c44ba:Fernando Bezerra Coelho Filho:Minas e Energia | service_start:service-C041-paulo-pedrosa-2016-10-10:Paulo Pedrosa:Minas e Energia | affiliation_start:affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10:UNKNOWN:,C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2016-10-10,temer-2016-10-11,2016-10-11,PSB,,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-C041-paulo-pedrosa-2016-10-10:Paulo Pedrosa:Minas e Energia | service_start:service-4c041e5a6768:Fernando Bezerra Coelho Filho:Minas e Energia | affiliation_end:affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10:UNKNOWN:,C006;C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2016-10-11,temer-2016-10-25,2016-10-25,,PSB,identified_set_difference,primary_adjudicated,primary_adjudicated,service_end:service-4c041e5a6768:Fernando Bezerra Coelho Filho:Minas e Energia | service_start:service-C041-paulo-pedrosa-2016-10-25:Paulo Pedrosa:Minas e Energia | affiliation_start:affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25:UNKNOWN:,C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
temer-2016-10-25,temer-2016-10-26,2016-10-26,PSB,,identified_set_difference,primary_adjudicated,primary_provisional,service_end:service-C041-paulo-pedrosa-2016-10-25:Paulo Pedrosa:Minas e Energia | service_start:service-69e3154c999f:Fernando Bezerra Coelho Filho:Minas e Energia | affiliation_end:affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25:UNKNOWN:,C006;C035;C040;C041;C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30;V5ROOTD002,2026-03-19-history-v5-candidate,f8762399c7b3ef29928d8b1c55a4873575c06a6529f698af31ff87e8eedea1b3
