period,start_date,end_date,start_inclusive,end_exclusive,minister,office,person_id,canonical_party_at_date,affiliation_state,composition_status,service_id,affiliation_id,witness_id,evidence_ids,decision_ids,notes,data_version,release_metadata_sha256
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",person-5139ef661a7d,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-3,affiliation-17b5cdf8e9ca,172cec79b843ea1bb9c1,LEG-bbe559c76692,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Helder Barbalho,Ministério da Pesca e Aquicultura,person-69c3d0fe4619,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-58,affiliation-d5b00c2a9cef,1d26a87e5bbf40c02669,C024;C032;LEG-1591c82663db;LEG-ed798dddc06b,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Eduardo Braga,Ministério de Minas e Energia,person-86b811c075f6,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-56,affiliation-71a21ce067a9,2323595b1feac3da2c76,C009;LEG-328a5753236c,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Vinicius Lages,Ministério do Turismo,person-16ea0c2b585a,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-75,affiliation-30498ddd5bfa,259c6b7243d498c9eb1a,LEG-858a83513dbd,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Edson Coelho Araújo,Secretaria Nacional dos Portos,person-bab2d25de60e,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-62,affiliation-7b274d41a3ea,95f41fc9a8aa8a93ecd8,C024;LEG-7313721f7d0a,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Eliseu Padilha,Secretaria de Aviação Civil,person-2f002dc5bdc9,MDB,PARTY,primary_adjudicated,service-dilma_rousseff-1-7,affiliation-518560e30e49,bb5fb8565748aaf4fc80,C021;LEG-d2f12b350683,C021;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Aldo Rebelo,"Ministério da Ciência, Tecnologia e Inovação",person-d1c3d895582d,PCdoB,PARTY,primary_adjudicated,service-dilma_rousseff-1-16,affiliation-e0a60b031086,094db4bfb16a3591c9f1,C024;LEG-9551d742d972,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Manoel Dias,Ministério do Trabalho e Emprego,person-3978546739e7,PDT,PARTY,primary_adjudicated,service-dilma_rousseff-1-72,affiliation-e21f6f6e3198,87e7f2d0d82ecd639a35,C024;LEG-8912d93c02b7,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Antonio Carlos Rodrigues,Ministério dos Transportes,person-38f714851a92,PL,PARTY,primary_adjudicated,service-dilma_rousseff-1-74,affiliation-c6da526a7bf3,2a2d3c129fcba7b840a7,LEG-650019f21afb,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
dilma_2-2015-01-01,2015-01-01,2015-02-04,2015-01-01,2015-02-05,Gilberto Occhi,Ministério da Integração Nacional,person-57a1c7594de5,PP,PARTY,primary_adjudicated,service-dilma_rousseff-1-49,affiliation-eb8404d6b3ec,d0e9e823011a30be3802,LEG-3df9b9d5037a,PERSON-CONTINUITY-REVIEW;R03,Dated contemporaneous affiliation witness; end_date is compatibility inclusive display.,2026-03-19-history-v6-onyx-candidate,750591b888bd7ca6d1bf8b22239f4927fb44579dd36dc9b2d6fea8dcbdda8a8f
