election_year,period,historical_period_id,party_id,cabinet_party_raw,cabinet_party_normalized,cabinet_party_canonical,election_party,mapping_type,mapped_party_count,notes,coalition_year
2014,2015.1,CV5-001,MDB,MDB,MDB,MDB,PMDB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PCdoB,PCdoB,PCdoB,PCdoB,PCdoB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PDT,PDT,PDT,PDT,PDT,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PL,PL,PL,PL,PR,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PP,PP,PP,PP,PP,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PROS,PROS,PROS,PROS,PROS,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PSD,PSD,PSD,PSD,PSD,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PT,PT,PT,PT,PT,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,PTB,PTB,PTB,PTB,PTB,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.1,CV5-001,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,PRB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,MDB,MDB,MDB,MDB,PMDB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PCdoB,PCdoB,PCdoB,PCdoB,PCdoB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PDT,PDT,PDT,PDT,PDT,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PL,PL,PL,PL,PR,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PP,PP,PP,PP,PP,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PSD,PSD,PSD,PSD,PSD,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PT,PT,PT,PT,PT,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,PTB,PTB,PTB,PTB,PTB,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2015.2,CV5-002,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,PRB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2015
2014,2016.1,CV5-003,MDB,MDB,MDB,MDB,PMDB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PCdoB,PCdoB,PCdoB,PCdoB,PCdoB,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PDT,PDT,PDT,PDT,PDT,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PL,PL,PL,PL,PR,crosswalk_rename,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PP,PP,PP,PP,PP,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PROS,PROS,PROS,PROS,PROS,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PSD,PSD,PSD,PSD,PSD,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PT,PT,PT,PT,PT,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2016
2014,2016.1,CV5-003,PTB,PTB,PTB,PTB,PTB,explicit_identity,1,Same stable organization; election label fixed by the existing party identity policy.,2016
