election_year,mandate_start,mandate_end,period_label,period_start,period_end,selected_by_overlap,raw_parties
2014,2015-01-01,2018-12-31,2015.1,2015-01-01,2015-03-18,true,"MDB, PCdoB, PDT, PL, PP, PROS, PSD, PT, PTB, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2015.2,2015-03-19,2016-03-17,true,"MDB, PCdoB, PDT, PL, PP, PSD, PT, PTB, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2016.1,2016-03-18,2016-03-30,true,"MDB, PCdoB, PDT, PL, PP, PROS, PSD, PT, PTB"
2014,2015-01-01,2018-12-31,2016.2,2016-03-31,2016-04-13,true,"MDB, PCdoB, PDT, PL, PP, PSD, PT, PTB"
2014,2015-01-01,2018-12-31,2016.3,2016-04-14,2016-04-18,true,"MDB, PCdoB, PDT, PL, PSD, PT, PTB"
2014,2015-01-01,2018-12-31,2016.4,2016-04-19,2016-05-11,true,"MDB, PCdoB, PDT, PL, PT, PTB"
2014,2015-01-01,2018-12-31,2016.5,2016-05-12,2016-10-09,true,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2016.6,2016-10-10,2016-10-10,true,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2016.7,2016-10-11,2016-10-24,true,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2016.8,2016-10-25,2016-10-25,true,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2016.9,2016-10-26,2017-04-25,true,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2017.1,2017-04-26,2017-04-26,true,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2017.2,2017-04-27,2017-08-01,true,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2017.3,2017-08-02,2017-08-02,true,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2017.4,2017-08-03,2017-10-17,true,"CIDADANIA, DEM, MDB, PL, PP, PSB, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2017.5,2017-10-18,2018-03-20,true,"CIDADANIA, DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2018.1,2018-03-21,2018-04-01,true,"DEM, MDB, PL, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2018.2,2018-04-02,2018-04-05,true,"DEM, MDB, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2018.3,2018-04-06,2018-07-04,true,"MDB, PP, PSD, PSDB, PTB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2018.4,2018-07-05,2018-12-31,true,"MDB, PP, PSD, PSDB, PV, REPUBLICANOS"
2014,2015-01-01,2018-12-31,2019.1,2019-01-01,2020-02-10,false,"DEM, MDB, NOVO, PP, PSL"
