"coalition_id","election_year","cabinet_period","source_periods","check_name","exact_pass","floating_residual","atol","rtol","status"
"2014/2016.2",2014,"2016.2","[""2016.2""]","A_C + B_C = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2016.2",2014,"2016.2","[""2016.2""]","sum_i d_i = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2016.2",2014,"2016.2","[""2016.2""]","sum_i A_i = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2016.2",2014,"2016.2","[""2016.2""]","sum_i B_i = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2017.1",2014,"2017.1","[""2017.1""]","A_C + B_C = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2017.1",2014,"2017.1","[""2017.1""]","sum_i d_i = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2017.1",2014,"2017.1","[""2017.1""]","sum_i A_i = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2014/2017.1",2014,"2017.1","[""2017.1""]","sum_i B_i = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","A_C + B_C = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","sum_i d_i = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","sum_i A_i = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2018/2021.3/2022.1",2018,"2021.3/2022.1","[""2021.3"",""2022.1""]","sum_i B_i = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2022/2023.1",2022,"2023.1","[""2023.1""]","A_C + B_C = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2022/2023.1",2022,"2023.1","[""2023.1""]","sum_i d_i = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2022/2023.1",2022,"2023.1","[""2023.1""]","sum_i A_i = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"2022/2023.1",2022,"2023.1","[""2023.1""]","sum_i B_i = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
