source,election_year,context,raw_party,normalized_party,canonical_party,mapping_source
seats,2014,candidate.csv,DEM,DEM,DEM,shared_alias
seats,2014,candidate.csv,PATRIOTA,PATRIOTA,PEN,shared_alias
seats,2014,candidate.csv,PC do B,PC DO B,PCdoB,shared_alias
seats,2014,candidate.csv,PCB,PCB,PCB,shared_alias
seats,2014,candidate.csv,PCO,PCO,PCO,shared_alias
seats,2014,candidate.csv,PDT,PDT,PDT,shared_alias
seats,2014,candidate.csv,PHS,PHS,PHS,shared_alias
seats,2014,candidate.csv,PMDB,PMDB,PMDB,shared_alias
seats,2014,candidate.csv,PMN,PMN,PMN,shared_alias
seats,2014,candidate.csv,PP,PP,PP,shared_alias
seats,2014,candidate.csv,PPL,PPL,PPL,shared_alias
seats,2014,candidate.csv,PPS,PPS,PPS,shared_alias
seats,2014,candidate.csv,PR,PR,PR,shared_alias
seats,2014,candidate.csv,PRB,PRB,PRB,shared_alias
seats,2014,candidate.csv,PROS,PROS,PROS,shared_alias
seats,2014,candidate.csv,PRP,PRP,PRP,shared_alias
seats,2014,candidate.csv,PRTB,PRTB,PRTB,shared_alias
seats,2014,candidate.csv,PSB,PSB,PSB,shared_alias
seats,2014,candidate.csv,PSC,PSC,PSC,shared_alias
seats,2014,candidate.csv,PSD,PSD,PSD,shared_alias
seats,2014,candidate.csv,PSDB,PSDB,PSDB,shared_alias
seats,2014,candidate.csv,PSDC,PSDC,PSDC,shared_alias
seats,2014,candidate.csv,PSL,PSL,PSL,shared_alias
seats,2014,candidate.csv,PSOL,PSOL,PSOL,shared_alias
seats,2014,candidate.csv,PSTU,PSTU,PSTU,shared_alias
seats,2014,candidate.csv,PT,PT,PT,shared_alias
seats,2014,candidate.csv,PT do B,PT DO B,PT DO B,shared_alias
seats,2014,candidate.csv,PTB,PTB,PTB,shared_alias
seats,2014,candidate.csv,PTC,PTC,PTC,shared_alias
seats,2014,candidate.csv,PTN,PTN,PTN,shared_alias
seats,2014,candidate.csv,PV,PV,PV,shared_alias
seats,2014,candidate.csv,SD,SD,SOLIDARIEDADE,shared_alias
seats,2018,candidate.csv,AVANTE,AVANTE,AVANTE,shared_alias
