case_id,baseline_case_id,source_case_id,source_case_ids,analysis_variant,case_domain,ideological_universe,k,gap_count,case_order,registry_order,focal_order,election_year,case_label,case_display,cabinet_period,source_periods,period_start,period_end,period_days,ideology_start_index,ideology_end_index,start_party,end_party,minimal_inversion,minimal_status,observed_coalition,synthetic_ideological_interval,main_text_focal,appendix_minimal,shared_numerical_vector,numerical_vector_group,coalition_parties,coalition_party_order,party,v_i,V,vote_share,s_i,S,seat_share,q_i,R_i,A_i,B_i,d_i,q_i_exact,A_i_exact,B_i_exact,d_i_exact,accounting_qualification
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",1,PCdoB,1913015,97355354,0.01964981812916011,10,513,0.01949317738791423,10.080356700259134,0.9920283872239294,-0.5688758702547635,0.4885191699956283,-0.0803567002591352,51651405//5123966,-78303200466327161423989624153050023739930160089457542306947291059794163952175357751014164998183608869845176690019358237411248969214991066417//137645494492955235128179214524576466409524975836614432553358928421358409259009176781859287749477029033520641017359456578099915563122186239800,172274046375321333362591133914292690390402560748545297846338355599818522434510712829993197267337227143489077143979530750782709001127458170658999411//352645416917544932159397968565317989141274026168816953756352167513737081428624107759118203606268407274386312435577632642330155974154468069201523400,-411745//5123966,accounting attribution; not an independent causal effect
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",2,PDT,3528346,97355354,0.03624193077249763,20,513,0.03898635477582846,18.592110486291283,1.075725104729063,-0.15563789039051862,1.5635274040992357,1.407889513708717,47632671//2561983,-2120862584079686717877215341699272910232760173779641157555877069287986379963583074395025952422716618733747506992710838557394961820388486160319//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200,54585706554777588965903067457832695164181439832025957882418027820500730787917921359258754970225450339195711398041578815695010013843426965806558810377//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600,3606989//2561983,accounting attribution; not an independent causal effect
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",3,PMDB,10791949,97355354,0.11085110943153675,65,513,0.1267056530214425,56.86661913837836,1.1430255743150477,3.9086952162479633,4.224685645373679,8.133380861621642,291382623//5123966,1183158165631686216544067255830149040749674192654009893964425573012712486817105396842347796764954889674007591813996908847862935404232088757//302699008281189041665328140697789110456772237945373602176519034913023291053398829388335099009245765567518402877039988476429242541852068900,3276284753766903786866035126396436124666742111550292643880336206515709889656852930263337816186656488922906615638561750195857696471853990901578019//775509713333265544532862385889343838575372708488002097425004766623572150282859893112814921965004494205967500358127540796807620095101789036628700,41675167//5123966,accounting attribution; not an independent causal effect
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",4,PR,5635519,97355354,0.05788607167922167,34,513,0.06627680311890838,29.695554771440715,1.1449525109629883,5.0428381901786,-0.7383929616193156,4.304445228559284,152159013//5123966,9816895953882026159527461959986922936440415183207278138032845694655528726270359153695031642984978682434598029379102761438611264936347502277781//1946700564971795468241391748276152882077567515403546974683219130530640359520272643057724212456889410616934780102655171604555948678442348248600,-3682671212303314719215643772246492136837545206903667628824624271855283407037126311058814016510960826631479139119599271965735187327219494821002406423//4987413753548135469111485555423782989283732655816125488839837797694281580204826666878957451002938902880606418731740804512955063063041762692992973800,22055831//5123966,accounting attribution; not an independent causal effect
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",5,PSD,5967953,97355354,0.061300716959028265,36,513,0.07017543859649122,31.4472677999815,1.1447735373697927,4.645941310001025,-0.09320910998252392,4.552732200018501,161134731//5123966,21103265337011198466142554182088011234328362409810590661602192615974560104308636776646597675962152499198463544639119365927723160924444107637319//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400,-1084702259859914796963498896937827949508894340256273345788907519326090536394339107170597556906687160309422863135346410691502028574897520059800792077//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200,23328045//5123966,accounting attribution; not an independent causal effect
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",6,PT,13554166,97355354,0.13922363222057618,69,513,0.13450292397660818,71.42172332915558,0.9660926225765405,-1.215411226585322,-1.2063121025702577,-2.4217233291555798,182981241//2561983,-188207864207579163962835372191020634738137514106631233550137823712428601277137747468036878085587033610952490564733015370472595486126351987746//154851181304574639519201616340148524710715597816191236622528794474028210416385323879591698718161657662710721144529388650362405008512459519775,-478575488636514868250890921891378649946192042305696927553647615829544299916561735201669524782397717934040781584707777435860119107152373374303826532//396726094032238048679322714635982737783933279439919072975896188452954216607202121229007979057051958183684601490024836722621425470923776577851713825,-6204414//2561983,accounting attribution; not an independent causal effect
cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,cabinet/2014/2016.3,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.3,Cabinet 2014/2016.3,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.3,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,PTB,3914193,97355354,0.040205215626867324,25,513,0.04873294346978557,20.625275616582936,1.2121050144852241,4.084472535550831,0.2902518478662325,4.374724383417064,105683211//5123966,302493016021630978982671373632362711868895002516952268738118210768108389498533601134512467091284611543648967128930561573780663607155750771143//74059260623927001509183381727897120513820503303395808819470293009317839764358198377196029821729488447383388373470577180608106743201611074675,110143939198757205428839916960733416429434608531441094715927484452373855664384526902321887574207841664885919889267862510344691880592554895828731687//379477133422140742215004335738766097010718789029487808933465919389782294146019420306007632141527960001785270990458539473811798276535786291858161050,22415939//5123966,accounting attribution; not an independent causal effect
cabinet/2022/2023.1,cabinet/2022/2023.1,cabinet/2022/2023.1,cabinet/2022/2023.1,focal,cabinet,not_applicable,,,2,2,2,2022,Cabinet 2022/2023.1,Cabinet 2022/2023.1,2023.1,"[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,,not applicable,true,false,true,false,false,cabinet/2022/2023.1,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",1,MDB,7950895,109413508,0.0726683125816604,42,513,0.08187134502923976,37.27884435439178,1.1266443669961037,5.119561127195656,-0.3984054815874375,4.721155645608219,4078809135//109413508,19962380190803625382655852792963004145363348615090330142367971645519694908795346962475103476846022825555752170910220810588651959797648329//3899236613224779577337957953189012317622001073494015341616556588702771871420922451123703889899480639187164052413652792986409737633367700,-10623212156550565321436455093545098875317777128739838038923143831615096340402746883035907765096396461204708086952288584838920274485078571420027//26664322273435145380206455075931851545389584714421627220755365453155214985993004373337686534196746506971867971629601198415055357489148619430725,516558201//109413508,accounting attribution; not an independent causal effect
cabinet/2022/2023.1,cabinet/2022/2023.1,cabinet/2022/2023.1,cabinet/2022/2023.1,focal,cabinet,not_applicable,,,2,2,2,2022,Cabinet 2022/2023.1,Cabinet 2022/2023.1,2023.1,"[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,,not applicable,true,false,true,false,false,cabinet/2022/2023.1,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",2,PCdoB,1154712,109413508,0.010553651199996256,6,513,0.011695906432748537,5.414023065598079,1.108233180262077,0.17628181135851972,0.4096951230434007,0.5859769344019204,148091814//27353377,560921909793892832128129877105602735603273907909860528977920954530173161411827953728109935706391029867488031432503278483315921693422484374735533519//3181961346273535241721103193224232464425940292805283632379495340432504254173000474042040386186735430059004774138725472230954824495051717157497802600,35658793510603010463295684201795341956775360197012565760293360784901007588411138824694647575071331981074734787273193787839174778585399070390911015447021137//87037388304047554589583464500166276135081833408593310788405743116593631918497905187650644532591366617661089831816408141436338384381984253906405771189380200,16028448//27353377,accounting attribution; not an independent causal effect
cabinet/2022/2023.1,cabinet/2022/2023.1,cabinet/2022/2023.1,cabinet/2022/2023.1,focal,cabinet,not_applicable,,,2,2,2,2022,Cabinet 2022/2023.1,Cabinet 2022/2023.1,2023.1,"[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,,not applicable,true,false,true,false,false,cabinet/2022/2023.1,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",3,PDT,3828367,109413508,0.034989893569631274,17,513,0.03313840155945419,17.949815401220842,0.947084948786925,-1.9742011739935168,1.024385772772673,-0.9498154012208437,1963952271//109413508,-241608916362123262135027425050234237986749328342426506689597035000572183922795349137323692417075301163239463999076712732488577624576852603959330891//122383128702828278527734738200932017862536165107895524322288282324327086698961556693924630237951362694577106697643287393498262480578912198365300100,857306368057278611342550354754824340480954716861321696050968198565211824911543973741551428321039074210334828842715824073451221433241473619397525197457008//836897964461995717207533312501598808991171475082627988350055222274938768447095242188948505121070832862125863767465462898426330619057540902946209338359425,-103922635//109413508,accounting attribution; not an independent causal effect
