election_year,period,period_id,source_periods,administration_id,start_inclusive,end_exclusive,days,period_start,period_end,period_days,composition_status,party_ids,election_party_set,unknown_person_ids,decision_ids,bounded_affiliation_ids,bounded_service_ids,established_days,provisional_days,primary_assumption_ids,identified
2014,2015.1,CV5-001,"[""dilma_2-2015-01-01""]",dilma_2,2015-01-01,2015-03-19,77,2015-01-01,2015-03-18,77,established,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,,,,,77,0,,true
2014,2015.2,CV5-002,"[""dilma_2-2015-03-19""]",dilma_2,2015-03-19,2016-03-18,365,2015-03-19,2016-03-17,365,established,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,,,,,365,0,,true
2014,2016.1,CV5-003,"[""dilma_2-2016-03-18""]",dilma_2,2016-03-18,2016-03-31,13,2016-03-18,2016-03-30,13,established,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,,,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,,13,0,,true
2014,2016.2,CV5-004,"[""dilma_2-2016-03-31""]",dilma_2,2016-03-31,2016-04-14,14,2016-03-31,2016-04-13,14,established,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,,,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,,14,0,,true
2014,2016.3,CV5-005,"[""dilma_2-2016-04-14""]",dilma_2,2016-04-14,2016-04-19,5,2016-04-14,2016-04-18,5,established,MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,,,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77;affiliation-b5e73dd9d2f3@service-dilma_rousseff-1-32,,5,0,,true
2014,2016.4,CV5-006,"[""dilma_2-2016-04-19""]",dilma_2,2016-04-19,2016-05-12,23,2016-04-19,2016-05-11,23,established,MDB;PCdoB;PDT;PL;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,,,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,,23,0,,true
2014,2016.5,CV5-007,"[""temer-2016-05-12""]",temer,2016-05-12,2016-10-10,151,2016-05-12,2016-10-09,151,established,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,,,affiliation-8527ce77d2d2@service-michel_temer-0-64,,151,0,,true
2014,2016.6,CV5-008,"[""temer-2016-10-10""]",temer,2016-10-10,2016-10-11,1,2016-10-10,2016-10-10,1,established,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,,,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,,1,0,,true
2014,2016.7,CV5-009,"[""temer-2016-10-11""]",temer,2016-10-11,2016-10-25,14,2016-10-11,2016-10-24,14,established,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,,,,,14,0,,true
2014,2016.8,CV5-010,"[""temer-2016-10-25""]",temer,2016-10-25,2016-10-26,1,2016-10-25,2016-10-25,1,established,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,,,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25,,1,0,,true
2014,2016.9,CV5-011,"[""temer-2016-10-26""]",temer,2016-10-26,2017-04-26,182,2016-10-26,2017-04-25,182,mixed,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,person-ivani-dos-santos,,affiliation-70f5e8999fb8@service-michel_temer-0-35;affiliation-7f51ac18f31f@service-michel_temer-0-46;affiliation-C035-ivani-dos-santos-2016-11-25@service-C035-ivani-dos-santos,,112,70,V5A001,true
2014,2017.1,CV5-012,"[""temer-2017-04-26""]",temer,2017-04-26,2017-04-27,1,2017-04-26,2017-04-26,1,established,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,,,affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26,,1,0,,true
2014,2017.2,CV5-013,"[""temer-2017-04-27""]",temer,2017-04-27,2017-08-02,97,2017-04-27,2017-08-01,97,established,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,,,,,97,0,,true
2014,2017.3,CV5-014,"[""temer-2017-08-02""]",temer,2017-08-02,2017-08-03,1,2017-08-02,2017-08-02,1,provisional,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,person-ivani-dos-santos,,affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02@service-C035-ivani-dos-santos-2017-08-02;affiliation-C041-paulo-pedrosa-2017-08-02-2017-08-02@service-C041-paulo-pedrosa-2017-08-02,,0,1,V5A002,true
2014,2017.4,CV5-015,"[""temer-2017-08-03""]",temer,2017-08-03,2017-10-18,76,2017-08-03,2017-10-17,76,established,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,,,,,76,0,,true
2014,2017.5,CV5-016,"[""temer-2017-10-18""]",temer,2017-10-18,2018-03-21,154,2017-10-18,2018-03-20,154,mixed,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,person-ivani-dos-santos,,affiliation-9e07f91b8db4@service-michel_temer-0-7;affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20@service-C035-ivani-dos-santos-2017-10-20;affiliation-C041-paulo-pedrosa-2017-10-18-2017-10-18@service-C041-paulo-pedrosa-2017-10-18;mdic-2018-succession,,148,6,V5A003,true
2014,2018.1,CV5-017,"[""temer-2018-03-21""]",temer,2018-03-21,2018-04-02,12,2018-03-21,2018-04-01,12,established,DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PR;PRB;PSD;PSDB;PTB;PV,,,,,12,0,,true
2014,2018.2,CV5-018,"[""temer-2018-04-02""]",temer,2018-04-02,2018-04-06,4,2018-04-02,2018-04-05,4,established,DEM;MDB;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PRB;PSD;PSDB;PTB;PV,,,,,4,0,,true
2014,2018.3,CV5-019,"[""temer-2018-04-06"",""temer-2018-05-15""]",temer,2018-04-06,2018-07-05,90,2018-04-06,2018-07-04,90,established,MDB;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,PMDB;PP;PRB;PSD;PSDB;PTB;PV,,,affiliation-C041-paulo-pedrosa-2018-04-06-2018-04-06@service-C041-paulo-pedrosa-2018-04-06;affiliation-C053-alberto-alves@service-C053-person-9cf6aaca0bc9;affiliation-aef121686045@service-58f6ac35cb5d;environment-2018-succession,,90,0,,true
2014,2018.4,CV5-020,"[""temer-2018-07-05""]",temer,2018-07-05,2019-01-01,180,2018-07-05,2018-12-31,180,mixed,MDB;PP;PSD;PSDB;PV;REPUBLICANOS,PMDB;PP;PRB;PSD;PSDB;PV,person-carlos-henrique-menezes-sobral,,affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31@service-C034-carlos-henrique-menezes-sobral,,179,1,V5A004,true
2018,2019.1,CV5-021,"[""bolsonaro-2019-01-01""]",bolsonaro,2019-01-01,2020-02-11,406,2019-01-01,2020-02-10,406,established,DEM;MDB;NOVO;PP;PSL,DEM;MDB;NOVO;PP;PSL,,,,,406,0,,true
2018,2020.1,CV5-022,"[""bolsonaro-2020-02-11""]",bolsonaro,2020-02-11,2020-02-18,7,2020-02-11,2020-02-17,7,mixed,DEM;MDB;NOVO;PP;PSDB;PSL,DEM;MDB;NOVO;PP;PSDB;PSL,person-marcos-paulo-cardoso-coelho-da-silva,,affiliation-C057-marcos-paulo-cardoso-coelho-da-silva-2020-02-14@service-C057-marcos-paulo-cardoso-coelho-da-silva,,3,4,V5A005,true
2018,2020.2,CV5-023,"[""bolsonaro-2020-02-18""]",bolsonaro,2020-02-18,2020-04-16,58,2020-02-18,2020-04-15,58,established,DEM;NOVO;PP;PSDB;PSL,DEM;NOVO;PP;PSDB;PSL,,,,,58,0,,true
2018,2020.3,CV5-024,"[""bolsonaro-2020-04-16""]",bolsonaro,2020-04-16,2020-04-17,1,2020-04-16,2020-04-16,1,established,DEM;MDB;NOVO;PP;PSDB;PSL,DEM;MDB;NOVO;PP;PSDB;PSL,,,,,1,0,,true
2018,2020.4,CV5-025,"[""bolsonaro-2020-04-17""]",bolsonaro,2020-04-17,2020-05-07,20,2020-04-17,2020-05-06,20,mixed,DEM;NOVO;PP;PSDB;PSL,DEM;NOVO;PP;PSDB;PSL,person-luiz-pontel-de-souza;person-renato-de-lima-franca,,affiliation-C056-renato-de-lima-franca-2020-04-28@service-C056-renato-de-lima-franca;affiliation-C060-luiz-pontel-de-souza-2020-04-24@service-C060-luiz-pontel-de-souza,,15,5,V5A006;V5A007,true
2018,2020.5,CV5-026,"[""bolsonaro-2020-05-07""]",bolsonaro,2020-05-07,2020-06-17,41,2020-05-07,2020-06-16,41,established,DEM;PP;PSDB;PSL,DEM;PP;PSDB;PSL,,,affiliation-92b6d60a8748@service-jair_bolsonaro-0-52;transition-person-20d6d1c35408,,41,0,,true
2018,2020.6,CV5-027,"[""bolsonaro-2020-06-17""]",bolsonaro,2020-06-17,2020-06-18,1,2020-06-17,2020-06-17,1,established,DEM;PP;PSD;PSDB;PSL,DEM;PP;PSD;PSDB;PSL,,,affiliation-92b6d60a8748@service-jair_bolsonaro-0-52;transition-person-20d6d1c35408,,1,0,,true
2018,2020.7,CV5-028,"[""bolsonaro-2020-06-18""]",bolsonaro,2020-06-18,2020-09-19,93,2020-06-18,2020-09-18,93,established,DEM;PP;PSD;PSL,DEM;PP;PSD;PSL,,,affiliation-b2eb8d8beb97@service-jair_bolsonaro-0-63;transition-person-87ad75f8d2f9,,93,0,,true
2018,2020.8,CV5-029,"[""bolsonaro-2020-09-19""]",bolsonaro,2020-09-19,2020-12-09,81,2020-09-19,2020-12-08,81,established,DEM;PSD;PSL,DEM;PSD;PSL,,,,,81,0,,true
2018,2020.9,CV5-030,"[""bolsonaro-2020-12-09""]",bolsonaro,2020-12-09,2021-02-12,65,2020-12-09,2021-02-11,65,established,DEM;PSC;PSD;PSL,DEM;PSC;PSD;PSL,,,affiliation-e330badabc4e@service-jair_bolsonaro-0-36,,65,0,,true
2018,2021.1,CV5-031,"[""bolsonaro-2021-02-12""]",bolsonaro,2021-02-12,2021-03-31,47,2021-02-12,2021-03-30,47,mixed,DEM;PSC;PSD;PSL;REPUBLICANOS,DEM;PRB;PSC;PSD;PSL,person-jonathas-assuncao-salvador-nery-de-castro;person-otavio-brandelli;person-sergio-jose-pereira,,affiliation-C058-sergio-jose-pereira-2021-03-30@service-C058-sergio-jose-pereira;affiliation-C059-jonathas-2021@service-C059-person-jonathas-assuncao-salvador-nery-de-castro;affiliation-C063-otavio-brandelli-2021-03-30@service-C063-otavio-brandelli;mre-2021-effective-entry,,46,1,V5A008;V5A009;V5A010,true
