scenario_id,sensitivity_id,affected_days,changed_classification_days,primary_inversion_days,alternative_inversion_days
affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,affiliation-7f51ac18f31f@service-michel_temer-0-46,13,0,0,0
affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,affiliation-7f51ac18f31f@service-michel_temer-0-46,13,0,0,0
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,24,0,5,5
affiliation-8527ce77d2d2@service-michel_temer-0-64/MDB,affiliation-8527ce77d2d2@service-michel_temer-0-64,110,0,0,0
affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10/PSDB,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,1,0,0,0
affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10/UNAFFILIATED,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,1,0,0,0
affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25/PSDB,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25,1,0,0,0
affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25/UNAFFILIATED,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25,1,0,0,0
affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26/PSDB,affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26,1,0,0,0
affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26/UNAFFILIATED,affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26@service-C041-paulo-pedrosa-2017-04-26,1,0,0,0
