"cabinet_party_set_id","election_year","coalition_parties","coalition_party_count","A_C","B_C","q_C","gross_positive_A","gross_negative_A","large_party_positive_A","large_party_share_gross_positive_A","large_positive_minus_all_negative_A","descriptive_vote_share_benchmark","top_three_by_q_parties","top_three_by_q_share_gross_positive_A","A_C_exact","B_C_exact","gross_positive_A_exact","gross_negative_A_exact","large_party_positive_A_exact","benchmark_note","positive_party_1","positive_A_i_1","positive_party_2","positive_A_i_2","positive_party_3","positive_A_i_3","negative_party_1","negative_A_i_1","negative_party_2","negative_A_i_2","negative_party_3","negative_A_i_3","cabinet_periods","coalition_ids","cabinet_observation_count","total_cabinet_days"
"2014:PCdoB|PDT|PMDB|PP|PR|PRB|PROS|PSD|PT|PTB",2014,"PCdoB, PDT, PMDB, PP, PR, PRB, PROS, PSD, PT, PTB",10,18.06336845268631,4.592762169569966,306.3438693777437,20.326547785170487,-2.2631793324841776,16.242075249619656,0.7990572438212693,13.978895917135478,0.05,"PT, PMDB, PP",0.3224008237257621,"246147787004967028509839670635392235477369805246548137919319829389576864560732235305303262069379713750462355044131769015376623199449700117302157//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200","160342036479021740303683413739913894989267454751092989289749983373474492548948575597444664677824469172775629845680612088306336781899538140002092236969//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600","138493957200611551057064895611956670586633949706541460745141054821095515634323238823800451337330369013429889446047215459762736568206692153711931//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","-2056008493083738240286008039234740379726539611102318904730818683507611113860949489486509373685401618426494923197510793609923329130912279341447//908460263653504551845982815862204678302864840521655254852168927580965501109460566760271299146548391621236230714572413415459442716606429182680","124928286881293145926858159611412300504835164366530468231574159038669651229597434616798243857344492141691851630046119487455101759770116087//7691645615557569654101962711558756060476376602503219497520691961569431048255529309628916257273290928974991370032786499157221596110459988","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PT",-1.215411226585322,"PCdoB",-0.5688758702547635,"PROS",-0.1816975019025609,"[""2015.1""]","[""2014/2015.1""]",1,77
"2014:PCdoB|PDT|PMDB|PP|PR|PRB|PSD|PT|PTB",2014,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",9,18.24506595458887,3.829197613904753,295.9257364315064,20.326547785170487,-2.0814818305816165,16.242075249619656,0.7990572438212693,14.16059341903804,0.05,"PT, PMDB, PP",0.3224008237257621,"124311880706110391358722339014459074278833121296248324157956255549605890001984321747628640514005146480364179813085637985079526868828623172894467//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","66842274956247935460015756361187198575514145427070476160234394194459307227108516163371926951620502752253629110237079709478929453548155538217436700739//17455948137418474141890199443983240462493064295356439210939432291929985530716893334076351078510286160082122465561092815795342720720646169425475408300","138493957200611551057064895611956670586633949706541460745141054821095515634323238823800451337330369013429889446047215459762736568206692153711931//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","-393946569291698880509515461041599897438911900285920460755133313096934045342747696560328078425700625918491934248932707630089158316057471689374//189262554927813448301246419971292641313096841775344844760868526579367812731137618075056520655530914921090881398869252794887383899293006079725","124928286881293145926858159611412300504835164366530468231574159038669651229597434616798243857344492141691851630046119487455101759770116087//7691645615557569654101962711558756060476376602503219497520691961569431048255529309628916257273290928974991370032786499157221596110459988","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PT",-1.215411226585322,"PCdoB",-0.5688758702547635,"PDT",-0.15563789039051862,"[""2015.2""]","[""2014/2015.2""]",1,365
"2014:PCdoB|PDT|PMDB|PP|PR|PROS|PSD|PT|PTB",2014,"PCdoB, PDT, PMDB, PP, PR, PROS, PSD, PT, PTB",9,18.204925296037324,6.7671773681880065,283.0278973357747,20.326547785170487,-2.121622489133165,16.242075249619656,0.7990572438212693,14.120452760486492,0.05,"PT, PMDB, PP",0.3224008237257621,"49615353702691261155788616588945277395105902960622984939066728112330958060358600837742842031451121192396307028210758261616069117130809300455967//2725380790960513655537948447586614034908594521564965764556506782742896503328381700280813897439645174863708692143717240246378328149819287548040","47250998870320750776965771125016481736775031846856083270642064698856258712483086329607270657554868735201710367055203244129996327233631531215397091539//6982379254967389656756079777593296184997225718142575684375772916771994212286757333630540431404114464032848986224437126318137088288258467770190163320","138493957200611551057064895611956670586633949706541460745141054821095515634323238823800451337330369013429889446047215459762736568206692153711931//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","-28911145887766796335186708279186954197738384609967996794948469080536240966853473458886692517405132064878243751040639611445127550759337805144027//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200","124928286881293145926858159611412300504835164366530468231574159038669651229597434616798243857344492141691851630046119487455101759770116087//7691645615557569654101962711558756060476376602503219497520691961569431048255529309628916257273290928974991370032786499157221596110459988","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PT",-1.215411226585322,"PCdoB",-0.5688758702547635,"PROS",-0.1816975019025609,"[""2016.1""]","[""2014/2016.1""]",1,13
"2014:PCdoB|PDT|PMDB|PP|PR|PSD|PT|PTB",2014,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",8,18.386622797939882,6.003612812522793,272.6097643895373,20.326547785170487,-1.9399249872306041,16.242075249619656,0.7990572438212693,14.302150262389052,0.05,"PT, PMDB, PP",0.3224008237257621,"146693643396200269312967266006002517597087793998280699702532975568670787906925885467604349599464979609044227004152984931418487191956436025039//7978281003982768312464720279820298697039211128703061371652537420207542457050297717449689395315120535315306475830553981985885035567386673150","122715168492434358607246460543057910331168615537077505494103705216466870882718904202187085780556721316007131270532531353221020937567289574068950013//20440220301426784709473301456654848316736609245148055282130482777435580246741092897044907586077618454428714830867790182430143701078040011036856450","138493957200611551057064895611956670586633949706541460745141054821095515634323238823800451337330369013429889446047215459762736568206692153711931//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","-528703429610260842551634017713220822348838945280389727967115747418026510472341305378653471175491057092244783380022653133253940251035831533145//272538079096051365553794844758661403490859452156496576455650678274289650332838170028081389743964517486370869214371724024637832814981928754804","124928286881293145926858159611412300504835164366530468231574159038669651229597434616798243857344492141691851630046119487455101759770116087//7691645615557569654101962711558756060476376602503219497520691961569431048255529309628916257273290928974991370032786499157221596110459988","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PT",-1.215411226585322,"PCdoB",-0.5688758702547635,"PDT",-0.15563789039051862,"[""2016.2""]","[""2014/2016.2""]",1,14
"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",2014,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,15.742022264747815,4.529069893162678,238.7289078420895,17.681947251978418,-1.9399249872306041,13.597474716427588,0.7690032394427699,11.657549729196983,0.05,"PT, PMDB, PSD",0.48380624624314594,"156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775","231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650","4154313740286122909384693943749808323420922530687933686298978602374665789587604444303519337730041655551956216544427820688658345984002468144989//234946619910389108236030038585052934043844355307324634875560929546801422700722560369035680813762515074457645874458382779860200702570628236900","-528703429610260842551634017713220822348838945280389727967115747418026510472341305378653471175491057092244783380022653133253940251035831533145//272538079096051365553794844758661403490859452156496576455650678274289650332838170028081389743964517486370869214371724024637832814981928754804","3705829639772300572230014319782682875490736526335618727150540163127973442567017503217076552870920949959641012157071805407330839267109700210381//272538079096051365553794844758661403490859452156496576455650678274289650332838170028081389743964517486370869214371724024637832814981928754804","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PT",-1.215411226585322,"PCdoB",-0.5688758702547635,"PDT",-0.15563789039051862,"[""2016.3""]","[""2014/2016.3""]",1,5
"2014:PCdoB|PDT|PMDB|PR|PT|PTB",2014,"PCdoB, PDT, PMDB, PR, PT, PTB",6,11.09608095474679,4.622279003145202,207.281640042108,13.036005941977395,-1.9399249872306041,8.951533406426563,0.6866776101721177,7.011608419195959,0.05,"PT, PMDB, PR",0.6866776101721177,"10080348629669899414553525687037587195865764819096593028145226247927040663969205478048777000112093711320388717110554856366421171449801283522677//908460263653504551845982815862204678302864840521655254852168927580965501109460566760271299146548391621236230714572413415459442716606429182680","10758168340744135140320008257578876075430597169171239619918831256229233653380849782925201377945475607552406795642232617545032989667969201122635249789//2327459751655796552252026592531098728332408572714191894791924305590664737428919111210180143801371488010949662074812375439379029429419489256730054440","1146067102745558279650868298007902251970505932583666979487317297353593132149388047997834377809393280802697225326835196788122674737411682770951//87915509385823021146385433793116581771244984566611798856661509120738596881560700009058512820633715318184151359474749685367042843542557662840","-528703429610260842551634017713220822348838945280389727967115747418026510472341305378653471175491057092244783380022653133253940251035831533145//272538079096051365553794844758661403490859452156496576455650678274289650332838170028081389743964517486370869214371724024637832814981928754804","121981685977581433213073053442870110071551739087349164372720430308474991815424964830914034615659590000386659973936232172583372480582152687607093//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PTB",4.084472535550831,"PMDB",3.9086952162479633,"PT",-1.215411226585322,"PCdoB",-0.5688758702547635,"PDT",-0.15563789039051862,"[""2016.4""]","[""2014/2016.4""]",1,23
"2014:DEM|PMDB|PP|PPS|PR|PRB|PSB|PSD|PSDB|PTB|PV",2014,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",11,20.253867595361555,-3.9388174954975064,329.68494990013596,22.04858555901104,-1.7947179636494845,17.47238586072115,0.7924492849646927,15.677667897071665,0.05,"PSDB, PMDB, PP",0.3235691568817895,"977601766908164759319113103633716913356107076522592972955687142317840188197156391461483902908516398516647251176127282657923641587997225491//48267411757547501877967782198040776897726249934736802514805961702156348683384900526011417808800003805308650297776595440055439165875356200","-11327332729231437016981569689697583538028153130982812511512908852509220857362864860048331544045522241005396103316037828413377905799502816713871//2875820659926437709391198431141467528343427697361553430634654004176177410904755758240286284466113026724094693391827332913943120942019597752200","100151319250630118407221096997346722087469467981292461674938762499817117471385305098517992672000429705786734862434598257799016474343401411788529//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-1019018721525432175247165019211065565283287416372600596124739074714016360089438570906515877623584623822576499500348508588724541927718314063374//567787664783440344903739259913877923939290525326034534282605579738103438193412854225169561966592744763272644196607758384662151697879018239175","47618904797059500881828649369109720941094187625940001371711687936805401383335996465754195213260316594322301494212326994532729383679773051140299//2725380790960513655537948447586614034908594521564965764556506782742896503328381700280813897439645174863708692143717240246378328149819287548040","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PV",-1.4035201183314603,"DEM",-0.249641001967012,"PRB",-0.14155684335101232,"[""2016.5"",""2016.7"",""2016.9"",""2017.2"",""2017.4""]","[""2014/2016.5"",""2014/2016.7"",""2014/2016.9"",""2014/2017.2"",""2014/2017.4""]",5,520
"2014:DEM|PMDB|PP|PPS|PR|PRB|PSD|PSDB|PTB|PV",2014,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",10,19.604503474585236,-4.261774034147886,296.6572705595627,21.39922143823472,-1.7947179636494845,16.823021739944828,0.7861511124833056,15.028303776295342,0.05,"PSDB, PMDB, PP",0.33338793471327927,"89049561976588741652444876384114391780987510310356804387558819378656033873684003160071168237735808914028762098477517140347785482007198644350127//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-49595537675654803779424954327491744796982273564282823342545386760216288151320226569917645335977677795240505184758534361173852152903574822927575941041//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200","2492351583302364078318517859943664520596251529265066901450172614778670891138449018649315263044217587297676258832828338693784149164844747611721//116469264570962122031536258443872394654213441092519904468226785587303269373007764969265551172634409182209773168534924796853774707257234510600","-1019018721525432175247165019211065565283287416372600596124739074714016360089438570906515877623584623822576499500348508588724541927718314063374//567787664783440344903739259913877923939290525326034534282605579738103438193412854225169561966592744763272644196607758384662151697879018239175","1993440882432902142180404743190584237850643157476829993942716070553740424049761758392929424578032622331125436236510920229907329979613012964411//118494816998283202414693410764635392822112805285433294111152468814908543622973117403513647714767181515813421397552923488972970789122577719480","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PV",-1.4035201183314603,"DEM",-0.249641001967012,"PRB",-0.14155684335101232,"[""2016.6"",""2016.8"",""2017.1"",""2017.3"",""2017.5""]","[""2014/2016.6"",""2014/2016.8"",""2014/2017.1"",""2014/2017.3"",""2014/2017.5""]",5,158
"2014:DEM|PMDB|PP|PR|PRB|PSD|PSDB|PTB|PV",2014,"DEM, PMDB, PP, PR, PRB, PSD, PSDB, PTB, PV",9,19.112776311846176,-3.464825681416542,286.35204936957035,20.907494275495658,-1.7947179636494845,16.823021739944828,0.804640743566388,15.028303776295342,0.05,"PSDB, PMDB, PP",0.34122894622177624,"7892362639731923462958367204672919780906113502424613710431283669753809084585038155217599900251639064253606034270109543935927152882027730159897//412936483478865705384537643573729399228574927509843297660076785264075227777027530345577863248431087100561923052078369734299746689366558719400","-3665564690909259514959568107658563136386551531884507185573336515474106850658209842924955525224186008222476124995956992020569086040608958997460145851//1057936250752634796478193905695953967423822078506450861269056502541211244285872323277354610818805221823158937306732897926990467922463404207604570200","4129049513445852847587798235003940961401458602506589373206175346304523078745692533680248953206813334668272972737999697913260652918437023663733//197491361663805337357822351274392321370188008809055490185254114691514239371621862339189412857945302526355702329254872481621617981870962865800","-1019018721525432175247165019211065565283287416372600596124739074714016360089438570906515877623584623822576499500348508588724541927718314063374//567787664783440344903739259913877923939290525326034534282605579738103438193412854225169561966592744763272644196607758384662151697879018239175","1993440882432902142180404743190584237850643157476829993942716070553740424049761758392929424578032622331125436236510920229907329979613012964411//118494816998283202414693410764635392822112805285433294111152468814908543622973117403513647714767181515813421397552923488972970789122577719480","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PR",5.0428381901786,"PSD",4.645941310001025,"PTB",4.084472535550831,"PV",-1.4035201183314603,"DEM",-0.249641001967012,"PRB",-0.14155684335101232,"[""2018.1""]","[""2014/2018.1""]",1,12
"2014:DEM|PMDB|PP|PRB|PSD|PSDB|PTB|PV",2014,"DEM, PMDB, PP, PRB, PSD, PSDB, PTB, PV",8,14.069938121667574,-2.7264327197972267,256.65649459812965,15.864656085317058,-1.7947179636494845,11.780183549766228,0.7425426360593431,9.985465586116742,0.05,"PSDB, PMDB, PP",0.44969409997913756,"5045518300894191872656154843007839268811022086777929091526380032612815755458256448587251979142348377455968761191049884731982031330328488929793//358602735652699165202361637840343951961657173890127074283750892466170592543208118458001828610479628271540617387331215821891885282870958887900","-2504866745102167393662006345973872066918246950101659571635466713359435321643711595766100900442668749603193635553404890339964040211830504820241262319//918734112495709165362642075999117919078582331334549432154706962733157133195625964951386898868962429478006445555846990305018037932665587864498705700","21618614475058966336686584449536346578161773729050371978499617903242339134956027074807195627037526931506864891326825982594470619681772211685311//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020","-1019018721525432175247165019211065565283287416372600596124739074714016360089438570906515877623584623822576499500348508588724541927718314063374//567787664783440344903739259913877923939290525326034534282605579738103438193412854225169561966592744763272644196607758384662151697879018239175","7296701354664071056093377806682214854442775310335659197144655829595065803719549460878257378435404581410783589161138022562230186050048362498309//619404725218298558076806465360594098842862391264764946490115177896112841665541295518366794872646630650842884578117554601449620034049838079100","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PSD",4.645941310001025,"PTB",4.084472535550831,"PMDB",3.9086952162479633,"PV",-1.4035201183314603,"DEM",-0.249641001967012,"PRB",-0.14155684335101232,"[""2018.2""]","[""2014/2018.2""]",1,4
"2014:PMDB|PP|PRB|PSD|PSDB|PTB|PV",2014,"PMDB, PP, PRB, PSD, PSDB, PTB, PV",7,14.319579123634586,-2.4481890714757704,235.12860994784117,15.864656085317058,-1.5450769616824724,11.780183549766228,0.7425426360593431,10.235106588083754,0.05,"PSDB, PMDB, PP",0.44969409997913756,"817051591929472928629075945745249419173685686825612250705188282822878780641317096334190846385221907108723048232243816816255607825479917069//57058352405129167410686288806539837598160036712494677347262142471922765369652583079607030646828735279195321494986208258934996653389510425","-715764939240206016587307180805302326582113542971468083805868172477356240485883251371517389592444194504929948663780848363476903311720508295731079//292365057739900079420664580510890705498493690673574501908341411113288204380077267512081718395308447393597334699378501587702119062081636174345550","21618614475058966336686584449536346578161773729050371978499617903242339134956027074807195627037526931506864891326825982594470619681772211685311//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020","-619253392930153548822217965550000544025924318237167635958243899280358512990539898033975340390324487403969871830907721135861085691332541257831//400791292788310831696757124645090299251263900230142024199486291579837721077703191217766749623477231597604219432899594153879165904385189345300","7296701354664071056093377806682214854442775310335659197144655829595065803719549460878257378435404581410783589161138022562230186050048362498309//619404725218298558076806465360594098842862391264764946490115177896112841665541295518366794872646630650842884578117554601449620034049838079100","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PSD",4.645941310001025,"PTB",4.084472535550831,"PMDB",3.9086952162479633,"PV",-1.4035201183314603,"PRB",-0.14155684335101232,,,"[""2018.3""]","[""2014/2018.3""]",1,90
"2014:PMDB|PP|PRB|PSD|PSDB|PV",2014,"PMDB, PP, PRB, PSD, PSDB, PV",6,10.235106588083754,-2.738440919342003,214.50333433125826,11.780183549766228,-1.5450769616824724,11.780183549766228,1.0,10.235106588083754,0.05,"PSDB, PMDB, PP",0.6056138437594021,"2490585972196148974537480373541226933943921964416442905617895279920701040002709492967258942005497646773254702130253106745531913921352813789224//243337570621474433530173968534519110259695939425443371835402391316330044940034080382215526557111176327116847512831896450569493584805293531075","-1707217238050663281288871382762682780952345113896455848880208192526508180536136915853379431836429778346289279636643607423771707701315792625465766442//623426719193516933638935694427972873660466581977015686104979724711785197525603333359869681375367362860075802341467600564119382882880220336624121725","7296701354664071056093377806682214854442775310335659197144655829595065803719549460878257378435404581410783589161138022562230186050048362498309//619404725218298558076806465360594098842862391264764946490115177896112841665541295518366794872646630650842884578117554601449620034049838079100","-619253392930153548822217965550000544025924318237167635958243899280358512990539898033975340390324487403969871830907721135861085691332541257831//400791292788310831696757124645090299251263900230142024199486291579837721077703191217766749623477231597604219432899594153879165904385189345300","7296701354664071056093377806682214854442775310335659197144655829595065803719549460878257378435404581410783589161138022562230186050048362498309//619404725218298558076806465360594098842862391264764946490115177896112841665541295518366794872646630650842884578117554601449620034049838079100","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PSD",4.645941310001025,"PMDB",3.9086952162479633,"PP",2.644600533192068,"PV",-1.4035201183314603,"PRB",-0.14155684335101232,,,"[""2018.4""]","[""2014/2018.4""]",1,180
"2018:DEM|MDB|NOVO|PP|PSL",2018,"DEM, MDB, NOVO, PP, PSL",5,8.929052747817424,-3.5258436845767878,154.59679093675936,16.2325879755856,-7.303535227768172,11.65705874817316,0.7181269410463569,4.3535235204049885,0.05,"PSL, MDB, PP",0.7181269410463569,"3700709276026635871246170810583136274925807445528320716034935023962445309239438027960742717850600106132535700287797551677790844542560345272905646442813//414457096463140461330406544150513340721881040917599455803651759146856876085850627163945277851148865655468240782979599956850811845181212110644919860240","-4786484515776024503086602816489404576171725417847234060895658335537221426983349381580137782835454591927964314828652943084525764867241995026614248606693645853//1357543029123412076295290714388314383674321858737492242299554638488032732483549411308569331078936128435113525042148539209465999226971240375690447589379893520","2770234056653285646883526071068177633051007473507026148571847900294277491622235460982141411025190677184473000817817900798903919456738343176781367132533//170658804425999013488990929944329022650186310966070364154444842001646948976526728832212761468120121152251628557697482335173863700956969692618496413040","-2118901403091940489829674753407706583738647493092119951347686913726560019290193664097120496247404076920829111188832145183683071896662941709494371615337//290119967524198322931284580905359338505316728642319619062556231402799813260095439014761694495804205958827768548085719969795568291626848477451443902168","1989379709086864280815936499214223073126968632591334615263386117566638675507546310002663959331561928239293845334926077424128503037389619787540136958157//170658804425999013488990929944329022650186310966070364154444842001646948976526728832212761468120121152251628557697482335173863700956969692618496413040","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PP",7.318776629343754,"DEM",4.575529227412437,"MDB",4.338282118829407,"NOVO",-4.882279731577308,"PSL",-2.4212554961908648,,,"[""2019.1""]","[""2018/2019.1""]",1,406
"2018:DEM|MDB|NOVO|PP|PSDB|PSL",2018,"DEM, MDB, NOVO, PP, PSDB, PSL",6,9.349769373369428,-4.705440813799558,185.35567144043014,16.6533046011376,-7.303535227768172,12.077775373725164,0.7252479710783721,4.77424014595699,0.05,"PSL, PSDB, MDB",0.2857690325352194,"1937539133543344520857262555335891959286101350811820246198628710397298105403201592032125055634087331271846995740168145651082420233642131490041492998159//207228548231570230665203272075256670360940520458799727901825879573428438042925313581972638925574432827734120391489799978425405922590606055322459930120","-3193919187863192229504836191325085918341386494002356795895823897172270843568658655492369609617321206898940876002610991870948656364172252266577994525111465471//678771514561706038147645357194157191837160929368746121149777319244016366241774705654284665539468064217556762521074269604732999613485620187845223794689946760","198010499592320607337288620117948988800786450173306077705974061814867924871093274300905556317013374618910446935453588077672068041957455975227559910359//11890162603450750939806745119072104037103144616488508977973616041098353002462927828473839938352631391755236415905152457778506897197821658911944422220","-2118901403091940489829674753407706583738647493092119951347686913726560019290193664097120496247404076920829111188832145183683071896662941709494371615337//290119967524198322931284580905359338505316728642319619062556231402799813260095439014761694495804205958827768548085719969795568291626848477451443902168","8760009497974266241787350146815581437170808386679981723503455194114478448649260840692459765639893668736525852260378623395200630777172740084605926290801//725299918810495807328211452263398346263291821605799047656390578506999533150238597536904236239510514897069421370214299924488920729067121193628609755420","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PP",7.318776629343754,"DEM",4.575529227412437,"MDB",4.338282118829407,"NOVO",-4.882279731577308,"PSL",-2.4212554961908648,,,"[""2020.1"",""2020.3""]","[""2018/2020.1"",""2018/2020.3""]",2,8
"2018:DEM|NOVO|PP|PSDB|PSL",2018,"DEM, NOVO, PP, PSDB, PSL",5,5.01148725454002,-5.967486830784428,156.9559995762444,12.315022482308192,-7.303535227768172,7.739493254895756,0.6284595311144857,0.43595802712758375,0.05,"PSL, PSDB, PP",0.6284595311144857,"14539325195350844887983898498633640248570209425502119683941022590942284355250627382756854013552676869625082387583523732238274371792199711623970139925403//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","-56707841039620142336474647141471642415065953002452808997589660141502920138864342835632993325021348133906878484357997806765650557461715418845563954373968425963//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640","5104048460895749969468663718958672297993812050917617028202555961172554935450366289104008425146673948404767642781692169153586441536975589816987693725539//414457096463140461330406544150513340721881040917599455803651759146856876085850627163945277851148865655468240782979599956850811845181212110644919860240","-2118901403091940489829674753407706583738647493092119951347686913726560019290193664097120496247404076920829111188832145183683071896662941709494371615337//290119967524198322931284580905359338505316728642319619062556231402799813260095439014761694495804205958827768548085719969795568291626848477451443902168","22453815317641086563131623311193478567248024060856563131174041421838024674202848457076942297235028906765327856262684186703923011629900831101812943114381//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680","5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff.","PP",7.318776629343754,"DEM",4.575529227412437,"PSDB",0.42071662555200234,"NOVO",-4.882279731577308,"PSL",-2.4212554961908648,,,"[""2020.2"",""2020.4""]","[""2018/2020.2"",""2018/2020.4""]",2,78
