"coalition_id","election_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","cabinet_party_set_id","A_C","B_C","q_C","A_over_q","B_over_q","A_C_exact","B_C_exact"
"2014/2015.1",2014,"2015.1","[""dilma_2-2015-01-01""]",2015-01-01,2015-03-18,77,77,"2014:PCdoB|PDT|PMDB|PP|PR|PRB|PROS|PSD|PT|PTB",18.06336845268631,4.592762169569966,306.3438693777437,0.058964354303473576,0.014992179144629018,"246147787004967028509839670635392235477369805246548137919319829389576864560732235305303262069379713750462355044131769015376623199449700117302157//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200","160342036479021740303683413739913894989267454751092989289749983373474492548948575597444664677824469172775629845680612088306336781899538140002092236969//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600"
"2014/2015.2",2014,"2015.2","[""dilma_2-2015-03-19""]",2015-03-19,2016-03-17,365,365,"2014:PCdoB|PDT|PMDB|PP|PR|PRB|PSD|PT|PTB",18.24506595458887,3.829197613904753,295.9257364315064,0.06165420478327268,0.012939724878545809,"124311880706110391358722339014459074278833121296248324157956255549605890001984321747628640514005146480364179813085637985079526868828623172894467//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","66842274956247935460015756361187198575514145427070476160234394194459307227108516163371926951620502752253629110237079709478929453548155538217436700739//17455948137418474141890199443983240462493064295356439210939432291929985530716893334076351078510286160082122465561092815795342720720646169425475408300"
"2014/2016.1",2014,"2016.1","[""dilma_2-2016-03-18""]",2016-03-18,2016-03-30,13,13,"2014:PCdoB|PDT|PMDB|PP|PR|PROS|PSD|PT|PTB",18.204925296037324,6.7671773681880065,283.0278973357747,0.06432201725485603,0.023909930547092527,"49615353702691261155788616588945277395105902960622984939066728112330958060358600837742842031451121192396307028210758261616069117130809300455967//2725380790960513655537948447586614034908594521564965764556506782742896503328381700280813897439645174863708692143717240246378328149819287548040","47250998870320750776965771125016481736775031846856083270642064698856258712483086329607270657554868735201710367055203244129996327233631531215397091539//6982379254967389656756079777593296184997225718142575684375772916771994212286757333630540431404114464032848986224437126318137088288258467770190163320"
"2014/2016.2",2014,"2016.2","[""dilma_2-2016-03-31""]",2016-03-31,2016-04-13,14,14,"2014:PCdoB|PDT|PMDB|PP|PR|PSD|PT|PTB",18.386622797939882,6.003612812522793,272.6097643895373,0.06744667726452705,0.022022735781188366,"146693643396200269312967266006002517597087793998280699702532975568670787906925885467604349599464979609044227004152984931418487191956436025039//7978281003982768312464720279820298697039211128703061371652537420207542457050297717449689395315120535315306475830553981985885035567386673150","122715168492434358607246460543057910331168615537077505494103705216466870882718904202187085780556721316007131270532531353221020937567289574068950013//20440220301426784709473301456654848316736609245148055282130482777435580246741092897044907586077618454428714830867790182430143701078040011036856450"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,5,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",15.742022264747815,4.529069893162678,238.7289078420895,0.0659409972886928,0.01897160228353448,"156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775","231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650"
"2014/2016.4",2014,"2016.4","[""dilma_2-2016-04-19""]",2016-04-19,2016-05-11,23,23,"2014:PCdoB|PDT|PMDB|PR|PT|PTB",11.09608095474679,4.622279003145202,207.281640042108,0.05353142204245725,0.02229950999136351,"10080348629669899414553525687037587195865764819096593028145226247927040663969205478048777000112093711320388717110554856366421171449801283522677//908460263653504551845982815862204678302864840521655254852168927580965501109460566760271299146548391621236230714572413415459442716606429182680","10758168340744135140320008257578876075430597169171239619918831256229233653380849782925201377945475607552406795642232617545032989667969201122635249789//2327459751655796552252026592531098728332408572714191894791924305590664737428919111210180143801371488010949662074812375439379029429419489256730054440"
"2014/2016.5",2014,"2016.5","[""temer-2016-05-12""]",2016-05-12,2016-10-09,151,151,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSB|PSD|PSDB|PTB|PV",20.253867595361555,-3.9388174954975064,329.68494990013596,0.06143400722870912,-0.011947216567485423,"977601766908164759319113103633716913356107076522592972955687142317840188197156391461483902908516398516647251176127282657923641587997225491//48267411757547501877967782198040776897726249934736802514805961702156348683384900526011417808800003805308650297776595440055439165875356200","-11327332729231437016981569689697583538028153130982812511512908852509220857362864860048331544045522241005396103316037828413377905799502816713871//2875820659926437709391198431141467528343427697361553430634654004176177410904755758240286284466113026724094693391827332913943120942019597752200"
"2014/2016.6",2014,"2016.6","[""temer-2016-10-10""]",2016-10-10,2016-10-10,1,1,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSD|PSDB|PTB|PV",19.604503474585236,-4.261774034147886,296.6572705595627,0.06608468903393708,-0.014365985455570386,"89049561976588741652444876384114391780987510310356804387558819378656033873684003160071168237735808914028762098477517140347785482007198644350127//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-49595537675654803779424954327491744796982273564282823342545386760216288151320226569917645335977677795240505184758534361173852152903574822927575941041//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200"
"2014/2016.7",2014,"2016.7","[""temer-2016-10-11""]",2016-10-11,2016-10-24,14,14,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSB|PSD|PSDB|PTB|PV",20.253867595361555,-3.9388174954975064,329.68494990013596,0.06143400722870912,-0.011947216567485423,"977601766908164759319113103633716913356107076522592972955687142317840188197156391461483902908516398516647251176127282657923641587997225491//48267411757547501877967782198040776897726249934736802514805961702156348683384900526011417808800003805308650297776595440055439165875356200","-11327332729231437016981569689697583538028153130982812511512908852509220857362864860048331544045522241005396103316037828413377905799502816713871//2875820659926437709391198431141467528343427697361553430634654004176177410904755758240286284466113026724094693391827332913943120942019597752200"
"2014/2016.8",2014,"2016.8","[""temer-2016-10-25""]",2016-10-25,2016-10-25,1,1,"2014:DEM|PMDB|PP|PPS|PR|PRB|PSD|PSDB|PTB|PV",19.604503474585236,-4.261774034147886,296.6572705595627,0.06608468903393708,-0.014365985455570386,"89049561976588741652444876384114391780987510310356804387558819378656033873684003160071168237735808914028762098477517140347785482007198644350127//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400","-49595537675654803779424954327491744796982273564282823342545386760216288151320226569917645335977677795240505184758534361173852152903574822927575941041//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200"
