election,domain,ideological_universe,k,gap_count,case_identifier,case,case_order,cabinet_period,source_periods,period_start,period_end,period_days,coalition_start_party,coalition_end_party,minimal_ideological_inversion,coalition_parties,coalition_party_count,coalition_vote_total,coalition_vote_share,coalition_seats,coalition_quota_q_C,d_C,gross_positive_party_contribution,gross_negative_party_contribution,net_party_contribution,positive_party_count,negative_party_count,zero_party_count,largest_positive_contributor,largest_positive_d_i,second_largest_positive_contributor,second_largest_positive_d_i,largest_negative_contributor,largest_negative_d_i,second_largest_negative_contributor,second_largest_negative_d_i,largest_positive_share_of_gross_positive,top_two_positive_share_of_gross_positive,largest_negative_share_of_gross_negative,top_two_negative_share_of_gross_negative,cancellation_share,d_C_exact,gross_positive_party_contribution_exact,gross_negative_party_contribution_exact,net_party_contribution_exact,largest_positive_d_i_exact,second_largest_positive_d_i_exact,largest_negative_d_i_exact,second_largest_negative_d_i_exact,contribution_vector_group,contribution_vector_repeated,exact_closure_pass
2014,cabinet,not_applicable,,,cabinet/C2014-a264923b9881ebab3d9b,Cabinet 2014/14-05,1,14-05,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,22.77317218732521,2.502080029414715,20.271092157910495,5,2,0,PMDB,8.133380861621642,PSD,4.552732200018501,PT,-2.4217233291555798,PCdoB,-0.0803567002591352,0.35714747136318636,0.5570639416102432,0.9678840407523127,1.0,0.19798655285090094,103868387//5123966,58344480//2561983,12820573//5123966,103868387//5123966,41675167//5123966,23328045//5123966,-6204414//2561983,-411745//5123966,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,true
2022,cabinet,not_applicable,,,cabinet/C2022-259238bde0cf94feb03e,Cabinet 2022/22-01,2,22-01,"[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,53490123,0.48888043147286714,263,250.79566134558084,12.20433865441916,26.46131885287875,14.25698019845959,12.20433865441916,5,4,0,UNIÃO,11.103563583757866,PT,6.937954845575375,PSOL,-6.0617753157133025,PSB,-5.574577455280933,0.4196148969555197,0.6818072269806948,0.42517947218361524,0.8161863598752488,0.7002738587132111,1335319505//109413508,1447612861//54706754,1559906217//109413508,1335319505//109413508,1214879843//109413508,379552989//54706754,-10697421//1764734,-609934075//109413508,2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO,false,true
2014,ideological,seat_winning,0,0,ideological/2014/05-16,Ideological 2014/PSB-PTN,1,,,,,,PSB,PTN,true,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,0.4892156419050153,260,250.96762429727286,9.032375702727146,19.611551481801403,10.579175779074257,9.032375702727146,8,4,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4147239890311094,0.6468694265934166,0.4187835495405354,0.7289528721914527,0.7008228511794661,23140793//2561983,100488923//5123966,54207337//5123966,23140793//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,seat_winning,0,0,ideological/2014/05-17,Ideological 2014/PSB-PRTB,2,,,,,,PSB,PRTB,false,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB",13,48081952,0.49388092204975187,261,253.3609130115227,7.639086988477285,19.611551481801403,11.972464493324116,7.639086988477285,8,5,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4147239890311094,0.6468694265934166,0.3700478532589821,0.6441213982195986,0.7581343995490135,19571211//2561983,100488923//5123966,61346501//5123966,19571211//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPS|PRTB|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,seat_winning,0,0,ideological/2014/07-20,Ideological 2014/PV-PR,3,,,,,,PV,PR,false,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",14,48195846,0.4950508012122271,265,253.96106102187252,11.03893897812749,23.525543104696634,12.486604126569146,11.03893897812749,9,5,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.34572553013655594,0.5392484673013772,0.3548110230023991,0.6175995083535432,0.6934662377325984,28281574//2561983,120544083//5123966,63980935//5123966,28281574//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,seat_winning,0,0,ideological/2014/08-20,Ideological 2014/PTB-PR,4,,,,,,PTB,PR,true,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",13,46191382,0.4744616510767348,257,243.39882700236495,13.601172997635034,23.525543104696634,9.9243701070616,13.601172997635034,9,4,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.34572553013655594,0.5392484673013772,0.44641470805503053,0.777048869236267,0.5933868972534738,34845974//2561983,120544083//5123966,50852135//5123966,34845974//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|SOLIDARIEDADE,false,true
2014,ideological,seat_winning,0,0,ideological/2014/09-23,Ideological 2014/PT DO B-PSDC,5,,,,,,PT DO B,PSDC,true,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",15,47550066,0.4884175758839108,257,250.55821642844626,6.441783571553754,19.36915994368425,12.927376372130494,6.441783571553754,9,6,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4199139707281789,0.6549645466569002,0.34271337481325514,0.5965418154142825,0.8005425873362344,16503740//2561983,99246917//5123966,66239437//5123966,16503740//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PT DO B|PTC|PTN|SOLIDARIEDADE,false,true
2014,ideological,seat_winning,0,0,ideological/2014/09-24,Ideological 2014/PT DO B-PSL,6,,,,,,PT DO B,PSL,false,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",16,48358776,0.49672436094269656,258,254.81959716360336,3.1804028363966506,19.36915994368425,16.188757107287596,3.1804028363966506,9,7,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4199139707281789,0.6549645466569002,0.2736704710937677,0.47636273238684196,0.9105571107599587,8148138//2561983,99246917//5123966,82950641//5123966,8148138//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PSL|PT DO B|PTC|PTN|SOLIDARIEDADE,false,true
2014,ideological,seat_winning,0,0,ideological/2014/10-24,Ideological 2014/SOLIDARIEDADE-PSL,7,,,,,,SOLIDARIEDADE,PSL,true,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",15,47546279,0.48837867715010314,257,250.5382613780029,6.461738621997101,19.36915994368425,12.907421321687146,6.461738621997101,9,6,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PSL,-3.2613807351571027,0.4199139707281789,0.6549645466569002,0.3432432143924837,0.5959180635257731,0.7998010207812897,33109729//5123966,99246917//5123966,33068594//2561983,33109729//5123966,41675167//5123966,23328045//5123966,-22701141//5123966,-8355602//2561983,2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PSL|PTC|PTN|SOLIDARIEDADE,false,true
2018,ideological,seat_winning,0,0,ideological/2018/03-16,Ideological 2018/PT-PSDB,8,,,,,,PT,PSDB,true,"PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB",14,49083988,0.4995104320302238,267,256.2488516315048,10.751148368495176,24.40144681394107,13.650298445445895,10.751148368495176,6,8,0,MDB,5.600328135814278,PSD,4.986603156246441,PV,-4.31557588781834,REDE,-3.2641189226716265,0.229508036081479,0.4338649004210758,0.3161524933001103,0.5552768564572121,0.717459782850749,176075481//16377365,399631401//16377365,44711184//3275473,176075481//16377365,91718618//16377365,16333484//3275473,-141355523//32754730,-53457667//16377365,2018:AVANTE|MDB|PDT|PHS|PMN|PPS|PSB|PSD|PSDB|PT|PTB|PV|REDE|SOLIDARIEDADE,false,true
