"coalition_id","election_year","coalition_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","coalition_parties","coalition_party_count","v_C","V","vote_share","s_C","S","seat_share","q_C","d_C","r_C","R_C","vote_majority","seat_majority","majority_status","coalition_inversion"
"2014/2015.1",2014,2015,"2015.1","[""2015.1""]",2015-01-01,2016-03-23,448,448,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",9,56159756,97355354,0.5768532873908506,318,513,0.6198830409356725,295.9257364315064,22.074263568493624,-38.92573643150638,1.0745939296618185,true,true,"votes+seats",false
"2014/2016.1",2014,2016,"2016.1","[""2016.1""]",2016-03-24,2016-04-13,21,21,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",8,51734932,97355354,0.5314030494922755,297,513,0.5789473684210527,272.6097643895373,24.39023561046268,-15.609764389537323,1.0894694130457154,true,true,"votes+seats",false
"2014/2016.2",2014,2016,"2016.2","[""2016.2""]",2016-04-14,2016-04-15,2,2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,45305141,97355354,0.4653584948188879,259,513,0.5048732943469786,238.7289078420895,20.271092157910495,18.271092157910495,1.0849125995722273,false,true,"seats_only",true
"2014/2016.3",2014,2016,"2016.3","[""2016.3""]",2016-04-16,2016-05-11,26,26,"PCdoB, PDT, PMDB, PR, PT, PTB",6,39337188,97355354,0.4040577778598597,223,513,0.4346978557504873,207.281640042108,15.718359957891993,49.71835995789199,1.0758309320338209,false,false,"neither",false
"2014/2016.4",2014,2016,"2016.4","[""2016.4""]",2016-05-12,2017-12-27,595,595,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PTB, PV",9,52506119,97355354,0.5393244114750998,291,513,0.5672514619883041,276.6734230867262,14.32657691327382,-19.67342308672618,1.0517815435737858,true,true,"votes+seats",false
"2014/2017.1",2014,2017,"2017.1","[""2017.1""]",2017-12-28,2018-04-06,100,100,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,48591926,97355354,0.49911919584823244,266,513,0.5185185185185185,256.04814747014325,9.951852529856755,0.9518525298567555,1.0388671139712784,false,true,"seats_only",true
"2014/2018.1",2014,2018,"2018.1","[""2018.1""]",2018-04-07,2018-05-27,51,51,"PMDB, PP, PPS, PSD, PSDB",5,36234097,97355354,0.37218391707558274,203,513,0.39571150097465885,190.93034945977394,12.069650540226068,66.06965054022606,1.0632149397640367,false,false,"neither",false
"2014/2018.2",2014,2018,"2018.2","[""2018.2""]",2018-05-28,2018-12-31,218,218,"PMDB, PP, PPS, PSD, PSDB, PTN",6,36957279,97355354,0.3796121885602717,207,513,0.40350877192982454,194.7410527314194,12.258947268580627,62.25894726858063,1.0629499897255241,false,false,"neither",false
"2018/2019.1",2018,2019,"2019.1","[""2019.1""]",2019-01-01,2020-02-10,406,406,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSL",7,35845571,98264190,0.36478773192960734,190,513,0.37037037037037035,187.13610647988855,2.8638935201114464,69.86389352011145,1.0153037998598053,false,false,"neither",false
"2018/2020.1",2018,2020,"2020.1","[""2020.1""]",2020-02-11,2020-02-14,4,4,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",8,41737377,98264190,0.4247465633207784,220,513,0.42884990253411304,217.89498698355933,2.105013016440679,39.10501301644068,1.0096606766662304,false,false,"neither",false
"2018/2020.2",2018,2020,"2020.2","[""2020.2""]",2020-02-15,2020-06-16,123,123,"DEM, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",7,36297473,98264190,0.3693865791800655,186,513,0.36257309941520466,189.4953151193736,-3.4953151193735987,67.5046848806264,0.9815546093201739,false,false,"neither",false
"2018/2020.3",2018,2020,"2020.3","[""2020.3""]",2020-06-17,2020-12-08,175,175,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB, PSL",8,42046483,98264190,0.4278922260489808,221,513,0.43079922027290446,219.50871196312715,1.4912880368728425,37.491288036872845,1.0067937533027087,false,false,"neither",false
"2018/2020.4",2018,2020,"2020.4","[""2020.4""]",2020-12-09,2020-12-09,1,1,"DEM, NOVO, PATRIOTA, PR, PRB, PSC, PSD, PSDB, PSL",9,43766237,98264190,0.4453935558823616,228,513,0.4444444444444444,228.4868941676515,-0.4868941676515117,28.51310583234849,0.9978690499101701,false,false,"neither",false
"2018/2020.5",2018,2020,"2020.5","[""2020.5""]",2020-12-10,2021-03-28,109,109,"DEM, NOVO, PATRIOTA, PR, PRB, PSC, PSD, PSDB",8,32331236,98264190,0.32902358427826045,176,513,0.34307992202729043,168.78909873474763,7.210901265252377,88.21090126525237,1.0427213683780865,false,false,"neither",false
"2018/2021.1",2018,2021,"2021.1","[""2021.1""]",2021-03-29,2021-06-23,87,87,"DEM, NOVO, PATRIOTA, PR, PRB, PSC, PSD, PSDB, PSL",9,43766237,98264190,0.4453935558823616,228,513,0.4444444444444444,228.4868941676515,-0.4868941676515117,28.51310583234849,0.9978690499101701,false,false,"neither",false
"2018/2021.2",2018,2021,"2021.2","[""2021.2""]",2021-06-24,2021-08-03,41,41,"DEM, PATRIOTA, PR, PRB, PSC, PSD, PSDB, PSL",8,41018158,98264190,0.41742732525450016,220,513,0.42884990253411304,214.14021785555857,5.859782144441429,42.85978214444143,1.0273642298636025,false,false,"neither",false
"2018/2021.3/2022.1",2018,2021,"2021.3/2022.1","[""2021.3"",""2022.1""]",2021-08-04,2022-03-29,238,238,"DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL",9,46426736,98264190,0.47246851574312065,257,513,0.5009746588693957,242.3763485762209,14.6236514237791,14.6236514237791,1.0603344819314346,false,true,"seats_only",true
