election_year,ideological_universe,ideological_party_count,left_original_ordinal_position,right_original_ordinal_position,k,gap_count,coalition_id,q_C,d_C,R_C,minimal_seat_majority,inversion,start_index,end_index,start_party,end_party,parties,interval_size,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,required_diff,representation_ratio,vote_majority,seat_majority,majority_status,coalition_inversion,left_removed_seats,right_removed_seats,minimal_connected_winning,minimal_connected_inversion,endpoint_minimal_connected_winning,minimal_ideological_interval_inversion,old_sweep_equivalent
2014,seat_winning,28,4,4,0,0,PSOL,9.197502481476263,-4.197502481476263,0.5436258386523931,false,false,1,1,PSOL,PSOL,PSOL,1,1745470,97355354,0.01792885473971981,5,0.009746588693957114,9.197502481476263,-4.197502481476263,247.80249751852375,0.5436258386523931,false,false,neither,false,0,0,false,false,false,false,false
2014,seat_winning,28,4,5,0,0,PSOL|PCdoB,19.277859181735398,-4.277859181735398,0.7780946970611545,false,false,1,2,PSOL,PCdoB,"PSOL, PCdoB",2,3658485,97355354,0.03757867286887992,15,0.029239766081871343,19.277859181735398,-4.277859181735398,237.7221408182646,0.7780946970611545,false,false,neither,false,10,5,false,false,false,false,false
2014,seat_winning,28,4,6,0,0,PSOL|PCdoB|PT,90.69958251089098,-6.699582510890977,0.9261343621941533,false,false,1,3,PSOL,PT,"PSOL, PCdoB, PT",3,17212651,97355354,0.1768023050894561,84,0.16374269005847952,90.69958251089098,-6.699582510890977,166.300417489109,0.9261343621941533,false,false,neither,false,79,15,false,false,false,false,false
2014,seat_winning,28,4,7,0,0,PSOL|PCdoB|PT|PDT,109.29169299718227,-5.291692997182267,0.9515819285797074,false,false,1,4,PSOL,PDT,"PSOL, PCdoB, PT, PDT",4,20740997,97355354,0.21304423586195373,104,0.20272904483430798,109.29169299718227,-5.291692997182267,147.70830700281772,0.9515819285797074,false,false,neither,false,99,84,false,false,false,false,false
2014,seat_winning,28,4,8,0,0,PSOL|PCdoB|PT|PDT|PSB,142.31937233775557,-4.319372337755567,0.9696501448340797,false,false,1,5,PSOL,PSB,"PSOL, PCdoB, PT, PDT, PSB",5,27008875,97355354,0.2774256770716483,138,0.26900584795321636,142.31937233775557,-4.319372337755567,114.68062766224443,0.9696501448340797,false,false,neither,false,133,104,false,false,false,false,false
2014,seat_winning,28,4,10,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS,152.62459352774783,-4.624593527747834,0.9696995522094081,false,false,1,6,PSOL,PPS,"PSOL, PCdoB, PT, PDT, PSB, PPS",6,28964564,97355354,0.2975138275394695,148,0.2884990253411306,152.62459352774783,-4.624593527747834,104.37540647225217,0.9696995522094081,false,false,neither,false,143,138,false,false,false,false,false
2014,seat_winning,28,4,11,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV,163.18682754725538,-7.186827547255376,0.9559595118351435,false,false,1,7,PSOL,PV,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV",7,30969028,97355354,0.31810297767496176,156,0.30409356725146197,163.18682754725538,-7.186827547255376,93.81317245274462,0.9559595118351435,false,false,neither,false,151,148,false,false,false,false,false
2014,seat_winning,28,4,12,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB,183.81210316383834,-2.8121031638383442,0.9847012078343296,false,false,1,8,PSOL,PTB,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB",8,34883221,97355354,0.3583081933018291,181,0.35282651072124754,183.81210316383834,-2.8121031638383442,73.18789683616166,0.9847012078343296,false,false,neither,false,176,156,false,false,false,false,false
2014,seat_winning,28,4,13,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B,188.09343894943876,-6.093438949438763,0.9676041919193326,false,false,1,9,PSOL,PT DO B,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B",9,35695718,97355354,0.36665387709442254,182,0.35477582846003897,188.09343894943876,-6.093438949438763,68.90656105056124,0.9676041919193326,false,false,neither,false,177,181,false,false,false,false,false
2014,seat_winning,28,4,14,0,0,PSOL|PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE,202.2664305344727,-5.266430534472704,0.9739629036782991,false,false,1,10,PSOL,SOLIDARIEDADE,"PSOL, PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE",10,38385419,97355354,0.3942815410028708,197,0.3840155945419103,202.2664305344727,-5.266430534472704,54.733569465527296,0.9739629036782991,false,false,neither,false,192,182,false,false,false,false,false
