election,ideological_universe,ideological_party_count,full_party_count,k,coalition_id,coalition_label,left_index,right_index,left_original_ordinal_position,right_original_ordinal_position,left_endpoint,right_endpoint,omitted_party,party_count,parties,gap_count,votes,national_vote_total,vote_share,seats,total_seats,seat_majority_threshold,seat_share,q_C,d_C,r_C,R_C,vote_majority,seat_majority,inversion,vote_deficit_pp,minimal_seat_majority,minimal_inversion
2014,all_parties,32,32,0,PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN,PSB--PTN,8,19,8,21,PSB,PTN,,12,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0,47627762,97355354,0.4892156419050153,260,513,257,0.50682261208577,250.96762429727286,9.032375702727137,6.032375702727137,1.0359902028320125,false,true,true,1.0784358094984654,true,true
2014,all_parties,32,32,0,PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL,PSB--PPL,8,20,8,22,PSB,PPL,,13,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL",0,47769016,97355354,0.49066655337722875,260,513,257,0.50682261208577,251.71194188251835,8.288058117481654,5.288058117481654,1.0329267576877619,false,true,true,0.933344662277122,false,false
2014,all_parties,32,32,0,PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB,PSB--PRTB,8,21,8,23,PSB,PRTB,,14,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB",0,48223206,97355354,0.4953318335219653,261,513,257,0.5087719298245614,254.1052305967682,6.894769403231805,2.8947694032318054,1.0271335201838994,false,true,true,0.4668166478034692,false,false
2014,all_parties,32,32,0,PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,PV--PR,10,24,11,26,PV,PR,,15,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",0,48337100,97355354,0.49650171268444054,265,513,257,0.5165692007797271,254.705378607118,10.294621392881993,2.294621392881993,1.0404177620793842,false,true,true,0.3498287315559452,false,false
2014,all_parties,32,32,0,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,PTB--PR,11,24,12,26,PTB,PR,,14,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",0,46332636,97355354,0.47591256254894826,257,513,257,0.5009746588693957,244.14314458761046,12.856855412389535,12.856855412389535,1.052661136294064,false,true,true,2.408743745105177,true,true
2014,all_parties,32,32,0,PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR|PRB|PTC|PSDC,PT DO B--PSDC,12,27,13,29,PT DO B,PSDC,,16,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",0,47691320,97355354,0.48986848735612426,257,513,257,0.5009746588693957,251.30253401369174,5.697465986308259,5.697465986308259,1.022671741089558,false,true,true,1.0131512643875737,true,true
2014,all_parties,32,32,0,PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL,PT DO B--PSL,12,28,13,30,PT DO B,PSL,,17,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",0,48500030,97355354,0.49817527241491,258,513,257,0.5029239766081871,255.56391474884882,2.4360852511511837,1.4360852511511837,1.009532195707462,false,true,true,0.18247275850900024,false,false
2014,all_parties,32,32,0,SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL,SOLIDARIEDADE--PSL,13,28,14,30,SOLIDARIEDADE,PSL,,16,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",0,47687533,97355354,0.48982958862231657,257,513,257,0.5009746588693957,251.2825789632484,5.7174210367516025,5.7174210367516025,1.022752954304834,false,true,true,1.017041137768345,true,true
2014,all_parties,32,32,1,PCO|PCB|PSOL|PCdoB|PT|PDT|PSB|PPS|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,"PCO--PMDB, omitting PV",2,16,2,18,PCO,PMDB,PV,14,"PCO, PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",1,48664393,97355354,0.499863551418035,262,513,257,0.5107212475633528,256.43000187745196,5.569998122548043,0.5699981225480428,1.0217213199772543,false,true,true,0.013644858196499854,false,false
2014,all_parties,32,32,1,PCB|PSOL|PCdoB|PT|PDT|PSB|PPS|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,"PCB--PMDB, omitting PV",3,16,3,18,PCB,PMDB,PV,13,"PCB, PSOL, PCdoB, PT, PDT, PSB, PPS, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",1,48651424,97355354,0.4997303384054256,262,513,257,0.5107212475633528,256.3616636019833,5.6383363980166905,0.6383363980166905,1.0219936800175027,false,true,true,0.026966159457444405,false,false
