election,ideological_universe,ideological_party_count,full_party_count,k,coalition_id,coalition_label,left_index,right_index,left_original_ordinal_position,right_original_ordinal_position,left_endpoint,right_endpoint,omitted_party,party_count,parties,gap_count,votes,national_vote_total,vote_share,seats,total_seats,seat_majority_threshold,seat_share,q_C,d_C,r_C,R_C,vote_majority,seat_majority,inversion,vote_deficit_pp,minimal_seat_majority,minimal_inversion,q_C_exact,d_C_exact,R_C_exact,A_C,A_C_exact,B_C,B_C_exact,V,S,A_over_q,B_over_q,vote_denominator
2014,seat_winning,28,32,0,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,PCdoB--PMDB,2,13,5,18,PCdoB,PMDB,,12,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",0,48843439,97355354,0.5017026490397231,265,513,257,0.5165692007797271,257.37345895737792,7.6265410426220628,-0.37345895737792034,1.0296321970164182,true,true,false,,true,false,1318772853/5123966,39078137/5123966,1357850990/1318772853,2.9498929799435878,13399302771545869438540168286127902954087861456407991978421038722689852203996107505585837255216823383495326766239416073712525216402553932358667/4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400,4.676648062678475,54423550692716027296142842478573695657877817768298472276856362198007005492422320564405499874409839989743296078518813758896668559563331205417862911239/11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200,97355354,513,0.01146152750906651,0.018170669507351751,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD,PT--PSD,3,14,6,19,PT,PSD,,12,"PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD",0,52898377,97355354,0.5433535478695912,291,513,257,0.5672514619883041,278.74037005710028,12.2596299428997,-21.74037005710028,1.0439822546708548,true,true,false,,true,false,1428256179/5123966,62817927/5123966,497024702/476085393,8.1647101601993768,1123835567392298916111344850462623180964664216641535804125833089201139991476561548121694011397546514406020640656035583681055139191245234702659/137645494492955235128179214524576466409524975836614432553358928421358409259009176781859287749477029033520641017359456578099915563122186239800,4.0949197827003232,1444054694014257833279207156438309361378352694646672851579948149814754658051185694965003842657000737384810111200974025255434458604582653506858034503/352645416917544932159397968565317989141274026168816953756352167513737081428624107759118203606268407274386312435577632642330155974154468069201523400,97355354,513,0.029291451964876224,0.014690802705978591,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB,PDT--PSDB,4,15,7,20,PDT,PSDB,,12,"PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB",0,50432926,97355354,0.518029301192824,276,513,257,0.5380116959064327,265.7490315119187,10.250968488081302,-8.749031511918702,1.0385738696008062,true,true,false,,true,false,680844501/2561983,26262807/2561983,235702436/226948167,9.9610678771098691,3770514312462369541477248331665780442663627856910203845050377599178545478704833950488089652680504054144747745040877121486543308268643542662739/378525109855626896602492839942585282626193683550689689521737053158735625462275236150113041311061829842181762797738505589774767798586012159450,0.28990061097143316,281138335006848144497720061787917182815488567980463255245600979180366614371373708916514439492087984062136833193724918435217215616055120881576524713/969774896523248563438344413554624470138503571964246622829968460662776973928716296337575059917238120004562359197838489766407928928924787190304189350,97355354,513,0.037482988443790888,0.0010908811570153598,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN,PSB--PTN,5,16,8,21,PSB,PTN,,12,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0,47627762,97355354,0.4892156419050153,260,513,257,0.50682261208577,250.96762429727286,9.0323757027271458,6.032375702727137,1.0359902028320125,false,true,true,1.0784358094984654,true,true,642974787/2561983,23140793/2561983,51239660/49459599,10.508783851460613,1403943021819941147185345877176847436867696425702929237711885136510778228177627213415344748292227914382569137203610477334016818982730940970157/133597097596103610565585708215030099750421300076714008066495430526612573692567730405922249874492410532534739810966531384626388634795063115100,-1.4764081487334679,-505335373999087021438522188884760099754760523945544776353707624431070578344246413304232425824062096569191446565881948851993770212488811371081467031/342273492890558316507650969489867460048883613634439984528224162586862461386605751648555903500201689413374950305119466976379269033738160184813243300,97355354,513,0.041873065822278684,-0.0058828629902662362,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR,PTB--PR,8,20,12,26,PTB,PR,,13,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",0,46191382,97355354,0.4744616510767348,257,513,257,0.5009746588693957,243.39882700236495,13.601172997635034,13.601172997635047,1.0558801912282958,false,true,true,2.5538348923265204,true,true,623583657/2561983,34845974/2561983,658429631/623583657,12.507073279630276,15493880576109030913827003299966264087181502354767594743742035762602993302349267211241207153390164735860617864416576972562893412635183987679307/1238809450436597116153612930721188197685724782529529892980230355792225683331082591036733589745293261301685769156235109202899240068099676158200,1.0940997180047587,3472463260846408410264528794516856020794098995805106198655437482765740973754454701461270086727161185219355130056595431273788290049432966510463101019/3173808752257904389434581717087861902271466235519352583807169507623633732857616969832063832456415665469476811920198693780971403767390212622813710600,97355354,513,0.051385100880164687,0.0044950903481310858,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC,PT DO B--PSDC,9,23,13,29,PT DO B,PSDC,,15,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",0,47550066,97355354,0.4884175758839108,257,513,257,0.5009746588693957,250.55821642844626,6.4417835715537537,6.441783571553742,1.0257097279162402,false,true,true,1.1582424116089172,true,true,641925891/2561983,16503740/2561983,658429631/641925891,7.1531180778307863,1433453720940618915751225342159070167370870120165152965373014279419599789823925556632176254610129971836920559401337377493709884375768517453601/200395646394155415848378562322545149625631950115071012099743145789918860538851595608883374811738615798802109716449797076939582952192594672650,-0.71133450627703276,-365206419115531168879552341635639776928796902678977024454236297731349032903003636843019909099341552533346915324955364392896457951265541248528339783/513410239335837474761476454234801190073325420451659976792336243880293692079908627472833855250302534120062425457679200464568903550607240277219864950,97355354,513,0.028548726837994375,-0.0028389989217542733,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL,SOLIDARIEDADE--PSL,10,24,14,30,SOLIDARIEDADE,PSL,,15,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",0,47546279,97355354,0.48837867715010314,257,513,257,0.5009746588693957,250.53826137800289,6.4617386219971014,6.461738621997085,1.0257914243774842,false,true,true,1.1621322849896885,true,true,1283749533/5123966,33109729/5123966,1316859262/1283749533,7.4727456511394923,11314487474082937456016213248849387196325164857241375400156436957954901045409862267095973701699714374852292271464119624963282005947934735693723/1514100439422507586409971359770341130504774734202758758086948212634942501849100944600452165244247319368727051190954022359099071194344048637800,-1.0110070291423905,-3921796948283355009137668758048151023119372508699643905501281948163510161619429575958851757851615556589698440571652123237448657746288786376622954609/3879099586092994253753377654218497880554014287856986491319873842651107895714865185350300239668952480018249436791353959065631715715699148761216757400,97355354,513,0.029826764223708287,-0.0040353398462242077,all_valid_federal_deputy_votes
2014,seat_winning,28,32,0,PMDB|PSD|PSDB|PTN|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL|PP,PMDB--PP,13,25,18,32,PMDB,PP,,13,"PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",0,49874828,97355354,0.5122967145700071,272,513,257,0.530214424951267,262.80821457441363,9.1917854255863531,-5.808214574413682,1.0349752592036414,true,true,false,,true,false,673310178/2561983,23549198/2561983,348429688/336655089,9.3433019098938406,10610023145570563942962200432873156885844449708384794671291076472624344046099288742562696776301519426242064017710241816287282839445410742608187/1135575329566880689807478519827755847878581050652069068565211159476206876386825708450339123933185489526545288393215516769324303395758036478350,-0.15151648430748826,-440810648672582515629233607442920740515835676383197801020592468248762811262710870749696378390171780614380645946404398144003403972093389459663891521/2909324689569745690315033240663873410415510715892739868489905381988330921786148889012725179751714360013687077593515469299223786786774361570912568050,97355354,513,0.035551787926508295,-0.00057652872286679093,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PSOL|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,"PSOL--PMDB, omitting PCdoB",1,13,4,18,PSOL,PMDB,PCdoB,12,"PSOL, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",1,48675894,97355354,0.4999816856502828,260,513,257,0.50682261208577,256.49060473859504,3.5093952614049351,0.5093952614049613,1.0136823540378079,false,true,true,0.001831434971720114,true,true,657124569/2561983,8991011/2561983,666115580/657124569,-0.36611784277638904,-3114265093416579687940185264552854915401303324238066725528131505036708703496412387794650198644252197847735358389768049261270415888256390143/8506182243946671833763884043653601856768397383161566056668248385589564617129780587642989692383411906565882310061539451455612759518786790100,3.8755131041813242,84457872350155898949409312503848931378549662618918270096399583523236479032134494789603885696979069848063354651162205001121917696482409507631524669/21792694303893226144681896933811785845809069032904418490561089003657909526488006659271349661061530786619378858378393028458605144470219936860768300,97355354,513,-0.0014274122950800542,0.015109766332888066,all_valid_federal_deputy_votes
2014,seat_winning,28,32,1,PSOL|PCdoB|PT|PDT|PSB|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,"PSOL--PMDB, omitting PPS",1,13,4,18,PSOL,PMDB,PPS,12,"PSOL, PCdoB, PT, PDT, PSB, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",1,48633220,97355354,0.4995433533116217,260,513,257,0.50682261208577,256.2657402488619,3.7342597511380831,0.7342597511380973,1.0145718259003786,false,true,true,0.045664668837829936,true,true,656548470/2561983,9567110/2561983,66611558/65654847,-1.426720875770213,-381211536165343143544385509472597029368367825987134123551528343530996694196320851384904705057874645505569249038652183364275083433724542948199/267194195192207221131171416430060199500842600153428016132990861053225147385135460811844499748984821065069479621933062769252777269590126230200,5.1609806269082963,3532933731824811950283516790557325790338765356279858550685013436835494343386976002281257942971799029376131690545585260842501509024452298274264440617/684546985781116633015301938979734920097767227268879969056448325173724922773211503297111807000403378826749900610238933952758538067476320369626486600,97355354,513,-0.0055673492460783557,0.020139175146457043,all_valid_federal_deputy_votes
