ideological_universe,ordinal_position,original_ordinal_position,party,classification_label,ideology_value_numeric,ideology_source,source_party_raw,election_year
seat_winning,1,4,PSOL,extrema-esquerda,1.453,2025,PSOL,2022
seat_winning,2,6,PCdoB,esquerda,1.834,2025,PCdoB,2022
seat_winning,3,7,PT,esquerda,2.761,2025,PT,2022
seat_winning,4,8,PSB,centro-esquerda,3.699,2025,PSB,2022
seat_winning,5,9,REDE,centro-esquerda,3.802,2025,REDE,2022
seat_winning,6,10,PDT,centro-esquerda,3.977,2025,PDT,2022
seat_winning,7,11,PV,centro-esquerda,4.245,2025,PV,2022
seat_winning,8,12,SOLIDARIEDADE,centro-direita,6.193,2025,SDD,2022
seat_winning,9,13,CIDADANIA,centro-direita,6.358,2025,CDD,2022
seat_winning,10,14,AVANTE,centro-direita,6.667,2025,AVANTE,2022
seat_winning,11,15,MDB,centro-direita,6.698,2025,MDB,2022
seat_winning,12,17,PSDB,centro-direita,6.966,2025,PSDB,2022
seat_winning,13,18,PSD,direita,7.151,2025,PSD,2022
seat_winning,14,20,PODE,direita,7.666,2025,PODE,2022
seat_winning,15,21,PROS,direita,7.677,2025,PROS,2022
seat_winning,16,24,PTB,direita,7.955,2025,PTB,2022
seat_winning,17,25,PP,direita,8.398,2025,PROGRE,2022
seat_winning,18,27,REPUBLICANOS,extrema-direita,8.584,2025,REP,2022
seat_winning,19,28,PSC,extrema-direita,8.666,2025,PSC,2022
seat_winning,20,29,UNIÃO,extrema-direita,8.749,2025,UNIAO,2022
seat_winning,21,30,PATRIOTA,extrema-direita,8.862,2025,PATRI,2022
seat_winning,22,31,NOVO,extrema-direita,8.934,2025,NOVO,2022
seat_winning,23,32,PL,extrema-direita,9.068,2025,PL,2022
