"election_year","party","v_i","V","vote_share","s_i","S","seat_share","q_i","R_i","d_i","A_i","B_i","A_plus_B_residual","q_i_exact","d_i_exact","A_i_exact","B_i_exact","accounting_qualification","A_over_q","B_over_q","ever_in_cabinet","cabinet_observation_count","cabinet_distinct_set_count","cabinet_analytical_period_count","cabinet_source_period_count","cabinet_days","primary_covered_cabinet_days","provisional_cabinet_days","identified_cabinet_days","calendar_cabinet_days","unidentified_cabinet_days","cabinet_participation_status"
2014,"DEM",4085487,97355354,0.0419646874274629,21,513,0.04093567251461988,21.527884650288467,0.9754790282991694,-0.527884650288468,-0.249641001967012,-0.278243648321456,0.0,"110308149//5123966","-2704863//5123966","-1700916978492575772988274816182777534958735586439357342206722608802101600234084584300609744847499200003430172878750843755056046379966567377361//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100","-4857006694665440053216358036342188560535020855277058449360702447896239416780374913168099845404233165349331560594993584069564774895194923279664181287//17455948137418474141890199443983240462493064295356439210939432291929985530716893334076351078510286160082122465561092815795342720720646169425475408300","ex post party accounting contribution; joint electoral lists",-0.011596169620114853,-0.012924802080715699,true,4,4,12,12,694,1461,78,1383,1461,78,"observed_in_V5_primary_set"
2014,"PCB",66979,97355354,0.000687984761474957,0,513,0.0,0.35293618263665294,0.0,-0.35293618263665294,-0.3463181021658487,-0.006618080470804269,0.0,"1808433//5123966","-1808433//5123966","-494107436670572559287175440172428418579440645549438244487144091167292577730815068909664600877//1426744468684888121823328545156128994007760830658396355641616069882459279071622749257951424430","-12095518472512821623214079855944117696403693864170703192555228465909500271069594482006595509725002//1827647537057357862506648368052367414227492558106345135207887231782836335586876633006067082107722345","ex post party accounting contribution; joint electoral lists",-0.9812485066808309,-0.018751493319169175,false,0,0,0,0,0,1461,78,1383,1461,78,"not_observed_in_primary_sets_with_provisional_days"
2014,"PCO",12969,97355354,0.00013321301260945547,0,513,0.0,0.06833827546865065,0.0,-0.06833827546865065,-0.05969867669052597,-0.008639598778124683,0.0,"350163//5123966","-350163//5123966","-937882158874001663956044549565//15710267142702699668750279328139","-695477979413222614054406293922761867//80498874690125781210887693767887079274","ex post party accounting contribution; joint electoral lists",-0.8735759906307851,-0.12642400936921494,false,0,0,0,0,0,1461,78,1383,1461,78,"not_observed_in_primary_sets_with_provisional_days"
2014,"PCdoB",1913015,97355354,0.01964981812916011,10,513,0.01949317738791423,10.080356700259134,0.9920283872239294,-0.0803567002591352,-0.5688758702547635,0.4885191699956283,0.0,"51651405//5123966","-411745//5123966","-78303200466327161423989624153050023739930160089457542306947291059794163952175357751014164998183608869845176690019358237411248969214991066417//137645494492955235128179214524576466409524975836614432553358928421358409259009176781859287749477029033520641017359456578099915563122186239800","172274046375321333362591133914292690390402560748545297846338355599818522434510712829993197267337227143489077143979530750782709001127458170658999411//352645416917544932159397968565317989141274026168816953756352167513737081428624107759118203606268407274386312435577632642330155974154468069201523400","ex post party accounting contribution; joint electoral lists",-0.05643410120994423,0.04846248843387357,true,6,6,6,6,497,1461,78,1383,1461,78,"observed_in_V5_primary_set"
2014,"PDT",3528346,97355354,0.03624193077249763,20,513,0.03898635477582846,18.592110486291283,1.075725104729063,1.407889513708717,-0.15563789039051862,1.5635274040992357,0.0,"47632671//2561983","3606989//2561983","-2120862584079686717877215341699272910232760173779641157555877069287986379963583074395025952422716618733747506992710838557394961820388486160319//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200","54585706554777588965903067457832695164181439832025957882418027820500730787917921359258754970225450339195711398041578815695010013843426965806558810377//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600","ex post party accounting contribution; joint electoral lists",-0.008371179297007553,0.08409628402607051,true,6,6,6,6,497,1461,78,1383,1461,78,"observed_in_V5_primary_set"
2014,"PEN",667983,97355354,0.006861286745462401,2,513,0.003898635477582846,3.519840100422212,0.5682076295909283,-1.519840100422212,-1.6109154150291392,0.09107531460692718,0.0,"18035541//5123966","-7787609//5123966","-7409356575972621527027756613614528541159586614996014110706321575075183242450962715279345311897672782493404132881781616072262387859064164//4599469659826054060499212288583254185537768304116238373079305013013240070800640933510941828702292316741736443069250808459239926374583975","2146419859071812599328095832954433806349728104244311438441674302664660883560781080780833696744640850132800601471645800964873034674610033188649//23567526154980266920159906793482782616053216506169265471553674190309399672620076921518326558248369953045888315247776788017657768585871552044850","ex post party accounting contribution; joint electoral lists",-0.4576672147225968,0.025874844313525068,false,0,0,0,0,0,1461,78,1383,1461,78,"not_observed_in_primary_sets_with_provisional_days"
2014,"PHS",943068,97355354,0.009686863241234786,5,513,0.009746588693957114,4.969360842753446,1.0061656132883234,0.030639157246554718,-0.09207556833931149,0.12271472558586621,0.0,"12731418//2561983","78497//2561983","-177392169516470456594308007821000655732859316541671689733683638465269349557453577490218433919666053295764178798339871247407599709227373//1926593261556151502481846567606209051410581394696073963886129280976313709424638950513769292004606476989870640193990547684246237623858600","605707513886688754287172522818655314885014518110839378622141499294963861235959472517601642103293388845115673733614854379617341440605501284859//4935899184021413694782948714815458284160035553327631662218877153663539126212864772354118192037837715737939752376120485327728228606286127603800","ex post party accounting contribution; joint electoral lists",-0.018528654137398858,0.02469426742572228,false,0,0,0,0,0,1461,78,1383,1461,78,"not_observed_in_primary_sets_with_provisional_days"
2014,"PMDB",10791949,97355354,0.11085110943153675,65,513,0.1267056530214425,56.86661913837836,1.1430255743150477,8.133380861621642,3.9086952162479633,4.224685645373679,0.0,"291382623//5123966","41675167//5123966","1183158165631686216544067255830149040749674192654009893964425573012712486817105396842347796764954889674007591813996908847862935404232088757//302699008281189041665328140697789110456772237945373602176519034913023291053398829388335099009245765567518402877039988476429242541852068900","3276284753766903786866035126396436124666742111550292643880336206515709889656852930263337816186656488922906615638561750195857696471853990901578019//775509713333265544532862385889343838575372708488002097425004766623572150282859893112814921965004494205967500358127540796807620095101789036628700","ex post party accounting contribution; joint electoral lists",0.06873443991345088,0.07429113440159672,true,12,12,20,21,1461,1461,78,1383,1461,78,"observed_in_V5_primary_set"
2014,"PMN",468473,97355354,0.004811990103800557,3,513,0.005847953216374269,2.468550923249686,1.2152878726320526,0.5314490767503142,0.1733140509435868,0.3581350258067273,0.0,"12648771//5123966","2723127//5123966","1318667742169746924455636317828125251050733166684908378937568602947467890820337605522098616030922015579160576262911438048782599575178594169//7608544921721143650301363616936387590476254945742506322044965892637902019342215802012322438413303112405663573823889559593462669318311802200","6981112715438591637749476200590313349982705840234575383220062096075523476785094045534882003779801754048404164742380817586999418348968451269862573//19492962744185900772630038463409537088211127074658223574471727852518130129220428067086935877733429547830399179856050045555938269928136425935762600","ex post party accounting contribution; joint electoral lists",0.07020882142282493,0.14507905120922762,false,0,0,0,0,0,1461,78,1383,1461,78,"not_observed_in_primary_sets_with_provisional_days"
2014,"PP",6429791,97355354,0.06604455467338756,38,513,0.07407407407407407,33.88085654744782,1.1215773115648244,4.1191434525521835,2.644600533192068,1.4745429193601152,0.0,"173604357//5123966","21106351//5123966","360377174646279733698175424864244584148543926331827676849413507044604154725654198779967810863183220048463183325176173195832890693412411550145//136269039548025682776897422379330701745429726078248288227825339137144825166419085014040694871982258743185434607185862012318916407490964377402","257395447267478008936336637173366267813518604102643025612566911121325911380770794774846572573644036876911734324210567601002575010350425679248201258//174559481374184741418901994439832404624930642953564392109394322919299855307168933340763510785102861600821224655610928157953427207206461694254754083","ex post party accounting contribution; joint electoral lists",0.07805589358369634,0.04352141798112804,true,10,10,18,19,1433,1461,78,1383,1461,78,"observed_in_V5_primary_set"
