party,votes,national_vote_total,vote_share,seats,seat_share,quota,seat_diff,representation_ratio,election_year
PP,5408578,98264190,0.05504119048862052,37,0.07212475633528265,28.236130720662327,8.763869279337673,1.3103778405773048,2018
PR,5224591,98264190,0.053168819689044404,33,0.06432748538011696,27.27560450047978,5.72439549952022,1.2098723604611412,2018
MDB,5439904,98264190,0.05535998414071291,34,0.06627680311890838,28.39967186418572,5.60032813581428,1.1971969310982338,2018
DEM,4581164,98264190,0.046620890071958056,29,0.056530214424951264,23.91651660691448,5.083483393085519,1.2125511618868376,2018
PSD,5749010,98264190,0.058505646868915316,35,0.0682261208576998,30.013396843753558,4.986603156246442,1.1661459108479506,2018
PDT,4561885,98264190,0.046424694489416746,28,0.05458089668615984,23.81586827307079,4.184131726929209,1.1756867177360195,2018
PSB,5421998,98264190,0.0551777610948607,32,0.06237816764132553,28.30619144166354,3.6938085583364604,1.130494721126615,2018
PT,10126611,98264190,0.10305494809451948,56,0.10916179337231968,52.86718837248849,3.132811627511508,1.0592581471410685,2018
PRB,4984528,98264190,0.05072578321767065,29,0.056530214424951264,26.022326790665044,2.977673209334956,1.1144276310603836,2018
SOLIDARIEDADE,1953070,98264190,0.01987570446568582,13,0.025341130604288498,10.196236390896827,2.8037636091031732,1.2749802477712626,2018
PCdoB,1329575,98264190,0.0135306157818021,9,0.017543859649122806,6.941205896064477,2.058794103935523,1.2966046728426277,2018
PCO,2785,98264190,2.8341962621378142e-5,0,0.0,0.014539426824766987,-0.014539426824766987,0.0,2018
PSTU,41304,98264190,0.00042033623846082687,0,0.0,0.2156324903304042,-0.2156324903304042,0.0,2018
PPS,1590361,98264190,0.016184542914361784,8,0.015594541910331383,8.302670515067595,-0.3026705150675948,0.9635454021066702,2018
PMN,634455,98264190,0.006456624737862287,3,0.005847953216374269,3.3122484905233534,-0.31224849052335335,0.9057291470079238,2018
PCB,61343,98264190,0.0006242660729203588,0,0.0,0.3202484954081441,-0.3202484954081441,0.0,2018
PRP,852994,98264190,0.008680619053594194,4,0.007797270955165692,4.453157574493821,-0.45315757449382144,0.8982390434397932,2018
PTB,2022719,98264190,0.020584497770754533,10,0.01949317738791423,10.559847356397075,-0.559847356397075,0.9469833855071851,2018
PODE,2243320,98264190,0.022829476333138247,11,0.021442495126705652,11.71152135889992,-0.7115213588999207,0.9392460349859487,2018
PSDB,5891806,98264190,0.059958831391171086,30,0.05847953216374269,30.758880503670767,-0.7588805036707669,0.9753280844021549,2018
DC,381734,98264190,0.0038847722654611005,1,0.001949317738791423,1.9928881721815446,-0.9928881721815446,0.5017843017781249,2018
PPL,389417,98264190,0.003962959446365965,1,0.001949317738791423,2.03299819598574,-1.0329981959857402,0.4918843518772184,2018
PTC,601814,98264190,0.006124448794621927,2,0.003898635477582846,3.141842231641048,-1.1418422316410481,0.6365692012979783,2018
PMB,228302,98264190,0.002323348922939272,0,0.0,1.1918779974678466,-1.1918779974678466,0.0,2018
PHS,1428537,98264190,0.01453771714802717,6,0.011695906432748537,7.457848896937938,-1.4578488969379384,0.8045215293197338,2018
PSC,1719754,98264190,0.01750132983338081,7,0.01364522417153996,8.978182204524355,-1.9781822045243551,0.7796678481834002,2018
PATRIOTA,1432304,98264190,0.014576052578258673,5,0.009746588693957114,7.477514972646699,-2.4775149726466994,0.6686713458000911,2018
PROS,2044705,98264190,0.02080824153743088,8,0.015594541910331383,10.67462790870204,-2.674627908702041,0.7494406426549385,2018
AVANTE,1854015,98264190,0.018867656671265495,7,0.01364522417153996,9.679107872359198,-2.6791078723591983,0.7232071480461567,2018
REDE,816784,98264190,0.008312122656279973,1,0.001949317738791423,4.264118922671626,-3.264118922671626,0.2345150353765142,2018
PRTB,684976,98264190,0.006970759134126074,0,0.0,3.575999435806676,-3.575999435806676,0.0,2018
PV,1592833,98264190,0.016209699586390524,4,0.007797270955165692,8.315575887818339,-4.315575887818339,0.48102501305528145,2018
PSOL,2783934,98264190,0.02833111431539811,10,0.01949317738791423,14.53386164379923,-4.533861643799231,0.688048382809976,2018
NOVO,2748079,98264190,0.027966230627861483,8,0.015594541910331383,14.34667631209294,-6.34667631209294,0.5576204429493352,2018
PSL,11435001,98264190,0.11636997160410115,52,0.10136452241715399,59.69779543290389,-7.697795432903888,0.8710539413209041,2018
