"election","size_group_order","size_group","lower_vote_share_inclusive","upper_vote_share_exclusive","n","mean_A_i","median_A_i","mean_A_over_q","median_A_over_q","positive_A_i_count","positive_A_i_share","benchmark_note"
"2014",1,"<1%",0.0,0.01,14,-1.0434899579568586,-0.9508674955355638,-0.5356860137038569,-0.6217758344139384,3,0.21428571428571427,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2014",2,"1 to <3%",0.01,0.03,7,-0.7408217175117274,-0.3313047936910713,-0.07964112969177957,-0.02494578100848531,2,0.2857142857142857,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2014",3,"3 to <5%",0.03,0.05,4,0.8844091999605721,-0.14859736687076547,0.042998449390435296,-0.007221209246438792,1,0.25,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2014",4,">=5%",0.05,,7,2.32242494773369,2.644600533192068,0.06813316602487667,0.06873443991345088,6,0.8571428571428571,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2018",1,"<1%",0.0,0.01,11,-1.3686271019642922,-1.1545691119737076,-0.7541069664725962,-0.9243551391383551,0,0.0,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2018",2,"1 to <3%",0.01,0.03,13,-1.9812273911660452,-2.764922573613393,-0.19456266256294416,-0.2931197040661845,2,0.15384615384615385,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2018",3,"3 to <5%",0.03,0.05,2,3.8390474341612535,3.8390474341612535,0.1607927851596262,0.1607927851596262,2,1.0,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2018",4,">=5%",0.05,,9,3.6814177042714764,4.338282118829407,0.1275352887374741,0.14205313392132762,8,0.8888888888888888,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2022",1,"<1%",0.0,0.01,12,-0.5640601187195623,-0.46080280025598286,-0.7896354250998684,-0.9329145121876508,1,0.08333333333333333,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2022",2,"1 to <3%",0.01,0.03,8,-3.0103696374798443,-3.1408366979174804,-0.39380070256293875,-0.4155225164625048,1,0.125,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2022",3,"3 to <5%",0.03,0.05,5,-3.712454204948955,-3.4020788280282557,-0.20869823391186887,-0.1883579420384291,0,0.0,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"2022",4,">=5%",0.05,,7,7.059135649888325,5.119561127195656,0.12528157053694652,0.13733154060588593,7,1.0,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"pooled",1,"<1%",0.0,0.01,37,-0.9846615934496752,-0.7762173124497133,-0.6829839438986751,-0.8443545204757285,4,0.10810810810810811,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"pooled",2,"1 to <3%",0.01,0.03,28,-1.9651666145564082,-2.4786953614794207,-0.22275743363086578,-0.264157158682928,5,0.17857142857142858,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"pooled",3,"3 to <5%",0.03,0.05,11,-0.6678672142345438,-0.249641001967012,-0.04999198197075915,-0.011596169620114853,3,0.2727272727272727,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
"pooled",4,">=5%",0.05,,23,4.29581232703467,4.2634970812796755,0.10877046759000128,0.12647003269640142,21,0.9130434782608695,"5% is a descriptive national-vote benchmark, not an electoral threshold or theoretical cutoff."
