election_year,period,source_periods,period_start,period_end,period_days,days_overlapping_mandate,share_of_mandate_pct,parties,votes,vote_share_pct,seats,seat_share_pct,quota_display,seat_diff_display,required_diff_display,majority_status,coalition_inversion
2014,2015.1,"[""dilma_2-2015-01-01""]",2015-01-01,2015-03-18,77,77,5.27,"PCdoB, PDT, PMDB, PP, PR, PRB, PROS, PSD, PT, PTB",58136873,59.72,329,64.13,306.34,22.66,-49.34,votes+seats,false
2014,2015.2,"[""dilma_2-2015-03-19""]",2015-03-19,2016-03-17,365,365,24.98,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",56159756,57.69,318,61.99,295.93,22.07,-38.93,votes+seats,false
2014,2016.1,"[""dilma_2-2016-03-18""]",2016-03-18,2016-03-30,13,13,0.89,"PCdoB, PDT, PMDB, PP, PR, PROS, PSD, PT, PTB",53712049,55.17,308,60.04,283.03,24.97,-26.03,votes+seats,false
2014,2016.2,"[""dilma_2-2016-03-31""]",2016-03-31,2016-04-13,14,14,0.96,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",51734932,53.14,297,57.89,272.61,24.39,-15.61,votes+seats,false
2014,2016.3,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,5,0.34,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",45305141,46.54,259,50.49,238.73,20.27,18.27,seats_only,true
2014,2016.4,"[""dilma_2-2016-04-19""]",2016-04-19,2016-05-11,23,23,1.57,"PCdoB, PDT, PMDB, PR, PT, PTB",39337188,40.41,223,43.47,207.28,15.72,49.72,neither,false
2014,2016.5,"[""temer-2016-05-12""]",2016-05-12,2016-10-09,151,151,10.34,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",62566462,64.27,346,67.45,329.68,16.32,-72.68,votes+seats,false
2014,2016.6,"[""temer-2016-10-10""]",2016-10-10,2016-10-10,1,1,0.07,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",56298584,57.83,312,60.82,296.66,15.34,-39.66,votes+seats,false
2014,2016.7,"[""temer-2016-10-11""]",2016-10-11,2016-10-24,14,14,0.96,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",62566462,64.27,346,67.45,329.68,16.32,-72.68,votes+seats,false
2014,2016.8,"[""temer-2016-10-25""]",2016-10-25,2016-10-25,1,1,0.07,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",56298584,57.83,312,60.82,296.66,15.34,-39.66,votes+seats,false
2014,2016.9,"[""temer-2016-10-26""]",2016-10-26,2017-04-25,182,182,12.46,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",62566462,64.27,346,67.45,329.68,16.32,-72.68,votes+seats,false
