election_year,period,source_periods,period_start,period_end,period_days,vote_share_pct,seats,seat_diff_display,majority_status,parties,entered_parties,left_parties
2014,2015.1,"[""2015.1""]",2015-01-01,2016-03-23,448,57.69,318,22.07,votes+seats,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",,
2014,2016.1,"[""2016.1""]",2016-03-24,2016-04-13,21,53.14,297,24.39,votes+seats,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",,PRB
2014,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,46.54,259,20.27,seats_only,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",,PP
2014,2016.3,"[""2016.3""]",2016-04-16,2016-05-11,26,40.41,223,15.72,neither,"PCdoB, PDT, PMDB, PR, PT, PTB",,PSD
2014,2016.4,"[""2016.4""]",2016-05-12,2017-12-27,595,53.93,291,14.33,votes+seats,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PTB, PV","DEM, PP, PPS, PSB, PSD, PSDB, PV","PCdoB, PDT, PR, PT"
2014,2017.1,"[""2017.1""]",2017-12-28,2018-04-06,100,49.91,266,9.95,seats_only,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",,PTB
2014,2018.1,"[""2018.1""]",2018-04-07,2018-05-27,51,37.22,203,12.07,neither,"PMDB, PP, PPS, PSD, PSDB",,"DEM, PSB, PV"
2014,2018.2,"[""2018.2""]",2018-05-28,2018-12-31,218,37.96,207,12.26,neither,"PMDB, PP, PPS, PSD, PSDB, PTN",PTN,
2018,2019.1,"[""2019.1""]",2019-01-01,2020-02-10,406,36.48,190,2.86,neither,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSL",,
2018,2020.1,"[""2020.1""]",2020-02-11,2020-02-14,4,42.47,220,2.11,neither,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",PSDB,
2018,2020.2,"[""2020.2""]",2020-02-15,2020-06-16,123,36.94,186,-3.5,neither,"DEM, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",,MDB
2018,2020.3,"[""2020.3""]",2020-06-17,2020-12-08,175,42.79,221,1.49,neither,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB, PSL",PSD,
2018,2020.4,"[""2020.4""]",2020-12-09,2020-12-09,1,44.54,228,-0.49,neither,"DEM, NOVO, PATRIOTA, PR, PRB, PSC, PSD, PSDB, PSL",PSC,
2018,2020.5,"[""2020.5""]",2020-12-10,2021-03-28,109,32.9,176,7.21,neither,"DEM, NOVO, PATRIOTA, PR, PRB, PSC, PSD, PSDB",,PSL
2018,2021.1,"[""2021.1""]",2021-03-29,2021-06-23,87,44.54,228,-0.49,neither,"DEM, NOVO, PATRIOTA, PR, PRB, PSC, PSD, PSDB, PSL",PSL,
2018,2021.2,"[""2021.2""]",2021-06-24,2021-08-03,41,41.74,220,5.86,neither,"DEM, PATRIOTA, PR, PRB, PSC, PSD, PSDB, PSL",,NOVO
2018,2021.3/2022.1,"[""2021.3"",""2022.1""]",2021-08-04,2022-03-29,238,47.25,257,14.62,seats_only,"DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL",PP,
2018,2022.2,"[""2022.2""]",2022-03-30,2022-03-31,2,45.5,250,16.6,neither,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSDB, PSL",,PSC
2018,2022.3,"[""2022.3""]",2022-04-01,2022-04-01,1,39.5,220,17.36,neither,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSL",,PSDB
2018,2022.4,"[""2022.4""]",2022-04-02,2022-12-31,274,34.18,187,11.64,neither,"DEM, PATRIOTA, PP, PRB, PSD, PSL",,PR
2022,2023.1,"[""2023.1""]",2023-01-01,2023-09-12,255,48.89,263,12.2,seats_only,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",,
2022,2023.2,"[""2023.2""]",2023-09-13,2025-12-23,833,63.79,350,22.76,votes+seats,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIÃO","PP, REPUBLICANOS",
2022,2025.1,"[""2025.1""]",2025-12-24,2026-03-19,86,54.45,291,11.66,votes+seats,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS",,UNIÃO
