election_year,ideological_universe,cabinet_party_set_id,display_label,canonical_membership,excluded_zero_seat_cabinet_parties,cabinet_period,administration_id,transition_status,source_periods,period_start,period_end,days,cabinet_status,cabinet_vote_share,cabinet_vote_share_pct,cabinet_seats,cabinet_seat_diff,cabinet_n_parties,cabinet_parliamentary_n_parties,cabinet_parties,unmapped_cabinet_parties,cabinet_min_ideology_index,cabinet_max_ideology_index,cabinet_leftmost_party,cabinet_rightmost_party,cabinet_span_width,cabinet_mean_ideology_value_unweighted,cabinet_median_ideology_value_unweighted,cabinet_mean_ideology_value_seat_weighted,cabinet_mean_ideology_value_vote_weighted,cabinet_ideology_summary,cabinet_center_count,cabinet_center_right_count,cabinet_center_left_count,cabinet_right_count,cabinet_left_count,cabinet_far_right_count,cabinet_far_left_count,closure_start_party,closure_end_party,closure_n_parties,closure_vote_share,closure_vote_share_pct,closure_seats,closure_seat_diff,closure_status,closure_parties,closure_gap_n,closure_gap_parties,closure_mean_ideology_value_unweighted,closure_median_ideology_value_unweighted,closure_mean_ideology_value_seat_weighted,closure_mean_ideology_value_vote_weighted,closure_ideology_summary,gap_ideology_summary,gap_center_count,gap_center_right_count,gap_center_left_count,gap_right_count,gap_left_count,gap_far_right_count,gap_far_left_count,closest_mcw_start_party,closest_mcw_end_party,closest_mcw_n_parties,closest_mcw_vote_share,closest_mcw_vote_share_pct,closest_mcw_seats,closest_mcw_seat_diff,closest_mcw_status,closest_mcw_overlap_n,closest_mcw_jaccard,closest_mcw_cabinet_coverage,closest_mcw_parties,closest_mci_start_party,closest_mci_end_party,closest_mci_n_parties,closest_mci_vote_share,closest_mci_vote_share_pct,closest_mci_seats,closest_mci_seat_diff,closest_mci_overlap_n,closest_mci_jaccard,closest_mci_cabinet_coverage,closest_mci_parties,delta_cabinet_mean_ideology_value_unweighted,delta_cabinet_mean_ideology_value_seat_weighted,delta_cabinet_span_width,entered_ideology_summary,left_ideology_summary
2014,seat_winning,C2014-18bcced275baef2aaa3d,14-01,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,,14-01,dilma_2,not_applicable_set,"[""dilma_2-2015-01-01""]",2015-01-01,2015-03-18,77,votes+seats,0.5971615387480385,59.72,329,22.656130622256285,10,10,"PCdoB, PDT, PMDB, PP, PR, PRB, PROS, PSD, PT, PTB",,2,25,PCdoB,PP,24,6.024000000000001,7.05,6.041306990881459,5.940528026507377,left: 2; center-left: 1; center-right: 1; right: 6,0,1,1,6,2,0,0,PCdoB,PP,24,0.9031482541781934,90.31,472,8.68494560658678,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",14,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PRTB, PRP, PTC, PSDC, PSL",6.442916666666666,7.05,6.057711864406779,6.024279057039554,left: 2; center-left: 2; center: 2; center-right: 5; right: 13,center-left: 1; center: 2; center-right: 4; right: 7,2,4,1,7,0,0,0,PMDB,PP,13,0.5122967145700071,51.23,272,9.191785425586318,votes+seats,6,0.35294117647058826,0.6,"PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",PTB,PR,13,0.4744616510767348,47.45,257,13.601172997635047,5,0.2777777777777778,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",,,,,
2014,seat_winning,C2014-775e65d300fa693ddc20,14-02,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,,14-02,dilma_2,not_applicable_set,"[""dilma_2-2015-03-19""]",2015-03-19,2016-03-17,365,votes+seats,0.5768532873908506,57.69,318,22.07426356849362,9,9,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",,2,25,PCdoB,PP,24,5.863333333333333,7.01,5.9918867924528305,5.886682617353252,left: 2; center-left: 1; center-right: 1; right: 5,0,1,1,5,2,0,0,PCdoB,PP,24,0.9031482541781934,90.31,472,8.68494560658678,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",15,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PRTB, PROS, PRP, PTC, PSDC, PSL",6.442916666666666,7.05,6.057711864406779,6.024279057039554,left: 2; center-left: 2; center: 2; center-right: 5; right: 13,center-left: 1; center: 2; center-right: 4; right: 8,2,4,1,8,0,0,0,PCdoB,PMDB,12,0.5017026490397231,50.17,265,7.62654104262208,votes+seats,5,0.3125,0.5555555555555556,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,13,0.4744616510767348,47.45,257,13.601172997635047,4,0.2222222222222222,0.4444444444444444,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",,,,,
2014,seat_winning,C2014-a5d11edd0c3bda7c1f99,14-03,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,,14-03,dilma_2,not_applicable_set,"[""dilma_2-2016-03-18""]",2016-03-18,2016-03-30,13,votes+seats,0.5517113008494633,55.17,308,24.972102664225304,9,9,"PCdoB, PDT, PMDB, PP, PR, PROS, PSD, PT, PTB",,2,25,PCdoB,PP,24,5.82888888888889,7.01,5.922759740259741,5.78899145534366,left: 2; center-left: 1; center-right: 1; right: 5,0,1,1,5,2,0,0,PCdoB,PP,24,0.9031482541781934,90.31,472,8.68494560658678,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",15,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PRTB, PRP, PRB, PTC, PSDC, PSL",6.442916666666666,7.05,6.057711864406779,6.024279057039554,left: 2; center-left: 2; center: 2; center-right: 5; right: 13,center-left: 1; center: 2; center-right: 4; right: 8,2,4,1,8,0,0,0,PCdoB,PMDB,12,0.5017026490397231,50.17,265,7.62654104262208,votes+seats,5,0.3125,0.5555555555555556,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,13,0.4744616510767348,47.45,257,13.601172997635047,5,0.29411764705882354,0.5555555555555556,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",,,,,
2014,seat_winning,C2014-6d2a12159a495f8181b3,14-04,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,,14-04,dilma_2,not_applicable_set,"[""dilma_2-2016-03-31""]",2016-03-31,2016-04-13,14,votes+seats,0.5314030494922755,53.14,297,24.390235610462696,8,8,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",,2,25,PCdoB,PP,24,5.623749999999999,6.555,5.865454545454545,5.724749550651771,left: 2; center-left: 1; center-right: 1; right: 4,0,1,1,4,2,0,0,PCdoB,PP,24,0.9031482541781934,90.31,472,8.68494560658678,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",16,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PRTB, PROS, PRP, PRB, PTC, PSDC, PSL",6.442916666666666,7.05,6.057711864406779,6.024279057039554,left: 2; center-left: 2; center: 2; center-right: 5; right: 13,center-left: 1; center: 2; center-right: 4; right: 9,2,4,1,9,0,0,0,PCdoB,PMDB,12,0.5017026490397231,50.17,265,7.62654104262208,votes+seats,5,0.3333333333333333,0.625,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,13,0.4744616510767348,47.45,257,13.601172997635047,4,0.23529411764705882,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",,,,,
2014,seat_winning,C2014-a264923b9881ebab3d9b,14-05,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,,14-05,dilma_2,not_applicable_set,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,seats only,0.4653584948188879,46.54,259,20.271092157910488,7,7,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",,2,20,PCdoB,PR,19,5.255714285714285,6.1,5.522934362934363,5.373457341629286,left: 2; center-left: 1; center-right: 1; right: 3,0,1,1,3,2,0,0,PCdoB,PR,19,0.7746357740119768,77.46,408,10.611847931855891,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",12,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PRTB, PROS, PRP",6.03,6.88,5.74561274509804,5.691066524617006,left: 2; center-left: 2; center: 2; center-right: 5; right: 8,center-left: 1; center: 2; center-right: 4; right: 5,2,4,1,5,0,0,0,PCdoB,PMDB,12,0.5017026490397231,50.17,265,7.62654104262208,votes+seats,5,0.35714285714285715,0.7142857142857143,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,13,0.4744616510767348,47.45,257,13.601172997635047,4,0.25,0.5714285714285714,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",,,,,
2014,seat_winning,C2014-8d3ff5ab64ec71cc91c5,14-06,PCdoB;PDT;PMDB;PR;PT;PTB,,14-06,dilma_2,not_applicable_set,"[""dilma_2-2016-04-19""]",2016-04-19,2016-05-11,23,neither,0.4040577778598597,40.41,223,15.718359957891977,6,6,"PCdoB, PDT, PMDB, PR, PT, PTB",,2,20,PCdoB,PR,19,4.95,5.01,5.2699551569506715,5.113035933071779,left: 2; center-left: 1; center-right: 1; right: 2,0,1,1,2,2,0,0,PCdoB,PR,19,0.7746357740119768,77.46,408,10.611847931855891,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",13,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSD, PSDB, PTN, PRTB, PROS, PRP",6.03,6.88,5.74561274509804,5.691066524617006,left: 2; center-left: 2; center: 2; center-right: 5; right: 8,center-left: 1; center: 2; center-right: 4; right: 6,2,4,1,6,0,0,0,PCdoB,PMDB,12,0.5017026490397231,50.17,265,7.62654104262208,votes+seats,5,0.38461538461538464,0.8333333333333334,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,13,0.4744616510767348,47.45,257,13.601172997635047,3,0.1875,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",,,,,
2014,seat_winning,C2014-e44de479fb9c3be1477f,14-07,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,,14-07,temer,not_applicable_set,"[""temer-2016-05-12"",""temer-2016-10-11"",""temer-2016-10-26"",""temer-2017-04-27"",""temer-2017-08-03""]",2016-05-12,2017-10-17,520,votes+seats,0.6426607210528966,64.27,346,16.315050099864038,11,11,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",,5,28,PSB,DEM,24,6.718181818181819,7.09,6.924913294797687,6.909429829674562,center-left: 1; center: 2; center-right: 1; right: 6; far right: 1,2,1,1,6,0,1,0,PSB,DEM,24,0.7827477264373154,78.27,409,7.450416337657202,votes+seats,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",13,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.13625,7.345000000000001,6.997726161369191,7.002872646591452,center-left: 1; center: 2; center-right: 5; right: 14; far right: 2,center-right: 4; right: 8; far right: 1,0,4,0,8,0,1,0,PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,seats only,7,0.4375,0.6363636363636364,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,7,0.4375,0.6363636363636364,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",,,,,
2014,seat_winning,C2014-5afcbfcc0efa1e534140,14-08,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,,14-08,temer,not_applicable_set,"[""temer-2016-10-10"",""temer-2016-10-25"",""temer-2017-04-26"",""temer-2017-08-02"",""temer-2017-10-18""]",2016-10-10,2018-03-20,158,votes+seats,0.578279279843202,57.83,312,15.342729440437324,10,10,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",,6,28,PPS,DEM,23,6.984999999999999,7.1,7.238205128205127,7.227778108593283,center: 2; center-right: 1; right: 6; far right: 1,2,1,0,6,0,1,0,PPS,DEM,23,0.7183662852276209,71.84,375,6.478095678230488,votes+seats,"PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",13,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.270434782608696,7.45,7.264986666666665,7.267515072893523,center: 2; center-right: 5; right: 14; far right: 2,center-right: 4; right: 8; far right: 1,0,4,0,8,0,1,0,PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,seats only,6,0.375,0.6,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,6,0.375,0.6,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",,,,,
2014,seat_winning,C2014-c5d55c3e560b3a34e2ec,14-09,DEM;PMDB;PP;PR;PRB;PSD;PSDB;PTB;PV,,14-09,temer,not_applicable_set,"[""temer-2018-03-21""]",2018-03-21,2018-04-01,12,votes+seats,0.5581911293753808,55.82,302,15.647950630429648,9,9,"DEM, PMDB, PP, PR, PRB, PSD, PSDB, PTB, PV",,7,28,PV,DEM,22,7.214444444444445,7.11,7.314966887417218,7.310830295294353,center: 1; center-right: 1; right: 6; far right: 1,1,1,0,6,0,1,0,PV,DEM,22,0.6982781347597996,69.83,365,6.783316868222812,votes+seats,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",13,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.377272727272726,7.46,7.329232876712329,7.335048672561489,center: 1; center-right: 5; right: 14; far right: 2,center-right: 4; right: 8; far right: 1,0,4,0,8,0,1,0,PMDB,PP,13,0.5122967145700071,51.23,272,9.191785425586318,votes+seats,6,0.375,0.6666666666666666,"PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,5,0.3125,0.5555555555555556,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",,,,,
2014,seat_winning,C2014-b99061a13a4cbf708682,14-10,DEM;PMDB;PP;PRB;PSD;PSDB;PTB;PV,,14-10,temer,not_applicable_set,"[""temer-2018-04-02""]",2018-04-02,2018-04-05,4,votes+seats,0.5003050576961592,50.03,268,11.343505401870345,8,8,"DEM, PMDB, PP, PRB, PSD, PSDB, PTB, PV",,7,28,PV,DEM,22,7.14375,7.1,7.255970149253732,7.256546632280088,center: 1; center-right: 1; right: 5; far right: 1,1,1,0,5,0,1,0,PV,DEM,22,0.6982781347597996,69.83,365,6.783316868222812,votes+seats,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",14,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PRTB, PROS, PRP, PR, PTC, PSDC, PSL, PSC, PEN",7.377272727272726,7.46,7.329232876712329,7.335048672561489,center: 1; center-right: 5; right: 14; far right: 2,center-right: 4; right: 9; far right: 1,0,4,0,9,0,1,0,PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,seats only,5,0.3333333333333333,0.625,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,0.4892156419050153,48.92,260,9.032375702727137,5,0.3333333333333333,0.625,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",,,,,
