election_year,ideological_universe,excluded_zero_seat_cabinet_parties,cabinet_period,administration_id,transition_status,source_periods,period_start,period_end,days,cabinet_status,cabinet_vote_share,cabinet_vote_share_pct,cabinet_seats,cabinet_seat_diff,cabinet_n_parties,cabinet_parliamentary_n_parties,cabinet_parties,unmapped_cabinet_parties,cabinet_min_ideology_index,cabinet_max_ideology_index,cabinet_leftmost_party,cabinet_rightmost_party,cabinet_span_width,cabinet_mean_ideology_value_unweighted,cabinet_median_ideology_value_unweighted,cabinet_mean_ideology_value_seat_weighted,cabinet_mean_ideology_value_vote_weighted,cabinet_ideology_summary,cabinet_center_count,cabinet_center_right_count,cabinet_center_left_count,cabinet_right_count,cabinet_left_count,cabinet_far_right_count,cabinet_far_left_count,closure_start_party,closure_end_party,closure_n_parties,closure_vote_share,closure_vote_share_pct,closure_seats,closure_seat_diff,closure_status,closure_parties,closure_gap_n,closure_gap_parties,closure_mean_ideology_value_unweighted,closure_median_ideology_value_unweighted,closure_mean_ideology_value_seat_weighted,closure_mean_ideology_value_vote_weighted,closure_ideology_summary,gap_ideology_summary,gap_center_count,gap_center_right_count,gap_center_left_count,gap_right_count,gap_left_count,gap_far_right_count,gap_far_left_count,closest_mcw_start_party,closest_mcw_end_party,closest_mcw_n_parties,closest_mcw_vote_share_pct,closest_mcw_seats,closest_mcw_seat_diff,closest_mcw_status,closest_mcw_overlap_n,closest_mcw_jaccard,closest_mcw_cabinet_coverage,closest_mcw_parties,closest_mci_start_party,closest_mci_end_party,closest_mci_n_parties,closest_mci_vote_share_pct,closest_mci_seats,closest_mci_seat_diff,closest_mci_overlap_n,closest_mci_jaccard,closest_mci_cabinet_coverage,closest_mci_parties,delta_cabinet_mean_ideology_value_unweighted,delta_cabinet_mean_ideology_value_seat_weighted,delta_cabinet_span_width,entered_ideology_summary,left_ideology_summary
2014,all_parties,,2015.1,dilma_2,first_identified,"[""dilma_2-2015-01-01""]",2015-01-01,2015-03-18,77,votes+seats,0.5971615387480385,59.72,329,22.656130622256285,10,10,"PCdoB, PDT, PMDB, PP, PR, PRB, PROS, PSD, PT, PTB",,5,29,PCdoB,PP,25,6.024000000000001,7.05,6.041306990881459,5.940528026507377,left: 2; center-left: 1; center-right: 1; right: 6,0,1,1,6,2,0,0,PCdoB,PP,25,0.9045991656504069,90.46,472,7.940628021341297,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",15,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PRP, PTC, PSDC, PSL",6.476000000000002,7.09,6.057711864406779,6.026277103108963,left: 2; center-left: 2; center: 2; center-right: 5; right: 14,center-left: 1; center: 2; center-right: 4; right: 8,2,4,1,8,0,0,0,PMDB,PP,14,51.37,272,8.447467840340835,votes+seats,6,0.3333333333333333,0.6,"PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",PTB,PR,14,47.59,257,12.856855412389535,5,0.2631578947368421,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",,,,,
2014,all_parties,,2015.2,dilma_2,identified_adjacent,"[""dilma_2-2015-03-19""]",2015-03-19,2016-03-17,365,votes+seats,0.5768532873908506,57.69,318,22.07426356849362,9,9,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",,5,29,PCdoB,PP,25,5.863333333333333,7.01,5.9918867924528305,5.886682617353252,left: 2; center-left: 1; center-right: 1; right: 5,0,1,1,5,2,0,0,PCdoB,PP,25,0.9045991656504069,90.46,472,7.940628021341297,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",16,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PROS, PRP, PTC, PSDC, PSL",6.476000000000002,7.09,6.057711864406779,6.026277103108963,left: 2; center-left: 2; center: 2; center-right: 5; right: 14,center-left: 1; center: 2; center-right: 4; right: 9,2,4,1,9,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.3125,0.5555555555555556,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,4,0.21052631578947367,0.4444444444444444,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.16066666666666762,-0.04942019842862866,0,,right: 1
2014,all_parties,,2016.1,dilma_2,identified_adjacent,"[""dilma_2-2016-03-18""]",2016-03-18,2016-03-30,13,votes+seats,0.5517113008494633,55.17,308,24.972102664225304,9,9,"PCdoB, PDT, PMDB, PP, PR, PROS, PSD, PT, PTB",,5,29,PCdoB,PP,25,5.82888888888889,7.01,5.922759740259741,5.78899145534366,left: 2; center-left: 1; center-right: 1; right: 5,0,1,1,5,2,0,0,PCdoB,PP,25,0.9045991656504069,90.46,472,7.940628021341297,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",16,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PRP, PRB, PTC, PSDC, PSL",6.476000000000002,7.09,6.057711864406779,6.026277103108963,left: 2; center-left: 2; center: 2; center-right: 5; right: 14,center-left: 1; center: 2; center-right: 4; right: 9,2,4,1,9,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.3125,0.5555555555555556,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,5,0.2777777777777778,0.5555555555555556,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.03444444444444361,-0.06912705219308979,0,right: 1,right: 1
2014,all_parties,,2016.2,dilma_2,identified_adjacent,"[""dilma_2-2016-03-31""]",2016-03-31,2016-04-13,14,votes+seats,0.5314030494922755,53.14,297,24.390235610462696,8,8,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",,5,29,PCdoB,PP,25,5.623749999999999,6.555,5.865454545454545,5.724749550651771,left: 2; center-left: 1; center-right: 1; right: 4,0,1,1,4,2,0,0,PCdoB,PP,25,0.9045991656504069,90.46,472,7.940628021341297,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",17,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PROS, PRP, PRB, PTC, PSDC, PSL",6.476000000000002,7.09,6.057711864406779,6.026277103108963,left: 2; center-left: 2; center: 2; center-right: 5; right: 14,center-left: 1; center: 2; center-right: 4; right: 10,2,4,1,10,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.3333333333333333,0.625,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,4,0.2222222222222222,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.20513888888889031,-0.05730519480519547,0,,right: 1
2014,all_parties,,2016.3,dilma_2,identified_adjacent,"[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,seats only,0.4653584948188879,46.54,259,20.271092157910488,7,7,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",,5,24,PCdoB,PR,20,5.255714285714285,6.1,5.522934362934363,5.373457341629286,left: 2; center-left: 1; center-right: 1; right: 3,0,1,1,3,2,0,0,PCdoB,PR,20,0.7760866854841902,77.61,408,9.867530346610408,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",13,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PROS, PRP",6.0920000000000005,6.92,5.74561274509804,5.694018376177074,left: 2; center-left: 2; center: 2; center-right: 5; right: 9,center-left: 1; center: 2; center-right: 4; right: 6,2,4,1,6,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.35714285714285715,0.7142857142857143,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,4,0.23529411764705882,0.5714285714285714,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.368035714285714,-0.34252018252018246,-5,,right: 1
2014,all_parties,,2016.4,dilma_2,identified_adjacent,"[""dilma_2-2016-04-19""]",2016-04-19,2016-05-11,23,neither,0.4040577778598597,40.41,223,15.718359957891977,6,6,"PCdoB, PDT, PMDB, PR, PT, PTB",,5,24,PCdoB,PR,20,4.95,5.01,5.2699551569506715,5.113035933071779,left: 2; center-left: 1; center-right: 1; right: 2,0,1,1,2,2,0,0,PCdoB,PR,20,0.7760866854841902,77.61,408,9.867530346610408,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP",6.0920000000000005,6.92,5.74561274509804,5.694018376177074,left: 2; center-left: 2; center: 2; center-right: 5; right: 9,center-left: 1; center: 2; center-right: 4; right: 7,2,4,1,7,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.38461538461538464,0.8333333333333334,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,3,0.17647058823529413,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.30571428571428516,-0.2529792059836913,0,,right: 1
2014,all_parties,,2016.5,temer,administration_boundary,"[""temer-2016-05-12""]",2016-05-12,2016-10-09,151,votes+seats,0.6426607210528966,64.27,346,16.315050099864038,11,11,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",,8,32,PSB,DEM,25,6.718181818181819,7.09,6.924913294797687,6.909429829674562,center-left: 1; center: 2; center-right: 1; right: 6; far right: 1,2,1,1,6,0,1,0,PSB,DEM,25,0.7841986379095288,78.42,409,6.7060987524117195,votes+seats,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",14,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.141600000000002,7.27,6.997726161369191,7.0033668812443395,center-left: 1; center: 2; center-right: 5; right: 15; far right: 2,center-right: 4; right: 9; far right: 1,0,4,0,9,0,1,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,7,0.4375,0.6363636363636364,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,7,0.4375,0.6363636363636364,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",,,,,
2014,all_parties,,2016.6,temer,identified_adjacent,"[""temer-2016-10-10""]",2016-10-10,2016-10-10,1,votes+seats,0.578279279843202,57.83,312,15.342729440437324,10,10,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",,9,32,PPS,DEM,24,6.984999999999999,7.1,7.238205128205127,7.227778108593283,center: 2; center-right: 1; right: 6; far right: 1,2,1,0,6,0,1,0,PPS,DEM,24,0.7198171966998343,71.98,375,5.7337780929850055,votes+seats,"PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",14,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.2704166666666685,7.359999999999999,7.264986666666665,7.267520081678062,center: 2; center-right: 5; right: 15; far right: 2,center-right: 4; right: 9; far right: 1,0,4,0,9,0,1,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,6,0.375,0.6,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,6,0.375,0.6,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0.26681818181818073,0.3132918334074404,-1,,center-left: 1
2014,all_parties,,2016.7,temer,identified_adjacent,"[""temer-2016-10-11""]",2016-10-11,2016-10-24,14,votes+seats,0.6426607210528966,64.27,346,16.315050099864038,11,11,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",,8,32,PSB,DEM,25,6.718181818181819,7.09,6.924913294797687,6.909429829674562,center-left: 1; center: 2; center-right: 1; right: 6; far right: 1,2,1,1,6,0,1,0,PSB,DEM,25,0.7841986379095288,78.42,409,6.7060987524117195,votes+seats,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",14,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.141600000000002,7.27,6.997726161369191,7.0033668812443395,center-left: 1; center: 2; center-right: 5; right: 15; far right: 2,center-right: 4; right: 9; far right: 1,0,4,0,9,0,1,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,7,0.4375,0.6363636363636364,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,7,0.4375,0.6363636363636364,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",-0.26681818181818073,-0.3132918334074404,1,center-left: 1,
2014,all_parties,,2016.8,temer,identified_adjacent,"[""temer-2016-10-25""]",2016-10-25,2016-10-25,1,votes+seats,0.578279279843202,57.83,312,15.342729440437324,10,10,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",,9,32,PPS,DEM,24,6.984999999999999,7.1,7.238205128205127,7.227778108593283,center: 2; center-right: 1; right: 6; far right: 1,2,1,0,6,0,1,0,PPS,DEM,24,0.7198171966998343,71.98,375,5.7337780929850055,votes+seats,"PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",14,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PTC, PSDC, PSL, PSC, PEN",7.2704166666666685,7.359999999999999,7.264986666666665,7.267520081678062,center: 2; center-right: 5; right: 15; far right: 2,center-right: 4; right: 9; far right: 1,0,4,0,9,0,1,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,6,0.375,0.6,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,6,0.375,0.6,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0.26681818181818073,0.3132918334074404,-1,,center-left: 1
