election_year,start_party,end_party,ideological_universe,n_parties,vote_share,vote_share_pct,seats,quota,seat_diff,status,contains_PT,coalition_inversion,parties
2014,PCdoB,PMDB,seat_winning,12,0.5017026490397231,50.17,265,257.3734589573779,7.62654104262208,votes+seats,true,false,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB"
2014,PT,PSD,seat_winning,12,0.5433535478695912,54.34,291,278.7403700571003,12.259629942899721,votes+seats,true,false,"PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD"
2014,PDT,PSDB,seat_winning,12,0.518029301192824,51.8,276,265.7490315119187,10.250968488081298,votes+seats,false,false,"PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB"
2014,PSB,PTN,seat_winning,12,0.4892156419050153,48.92,260,250.96762429727286,9.032375702727137,seats only,false,true,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN"
2014,PTB,PR,seat_winning,13,0.4744616510767348,47.45,257,243.39882700236495,13.601172997635047,seats only,false,true,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR"
2014,PT DO B,PSDC,seat_winning,15,0.4884175758839108,48.84,257,250.55821642844626,6.441783571553742,seats only,false,true,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC"
2014,SOLIDARIEDADE,PSL,seat_winning,15,0.48837867715010314,48.84,257,250.53826137800291,6.461738621997085,seats only,false,true,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL"
2014,PMDB,PP,seat_winning,13,0.5122967145700071,51.23,272,262.8082145744137,9.191785425586318,votes+seats,false,false,"PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP"
2018,PT,PSDB,seat_winning,14,0.4995104320302238,49.95,267,256.2488516315048,10.751148368495194,seats only,true,true,"PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB"
2018,PDT,PR,seat_winning,18,0.5059055999952781,50.59,268,259.52957279757766,8.470427202422343,votes+seats,false,false,"PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB, PODE, PPL, PROS, PRP, PR"
2018,PSB,PRB,seat_winning,18,0.5102066887235319,51.02,269,261.7360313151719,7.263968684828114,votes+seats,false,false,"PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB, PODE, PPL, PROS, PRP, PR, PRB"
2018,SOLIDARIEDADE,PSL,seat_winning,15,0.5012496006938031,50.12,262,257.141045155921,4.858954844078994,votes+seats,false,false,"SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB, PODE, PPL, PROS, PRP, PR, PRB, PTC, DC, PSL"
2018,PMN,NOVO,seat_winning,15,0.5093401268559787,50.93,257,261.2914850771171,-4.291485077117102,votes+seats,false,false,"PMN, PHS, MDB, PSD, PSDB, PODE, PPL, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO"
2018,MDB,PP,seat_winning,14,0.5433869754587098,54.34,285,278.75751841031814,6.242481589681859,votes+seats,false,false,"MDB, PSD, PSDB, PODE, PPL, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP"
2018,PSD,PSC,seat_winning,14,0.5055283211513777,50.55,258,259.33602875065674,-1.3360287506567374,votes+seats,false,false,"PSD, PSDB, PODE, PPL, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC"
2018,PSDB,DEM,seat_winning,15,0.5082196169326791,50.82,257,260.7166634864644,-3.7166634864644266,votes+seats,false,false,"PSDB, PODE, PPL, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC, PATRIOTA, DEM"
2022,PT,PP,seat_winning,15,0.5718472256643119,57.18,284,293.357626765792,-9.35762676579202,votes+seats,true,false,"PT, PSB, REDE, PDT, PV, SOLIDARIEDADE, CIDADANIA, AVANTE, MDB, PSDB, PSD, PODE, PROS, PTB, PP"
2022,PSB,PSC,seat_winning,16,0.5382030617279907,53.82,261,276.0981706664592,-15.098170666459225,votes+seats,false,false,"PSB, REDE, PDT, PV, SOLIDARIEDADE, CIDADANIA, AVANTE, MDB, PSDB, PSD, PODE, PROS, PTB, PP, REPUBLICANOS, PSC"
2022,MDB,UNIÃO,seat_winning,10,0.492189812614362,49.22,265,252.4933738711677,12.506626128832295,seats only,false,true,"MDB, PSDB, PSD, PODE, PROS, PTB, PP, REPUBLICANOS, PSC, UNIÃO"
2022,PP,PL,seat_winning,7,0.4526056142903306,45.26,258,232.18668013093958,25.81331986906042,seats only,false,true,"PP, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL"
