old_period,new_period,change_date,entered_contemporaneous_parties,left_contemporaneous_parties,raw_minister_events,party_lineage_event_triggered
2015.1,2016.1,2016-03-24,,REPUBLICANOS,end:George Hilton:Ministério do Esporte:REPU,
2016.1,2016.2,2016-04-14,,PP,end:Gilberto Occhi:Ministério da Integração Nacional:PP,
2016.2,2016.3,2016-04-16,,PSD,end:Gilberto Kassab:Ministério das Cidades:PSD,
2016.3,2016.4,2016-05-12,"DEM, PP, PPS, PSB, PSD, PSDB, PV","PCdoB, PDT, PL, PT","end:Kátia Abreu:Ministério da Agricultura, Pecuária e Abastecimento:MDB | end:Juca Ferreira:Ministério da Cultura:PT | end:Tereza Campello:Ministério do Desenvolvimento Social e Combate à Fome:PT | end:Armando Monteiro:Ministério do Desenvolvimento, Indústria e Comércio Exterior:PTB | end:Antonio Carlos Rodrigues:Ministério dos Transportes:PL | end:Edinho Silva:Secretaria de Comunicação Social:PT | end:Marcelo Castro:Ministério da Saúde:MDB | end:Aldo Rebelo:Ministério da Defesa:PCdoB | end:Aloizio Mercadante:Ministério da Educação:PT | end:André Figueiredo:Ministério das Comunicações:PDT | end:Miguel Rossetto:Ministério do Trabalho e Emprego:PT | end:Ricardo Berzoini:Secretaria-Geral da Presidência:PT | end:José Eduardo Cardozo:Advocacia-Geral da União:PT | end:Ricardo Leyser:Ministério do Esporte:PCdoB | end:Patrus Ananias:Ministério do Desenvolvimento Agrário:PT | end:Alessandro Teixeira:Ministério do Turismo:PT | start:Blairo Maggi:Agricultura, Pecuária e Abastecimento:PP | start:Eliseu Padilha:Casa Civil:MDB | start:Bruno Araújo:Cidades:PSDB | start:Gilberto Kassab:Ciência, Tecnologia, Inovações e Comunicações:PSD | start:Raul Jungmann:Defesa:PPS | start:Osmar Terra:Desenvolvimento Social e Agrário:MDB | start:Mendonça Filho:Educação:DEM | start:Leonardo Picciani:Esporte:MDB | start:Henrique Meirelles:Fazenda e Previdência Social:MDB | start:Helder Barbalho:Integração Nacional:MDB | start:Alexandre de Moraes:Justiça:PSDB | start:Sarney Filho:Meio Ambiente:PV | start:Fernando Bezerra Coelho Filho:Minas e Energia:PSB | start:Romero Jucá:Planejamento, Orçamento e Gestão:MDB | start:José Serra:Relações Exteriores:PSDB | start:Ricardo Barros:Saúde:PP | start:Ronaldo Nogueira:Trabalho:PTB | start:Maurício Quintella Lessa:Transportes, Portos e Aviação Civil:PR | start:Henrique Eduardo Alves:Turismo:MDB",
2016.4,2017.1,2017-12-28,,PTB,end:Ronaldo Nogueira:Trabalho:PTB,
2017.1,2018.1,2018-04-07,,"DEM, PSB, PV",end:Osmar Terra:Desenvolvimento Social e Agrário:MDB | end:Mendonça Filho:Educação:DEM | end:Leonardo Picciani:Esporte:MDB | end:Henrique Meirelles:Fazenda e Previdência Social:MDB | end:Helder Barbalho:Integração Nacional:MDB | end:Sarney Filho:Meio Ambiente:PV | end:Fernando Bezerra Coelho Filho:Minas e Energia:PSB | end:Marx Beltrão:Turismo:MDB | end:Moreira Franco:Secretaria-Geral:MDB,
2018.1,2018.2,2018-05-28,PODE,,start:Ronaldo Fonseca:Secretaria-Geral:PODE,
2018.2,2019.1,2019-01-01,"DEM, NOVO, PATRIOTA, PL, PSL, REPUBLICANOS","PODE, PP, PPS, PSD, PSDB","end:Blairo Maggi:Agricultura, Pecuária e Abastecimento:PP | end:Eliseu Padilha:Casa Civil:MDB | end:Gilberto Kassab:Ciência, Tecnologia, Inovações e Comunicações:PSD | end:Grace Mendonça:Advocacia-Geral da União:PSDB | end:Aloysio Nunes:Relações Exteriores:PSDB | end:Alexandre Baldy:Cidades:PP | end:Raul Jungmann:Segurança Pública:PPS | end:Gilberto Occhi:Saúde:PP | end:Moreira Franco:Minas e Energia:MDB | end:Ronaldo Fonseca:Secretaria-Geral:PODE | start:Onyx Lorenzoni:Casa Civil:DEM | start:Augusto Heleno:Gabinete de Segurança Institucional:Patriota | start:Tereza Cristina:Ministério da Agricultura, Pecuária e Abastecimento:DEM / UNIÃO / PP | start:Osmar Terra:Ministério da Cidadania:MDB | start:Marcos Pontes:Ministério da Ciência, Tecnologia e Inovações:PL | start:Tarcísio de Freitas:Ministério da Infraestrutura:Republicanos | start:Luiz Henrique Mandetta:Ministério da Saúde:DEM | start:Ricardo Salles:Ministério do Meio Ambiente:NOVO | start:Marcelo Álvaro Antônio:Ministério do Turismo:PSL | start:Gustavo Bebianno:Secretaria-Geral da Presidência da República:PSL",
2019.1,2020.1,2020-02-11,PSDB,,start:Rogério Marinho:Ministério do Desenvolvimento Regional:PSDB / PL,
2020.1,2020.2,2020-02-15,,MDB,end:Onyx Lorenzoni:Casa Civil:DEM | end:Osmar Terra:Ministério da Cidadania:MDB,
2020.2,2020.3,2020-06-17,PSD,,start:Fábio Faria:Ministério das Comunicações:PSD / PP,
2020.3,2020.4,2020-12-10,,PSL,end:Marcelo Álvaro Antônio:Ministério do Turismo:PSL,
2020.4,2021.1,2021-03-29,PSL,,start:Walter Braga Netto:Ministério da Defesa:PL | start:Anderson Torres:Ministério da Justiça e Segurança Pública:PSL / UNIÃO,
2021.1,2021.2,2021-06-24,,NOVO,end:Ricardo Salles:Ministério do Meio Ambiente:NOVO,
2021.2,2021.3,2021-08-04,PP,,start:Ciro Nogueira:Casa Civil:PP,
2021.3,2022.1,2022-02-08,UNIÃO,"DEM, PSL",,fusion:DEM->UNIÃO | fusion:PSL->UNIÃO
2022.1,2022.2,2022-04-01,,PSDB,"end:Marcos Pontes:Ministério da Ciência, Tecnologia e Inovações:PL | end:Tarcísio de Freitas:Ministério da Infraestrutura:Republicanos | end:Rogério Marinho:Ministério do Desenvolvimento Regional:PSDB / PL | end:João Roma:Ministério da Cidadania:REP / PL | end:Flávia Arruda:Secretaria de Governo:PL",
2022.2,2022.3,2022-04-02,,PL,end:Walter Braga Netto:Ministério da Defesa:PL,
