period,start_date,end_date,minister,office,raw_party,canonical_party_at_date,source_url_or_page,notes
2015.1,2015-01-01,2016-03-23,Aloizio Mercadante,Casa Civil,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Aldo Rebelo,"Ministério da Ciência, Tecnologia e Inovação",PCdoB,PCdoB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Juca Ferreira,Ministério da Cultura,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Jaques Wagner,Ministério da Defesa,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Cid Gomes,Ministério da Educação,PDT,PDT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Gilberto Occhi,Ministério da Integração Nacional,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,José Eduardo Cardozo,Ministério da Justiça,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Helder Barbalho,Ministério da Pesca e Aquicultura,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Carlos Eduardo Gabas,Ministério da Previdência Social,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Arthur Chioro,Ministério da Saúde,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Gilberto Kassab,Ministério das Cidades,PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Ricardo Berzoini,Ministério das Comunicações,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Eduardo Braga,Ministério de Minas e Energia,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Patrus Ananias,Ministério do Desenvolvimento Agrário,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Tereza Campello,Ministério do Desenvolvimento Social e Combate à Fome,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Armando Monteiro,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",PTB,PTB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,George Hilton,Ministério do Esporte,REPU,REPUBLICANOS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Manoel Dias,Ministério do Trabalho e Emprego,PDT,PDT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Antonio Carlos Rodrigues,Ministério dos Transportes,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Edson Coelho Araújo,Secretaria Nacional dos Portos,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Guilherme Afif Domingos,Secretaria da Micro e Pequena Empresa,PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Eliseu Padilha,Secretaria de Aviação Civil,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Thomas Traumann,Secretaria de Comunicação Social,PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Ideli Salvatti,Secretaria de Direitos Humanos,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Eleonora Menicucci,Secretaria de Políticas para as Mulheres,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Pepe Vargas,Secretaria de Relações Institucionais,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2015.1,2015-01-01,2016-03-23,Miguel Rossetto,Secretaria-Geral da Presidência,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Kátia Abreu,"Ministério da Agricultura, Pecuária e Abastecimento",MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Juca Ferreira,Ministério da Cultura,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Gilberto Occhi,Ministério da Integração Nacional,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Gilberto Kassab,Ministério das Cidades,PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Eduardo Braga,Ministério de Minas e Energia,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Patrus Ananias,Ministério do Desenvolvimento Agrário,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Tereza Campello,Ministério do Desenvolvimento Social e Combate à Fome,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Armando Monteiro,"Ministério do Desenvolvimento, Indústria e Comércio Exterior",PTB,PTB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Antonio Carlos Rodrigues,Ministério dos Transportes,PL,PL,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Edinho Silva,Secretaria de Comunicação Social,PT,PT,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Henrique Eduardo Alves,Ministério do Turismo,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
2016.1,2016-03-24,2016-04-13,Marcelo Castro,Ministério da Saúde,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,
