election_year,period,coalition_year,cabinet_party_raw,cabinet_party_normalized,cabinet_party_canonical,mapping_type,mapped_party_count,election_party,notes
2014,2015.1,2015,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2015.1,2015,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2014,2015.1,2015,PDT,PDT,PDT,label_passthrough,1,PDT,
2014,2015.1,2015,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2014.
2014,2015.1,2015,PP,PP,PP,label_passthrough,1,PP,
2014,2015.1,2015,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2015.1,2015,PT,PT,PT,label_passthrough,1,PT,
2014,2015.1,2015,PTB,PTB,PTB,label_passthrough,1,PTB,
2014,2015.1,2015,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,crosswalk_rename,1,PRB,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2014.
2014,2016.1,2016,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2016.1,2016,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2014,2016.1,2016,PDT,PDT,PDT,label_passthrough,1,PDT,
2014,2016.1,2016,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2014.
2014,2016.1,2016,PP,PP,PP,label_passthrough,1,PP,
2014,2016.1,2016,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2016.1,2016,PT,PT,PT,label_passthrough,1,PT,
2014,2016.1,2016,PTB,PTB,PTB,label_passthrough,1,PTB,
2014,2016.2,2016,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2016.2,2016,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2014,2016.2,2016,PDT,PDT,PDT,label_passthrough,1,PDT,
2014,2016.2,2016,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2014.
2014,2016.2,2016,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2016.2,2016,PT,PT,PT,label_passthrough,1,PT,
2014,2016.2,2016,PTB,PTB,PTB,label_passthrough,1,PTB,
2014,2016.3,2016,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2016.3,2016,PCdoB,PCDOB,PCdoB,label_passthrough,1,PCdoB,
2014,2016.3,2016,PDT,PDT,PDT,label_passthrough,1,PDT,
2014,2016.3,2016,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2014.
2014,2016.3,2016,PT,PT,PT,label_passthrough,1,PT,
2014,2016.3,2016,PTB,PTB,PTB,label_passthrough,1,PTB,
2014,2016.4,2016,DEM,DEM,DEM,label_passthrough,1,DEM,
2014,2016.4,2016,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2016.4,2016,PP,PP,PP,label_passthrough,1,PP,
2014,2016.4,2016,PPS,PPS,PPS,label_passthrough,1,PPS,
2014,2016.4,2016,PSB,PSB,PSB,label_passthrough,1,PSB,
2014,2016.4,2016,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2016.4,2016,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2014,2016.4,2016,PTB,PTB,PTB,label_passthrough,1,PTB,
2014,2016.4,2016,PV,PV,PV,label_passthrough,1,PV,
2014,2017.1,2017,DEM,DEM,DEM,label_passthrough,1,DEM,
2014,2017.1,2017,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2017.1,2017,PP,PP,PP,label_passthrough,1,PP,
2014,2017.1,2017,PPS,PPS,PPS,label_passthrough,1,PPS,
2014,2017.1,2017,PSB,PSB,PSB,label_passthrough,1,PSB,
2014,2017.1,2017,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2017.1,2017,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2014,2017.1,2017,PV,PV,PV,label_passthrough,1,PV,
2014,2018.1,2018,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2018.1,2018,PP,PP,PP,label_passthrough,1,PP,
2014,2018.1,2018,PPS,PPS,PPS,label_passthrough,1,PPS,
2014,2018.1,2018,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2018.1,2018,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2014,2018.2,2018,MDB,MDB,MDB,crosswalk_rename,1,PMDB,Reverte o rename pós-2018 para comparar a base ministerial com a eleição de 2014.
2014,2018.2,2018,PODE,PODE,PODE,crosswalk_rename,1,PTN,Reverte o rename pós-2017 para comparar a base ministerial com a eleição de 2014.
2014,2018.2,2018,PP,PP,PP,label_passthrough,1,PP,
2014,2018.2,2018,PPS,PPS,PPS,label_passthrough,1,PPS,
2014,2018.2,2018,PSD,PSD,PSD,label_passthrough,1,PSD,
2014,2018.2,2018,PSDB,PSDB,PSDB,label_passthrough,1,PSDB,
2018,2019.1,2019,DEM,DEM,DEM,label_passthrough,1,DEM,
2018,2019.1,2019,MDB,MDB,MDB,label_passthrough,1,MDB,
2018,2019.1,2019,NOVO,NOVO,NOVO,label_passthrough,1,NOVO,
2018,2019.1,2019,PATRIOTA,PATRIOTA,PATRIOTA,label_passthrough,1,PATRIOTA,
2018,2019.1,2019,PL,PL,PL,crosswalk_rename,1,PR,Reverte o rename pós-2019 para comparar a base ministerial com a eleição de 2018.
