source,election_year,context,raw_party,normalized_party,canonical_party,mapping_source
coalitions,2015,2015.1,MDB,MDB,MDB,shared_alias
coalitions,2015,2015.1,PCdoB,PCDOB,PCdoB,shared_alias
coalitions,2015,2015.1,PDT,PDT,PDT,shared_alias
coalitions,2015,2015.1,PL,PL,PL,shared_alias
coalitions,2015,2015.1,PP,PP,PP,shared_alias
coalitions,2015,2015.1,PSD,PSD,PSD,shared_alias
coalitions,2015,2015.1,PT,PT,PT,shared_alias
coalitions,2015,2015.1,PTB,PTB,PTB,shared_alias
coalitions,2015,2015.1,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS,shared_alias
coalitions,2016,2016.1,MDB,MDB,MDB,shared_alias
coalitions,2016,2016.1,PCdoB,PCDOB,PCdoB,shared_alias
coalitions,2016,2016.1,PDT,PDT,PDT,shared_alias
coalitions,2016,2016.1,PL,PL,PL,shared_alias
coalitions,2016,2016.1,PP,PP,PP,shared_alias
coalitions,2016,2016.1,PSD,PSD,PSD,shared_alias
coalitions,2016,2016.1,PT,PT,PT,shared_alias
coalitions,2016,2016.1,PTB,PTB,PTB,shared_alias
coalitions,2016,2016.2,MDB,MDB,MDB,shared_alias
coalitions,2016,2016.2,PCdoB,PCDOB,PCdoB,shared_alias
coalitions,2016,2016.2,PDT,PDT,PDT,shared_alias
coalitions,2016,2016.2,PL,PL,PL,shared_alias
coalitions,2016,2016.2,PSD,PSD,PSD,shared_alias
coalitions,2016,2016.2,PT,PT,PT,shared_alias
coalitions,2016,2016.2,PTB,PTB,PTB,shared_alias
coalitions,2016,2016.3,MDB,MDB,MDB,shared_alias
coalitions,2016,2016.3,PCdoB,PCDOB,PCdoB,shared_alias
coalitions,2016,2016.3,PDT,PDT,PDT,shared_alias
coalitions,2016,2016.3,PL,PL,PL,shared_alias
coalitions,2016,2016.3,PT,PT,PT,shared_alias
coalitions,2016,2016.3,PTB,PTB,PTB,shared_alias
coalitions,2016,2016.4,DEM,DEM,DEM,shared_alias
coalitions,2016,2016.4,MDB,MDB,MDB,shared_alias
coalitions,2016,2016.4,PP,PP,PP,shared_alias
coalitions,2016,2016.4,PPS,PPS,PPS,shared_alias
coalitions,2016,2016.4,PSB,PSB,PSB,shared_alias
coalitions,2016,2016.4,PSD,PSD,PSD,shared_alias
coalitions,2016,2016.4,PSDB,PSDB,PSDB,shared_alias
coalitions,2016,2016.4,PTB,PTB,PTB,shared_alias
coalitions,2016,2016.4,PV,PV,PV,shared_alias
coalitions,2017,2017.1,DEM,DEM,DEM,shared_alias
coalitions,2017,2017.1,MDB,MDB,MDB,shared_alias
coalitions,2017,2017.1,PP,PP,PP,shared_alias
coalitions,2017,2017.1,PPS,PPS,PPS,shared_alias
coalitions,2017,2017.1,PSB,PSB,PSB,shared_alias
coalitions,2017,2017.1,PSD,PSD,PSD,shared_alias
coalitions,2017,2017.1,PSDB,PSDB,PSDB,shared_alias
coalitions,2017,2017.1,PV,PV,PV,shared_alias
