source,election_year,context,raw_party,normalized_party,canonical_party,final_party,mapping_source,local_label_override_applied,dropped_before_join
ideology,2014,2023,PSTU,PSTU,PSTU,PSTU,shared_alias,false,false
ideology,2014,2023,PCO,PCO,PCO,PCO,shared_alias,false,false
ideology,2014,2023,PCB,PCB,PCB,PCB,shared_alias,false,false
ideology,2014,2023,PSOL,PSOL,PSOL,PSOL,shared_alias,false,false
ideology,2014,2023,PCdoB,PCDOB,PCdoB,PCdoB,shared_alias,false,false
ideology,2014,2023,PT,PT,PT,PT,shared_alias,false,false
ideology,2014,2023,PDT,PDT,PDT,PDT,shared_alias,false,false
ideology,2014,2023,PSB,PSB,PSB,PSB,shared_alias,false,false
ideology,2014,2023,Rede,REDE,REDE,REDE,shared_alias,false,true
ideology,2014,2023,PPS,PPS,PPS,PPS,shared_alias,false,false
ideology,2014,2023,PV,PV,PV,PV,shared_alias,false,false
ideology,2014,2023,PTB,PTB,PTB,PTB,shared_alias,false,false
ideology,2014,2023,Avante,AVANTE,AVANTE,PT DO B,shared_alias,true,false
ideology,2014,2023,SDD,SDD,SOLIDARIEDADE,SOLIDARIEDADE,shared_alias,false,false
ideology,2014,2023,PMN,PMN,PMN,PMN,shared_alias,false,false
ideology,2014,2023,PMB,PMB,PMB,PMB,shared_alias,false,true
ideology,2014,2023,PHS,PHS,PHS,PHS,shared_alias,false,false
ideology,2014,2023,MDB,MDB,MDB,PMDB,shared_alias,true,false
ideology,2014,2023,PSD,PSD,PSD,PSD,shared_alias,false,false
ideology,2014,2023,PSDB,PSDB,PSDB,PSDB,shared_alias,false,false
ideology,2014,2023,Podemos,PODEMOS,PODE,PTN,shared_alias,true,false
ideology,2014,2023,PPL,PPL,PPL,PPL,shared_alias,false,false
ideology,2014,2023,PRTB,PRTB,PRTB,PRTB,shared_alias,false,false
ideology,2014,2023,Pros,PROS,PROS,PROS,shared_alias,false,false
ideology,2014,2023,PRP,PRP,PRP,PRP,shared_alias,false,false
ideology,2014,2023,PR,PR,PR,PR,shared_alias,false,false
ideology,2014,2023,PRB,PRB,PRB,PRB,shared_alias,false,false
ideology,2014,2023,PTC,PTC,PTC,PTC,shared_alias,false,false
ideology,2014,2023,DC,DC,DC,PSDC,shared_alias,true,false
ideology,2014,2023,PSL,PSL,PSL,PSL,shared_alias,false,false
ideology,2014,2023,Novo,NOVO,NOVO,NOVO,shared_alias,false,true
ideology,2014,2023,Progressistas,PROGRESSISTAS,PP,PP,shared_alias,false,false
ideology,2014,2023,PSC,PSC,PSC,PSC,shared_alias,false,false
ideology,2014,2023,Patriota,PATRIOTA,PEN,PEN,shared_alias,false,false
ideology,2014,2023,DEM,DEM,DEM,DEM,shared_alias,false,false
ideology,2018,2023,PSTU,PSTU,PSTU,PSTU,shared_alias,false,false
