source,election_year,context,raw_party,normalized_party,canonical_party,mapping_source
votes,2014,party_mun_zone.csv,DEM,DEM,DEM,shared_alias
votes,2014,party_mun_zone.csv,PC do B,PC DO B,PCdoB,shared_alias
votes,2014,party_mun_zone.csv,PCB,PCB,PCB,shared_alias
votes,2014,party_mun_zone.csv,PCO,PCO,PCO,shared_alias
votes,2014,party_mun_zone.csv,PDT,PDT,PDT,shared_alias
votes,2014,party_mun_zone.csv,PEN,PEN,PEN,shared_alias
votes,2014,party_mun_zone.csv,PHS,PHS,PHS,shared_alias
votes,2014,party_mun_zone.csv,PMDB,PMDB,PMDB,shared_alias
votes,2014,party_mun_zone.csv,PMN,PMN,PMN,shared_alias
votes,2014,party_mun_zone.csv,PP,PP,PP,shared_alias
votes,2014,party_mun_zone.csv,PPL,PPL,PPL,shared_alias
votes,2014,party_mun_zone.csv,PPS,PPS,PPS,shared_alias
votes,2014,party_mun_zone.csv,PR,PR,PR,shared_alias
votes,2014,party_mun_zone.csv,PRB,PRB,PRB,shared_alias
votes,2014,party_mun_zone.csv,PROS,PROS,PROS,shared_alias
votes,2014,party_mun_zone.csv,PRP,PRP,PRP,shared_alias
votes,2014,party_mun_zone.csv,PRTB,PRTB,PRTB,shared_alias
votes,2014,party_mun_zone.csv,PSB,PSB,PSB,shared_alias
votes,2014,party_mun_zone.csv,PSC,PSC,PSC,shared_alias
votes,2014,party_mun_zone.csv,PSD,PSD,PSD,shared_alias
votes,2014,party_mun_zone.csv,PSDB,PSDB,PSDB,shared_alias
votes,2014,party_mun_zone.csv,PSDC,PSDC,PSDC,shared_alias
votes,2014,party_mun_zone.csv,PSL,PSL,PSL,shared_alias
votes,2014,party_mun_zone.csv,PSOL,PSOL,PSOL,shared_alias
votes,2014,party_mun_zone.csv,PSTU,PSTU,PSTU,shared_alias
votes,2014,party_mun_zone.csv,PT,PT,PT,shared_alias
votes,2014,party_mun_zone.csv,PT do B,PT DO B,PT DO B,shared_alias
votes,2014,party_mun_zone.csv,PTB,PTB,PTB,shared_alias
votes,2014,party_mun_zone.csv,PTC,PTC,PTC,shared_alias
votes,2014,party_mun_zone.csv,PTN,PTN,PTN,shared_alias
votes,2014,party_mun_zone.csv,PV,PV,PV,shared_alias
votes,2014,party_mun_zone.csv,SD,SD,SOLIDARIEDADE,shared_alias
votes,2018,party_mun_zone.csv,AVANTE,AVANTE,AVANTE,shared_alias
votes,2018,party_mun_zone.csv,DC,DC,DC,shared_alias
votes,2018,party_mun_zone.csv,DEM,DEM,DEM,shared_alias
votes,2018,party_mun_zone.csv,MDB,MDB,MDB,shared_alias
