election_year,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,1,1,PSTU,PSTU,1,0.0019359284544330248,0.0,0,-0.9931312971241417,neither,false,false
2014,1,2,PSTU,PCO,2,0.0020691414670424802,0.0,0,-1.0614695725927923,neither,false,false
2014,1,3,PSTU,PCB,3,0.002757126228517437,0.0,0,-1.4144057552294453,neither,false,false
2014,1,4,PSTU,PSOL,4,0.020685980968237247,0.009746588693957114,5,-5.611908236705707,neither,false,false
2014,1,5,PSTU,PCdoB,5,0.04033579909739735,0.029239766081871343,15,-5.692264936964843,neither,false,false
2014,1,6,PSTU,PT,6,0.17955943131797353,0.16374269005847952,84,-8.113988266120415,neither,false,false
2014,1,7,PSTU,PDT,7,0.21580136209047115,0.20272904483430798,104,-6.706098752411705,neither,false,false
2014,1,8,PSTU,PSB,8,0.2801828033001657,0.26900584795321636,138,-5.7337780929850055,neither,false,false
2014,1,9,PSTU,PPS,9,0.3002709537679869,0.2884990253411306,148,-6.038999282977272,neither,false,false
2014,1,10,PSTU,PV,10,0.3208601039034792,0.30409356725146197,156,-8.601233302484815,neither,false,false
2014,1,11,PSTU,PTB,11,0.36106531953034654,0.35282651072124754,181,-4.226508919067783,neither,false,false
2014,1,12,PSTU,PT DO B,12,0.36941100332294,0.35477582846003897,182,-7.50784470466823,neither,false,false
2014,1,13,PSTU,SOLIDARIEDADE,13,0.3970386672313882,0.3840155945419103,197,-6.6808362897021425,neither,false,false
2014,1,14,PSTU,PMN,14,0.40185065733518877,0.3898635477582846,200,-6.1493872129518365,neither,false,false
2014,1,15,PSTU,PHS,15,0.41153752057642357,0.3996101364522417,205,-6.118748055705282,neither,false,false
2014,1,16,PSTU,PMDB,16,0.5223886300079603,0.5263157894736842,270,2.014632805916335,votes+seats,false,false
2014,1,17,PSTU,PSD,17,0.5836893469669886,0.5964912280701754,306,6.567365005934846,votes+seats,false,false
2014,1,18,PSTU,PSDB,18,0.6975887325107976,0.7017543859649122,360,2.1369802219608687,votes+seats,false,false
2014,1,19,PSTU,PTN,19,0.7050170039954865,0.7095516569200779,364,2.326276950315446,votes+seats,false,false
2014,1,20,PSTU,PPL,20,0.7064679154676999,0.7095516569200779,364,1.5819593650699062,votes+seats,false,false
2014,1,21,PSTU,PRTB,21,0.7111331956124365,0.7115009746588694,365,0.18867065082008594,votes+seats,false,false
2014,1,22,PSTU,PROS,22,0.7314414469696243,0.732943469785575,376,0.7705377045827504,votes+seats,false,false
2014,1,23,PSTU,PRP,23,0.7388865947732058,0.7387914230019493,379,-0.048823118654581776,votes+seats,false,false
2014,1,24,PSTU,PR,24,0.7967726664524275,0.8050682261208577,413,4.255622109904664,votes+seats,false,false
2014,1,25,PSTU,PRB,25,0.8422229043510027,0.8460038986354775,434,1.939650067935645,votes+seats,false,false
2014,1,26,PSTU,PTC,26,0.8456959234106426,0.8499025341130604,436,2.1579912903403624,votes+seats,false,false
2014,1,27,PSTU,PSDC,27,0.8509338068864708,0.8538011695906432,438,1.4709570672404766,votes+seats,false,false
2014,1,28,PSTU,PSL,28,0.8592405919452566,0.8557504873294347,439,-1.7904236679166274,votes+seats,false,false
2014,1,29,PSTU,PP,29,0.9252851466186441,0.9298245614035088,477,2.3287197846355525,votes+seats,false,false
2014,1,30,PSTU,PSC,30,0.9511740258270747,0.9551656920077972,490,2.0477247507106995,votes+seats,false,false
2014,1,31,PSTU,PEN,31,0.958035312572537,0.9590643274853801,492,0.5278846502885131,votes+seats,false,false
2014,1,32,PSTU,DEM,32,1.0,1.0,513,0.0,votes+seats,false,false
2014,2,2,PCO,PCO,1,0.00013321301260945547,0.0,0,-0.06833827546865066,neither,false,false
2014,2,3,PCO,PCB,2,0.0008211977740844124,0.0,0,-0.42127445810530356,neither,false,false
2014,2,4,PCO,PSOL,3,0.018750052513804225,0.009746588693957114,5,-4.618776939581567,neither,false,false
2014,2,5,PCO,PCdoB,4,0.03839987064296433,0.029239766081871343,15,-4.699133639840703,neither,false,false
2014,2,6,PCO,PT,5,0.1776235028635405,0.16374269005847952,84,-7.120856968996279,neither,false,false
2014,2,7,PCO,PDT,6,0.21386543363603813,0.20272904483430798,104,-5.712967455287568,neither,false,false
2014,2,8,PCO,PSB,7,0.2782468748457327,0.26900584795321636,138,-4.740646795860869,neither,false,false
2014,2,9,PCO,PPS,8,0.2983350253135539,0.2884990253411306,148,-5.0458679858531355,neither,false,false
2014,2,10,PCO,PV,9,0.31892417544904617,0.30409356725146197,156,-7.608102005360678,neither,false,false
2014,2,11,PCO,PTB,10,0.3591293910759135,0.35282651072124754,181,-3.233377621943646,neither,false,false
2014,2,12,PCO,PT DO B,11,0.367475074868507,0.35477582846003897,182,-6.514713407544093,neither,false,false
2014,2,13,PCO,SOLIDARIEDADE,12,0.3951027387769552,0.3840155945419103,197,-5.687704992578006,neither,false,false
2014,2,14,PCO,PMN,13,0.39991472888075574,0.3898635477582846,200,-5.1562559158277,neither,false,false
2014,2,15,PCO,PHS,14,0.40960159212199054,0.3996101364522417,205,-5.125616758581145,neither,false,false
2014,2,16,PCO,PMDB,15,0.5204527015535273,0.5263157894736842,270,3.007764103040472,votes+seats,false,false
2014,2,17,PCO,PSD,16,0.5817534185125556,0.5964912280701754,306,7.560496303058983,votes+seats,false,false
2014,2,18,PCO,PSDB,17,0.6956528040563644,0.7017543859649122,360,3.1301115190850624,votes+seats,false,false
2014,2,19,PCO,PTN,18,0.7030810755410535,0.7095516569200779,364,3.3194082474395827,votes+seats,false,false
2014,2,20,PCO,PPL,19,0.7045319870132669,0.7095516569200779,364,2.5750906621941,votes+seats,false,false
2014,2,21,PCO,PRTB,20,0.7091972671580035,0.7115009746588694,365,1.1818019479442228,votes+seats,false,false
2014,2,22,PCO,PROS,21,0.7295055185151913,0.732943469785575,376,1.7636690017068872,votes+seats,false,false
2014,2,23,PCO,PRP,22,0.7369506663187728,0.7387914230019493,379,0.9443081784695551,votes+seats,false,false
2014,2,24,PCO,PR,23,0.7948367379979945,0.8050682261208577,413,5.2487534070288575,votes+seats,false,false
2014,2,25,PCO,PRB,24,0.8402869758965696,0.8460038986354775,434,2.932781365059782,votes+seats,false,false
2014,2,26,PCO,PTC,25,0.8437599949562096,0.8499025341130604,436,3.1511225874644992,votes+seats,false,false
2014,2,27,PCO,PSDC,26,0.8489978784320378,0.8538011695906432,438,2.4640883643646134,votes+seats,false,false
2014,2,28,PCO,PSL,27,0.8573046634908236,0.8557504873294347,439,-0.7972923707924906,votes+seats,false,false
2014,2,29,PCO,PP,28,0.9233492181642111,0.9298245614035088,477,3.3218510817596894,votes+seats,false,false
2014,2,30,PCO,PSC,29,0.9492380973726416,0.9551656920077972,490,3.0408560478348363,votes+seats,false,false
2014,2,31,PCO,PEN,30,0.956099384118104,0.9590643274853801,492,1.52101594741265,votes+seats,false,false
2014,2,32,PCO,DEM,31,0.998064071545567,1.0,513,0.9931312971241368,votes+seats,false,false
2014,3,3,PCB,PCB,1,0.000687984761474957,0.0,0,-0.35293618263665294,neither,false,false
2014,3,4,PCB,PSOL,2,0.018616839501194766,0.009746588693957114,5,-4.5504386641129155,neither,false,false
2014,3,5,PCB,PCdoB,3,0.038266657630354875,0.029239766081871343,15,-4.630795364372052,neither,false,false
2014,3,6,PCB,PT,4,0.17749028985093104,0.16374269005847952,84,-7.052518693527631,neither,false,false
2014,3,7,PCB,PDT,5,0.21373222062342867,0.20272904483430798,104,-5.6446291798189066,neither,false,false
2014,3,8,PCB,PSB,6,0.2781136618331232,0.26900584795321636,138,-4.672308520392193,neither,false,false
2014,3,9,PCB,PPS,7,0.29820181230094445,0.2884990253411306,148,-4.977529710384488,neither,false,false
2014,3,10,PCB,PV,8,0.31879096243643673,0.30409356725146197,156,-7.53976372989203,neither,false,false
2014,3,11,PCB,PTB,9,0.35899617806330403,0.35282651072124754,181,-3.1650393464749698,neither,false,false
