election_year,direction,party,votes,seats,vote_share_pct,seat_share_pct,quota_display,seat_diff_display
2014,overrepresented,PMDB,10791949,65,11.09,12.67,56.87,8.13
2014,overrepresented,PSD,5967953,36,6.13,7.02,31.45,4.55
2014,overrepresented,PTB,3914193,25,4.02,4.87,20.63,4.37
2014,overrepresented,PR,5635519,34,5.79,6.63,29.7,4.3
2014,overrepresented,PP,6429791,38,6.6,7.41,33.88,4.12
2014,underrepresented,PSDB,11088715,54,11.39,10.53,58.43,-4.43
2014,underrepresented,PSOL,1745470,5,1.79,0.97,9.2,-4.2
2014,underrepresented,PT DO B,812497,1,0.83,0.19,4.28,-3.28
2014,underrepresented,PSL,808710,1,0.83,0.19,4.26,-3.26
2014,underrepresented,PV,2004464,8,2.06,1.56,10.56,-2.56
2018,overrepresented,PP,5408578,37,5.5,7.21,28.24,8.76
2018,overrepresented,PR,5224591,33,5.32,6.43,27.28,5.72
2018,overrepresented,MDB,5439904,34,5.54,6.63,28.4,5.6
2018,overrepresented,DEM,4581164,29,4.66,5.65,23.92,5.08
2018,overrepresented,PSD,5749010,35,5.85,6.82,30.01,4.99
2018,underrepresented,PSL,11435001,52,11.64,10.14,59.7,-7.7
2018,underrepresented,NOVO,2748079,8,2.8,1.56,14.35,-6.35
2018,underrepresented,PSOL,2783934,10,2.83,1.95,14.53,-4.53
2018,underrepresented,PV,1592833,4,1.62,0.78,8.32,-4.32
2018,underrepresented,PRTB,684976,0,0.7,0.0,3.58,-3.58
2022,overrepresented,PL,18175921,99,16.61,19.3,85.22,13.78
2022,overrepresented,UNIÃO,10215433,59,9.34,11.5,47.9,11.1
2022,overrepresented,PT,13236698,69,12.1,13.45,62.06,6.94
2022,overrepresented,PP,8692918,47,7.95,9.16,40.76,6.24
2022,overrepresented,MDB,7950895,42,7.27,8.19,37.28,4.72
2022,underrepresented,PSOL,3852246,12,3.52,2.34,18.06,-6.06
2022,underrepresented,PTB,1422652,1,1.3,0.19,6.67,-5.67
2022,underrepresented,PSB,4174899,14,3.82,2.73,19.57,-5.57
2022,underrepresented,PODE,3612066,12,3.3,2.34,16.94,-4.94
2022,underrepresented,SOLIDARIEDADE,1702519,4,1.56,0.78,7.98,-3.98
