election_year,period,period_start,period_end,period_days,days_overlapping_mandate,share_of_mandate_pct,parties,votes,vote_share_pct,seats,seat_share_pct,quota_display,seat_diff_display,required_diff_display,majority_status,coalition_inversion
2014,2015.1,2015-01-01,2016-03-23,448,448,30.66,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",56159756,57.69,318,61.99,295.93,22.07,-38.93,votes+seats,false
2014,2016.1,2016-03-24,2016-04-13,21,21,1.44,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",51734932,53.14,297,57.89,272.61,24.39,-15.61,votes+seats,false
2014,2016.2,2016-04-14,2016-04-15,2,2,0.14,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",45305141,46.54,259,50.49,238.73,20.27,18.27,seats_only,true
2014,2016.3,2016-04-16,2016-05-11,26,26,1.78,"PCdoB, PDT, PMDB, PR, PT, PTB",39337188,40.41,223,43.47,207.28,15.72,49.72,neither,false
2014,2016.4,2016-05-12,2017-12-27,595,595,40.73,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PTB, PV",52506119,53.93,291,56.73,276.67,14.33,-19.67,votes+seats,false
2014,2017.1,2017-12-28,2018-04-06,100,100,6.84,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",48591926,49.91,266,51.85,256.05,9.95,0.95,seats_only,true
2014,2018.1,2018-04-07,2018-05-27,51,51,3.49,"PMDB, PP, PPS, PSD, PSDB",36234097,37.22,203,39.57,190.93,12.07,66.07,neither,false
2014,2018.2,2018-05-28,2018-12-31,218,218,14.92,"PMDB, PP, PPS, PSD, PSDB, PTN",36957279,37.96,207,40.35,194.74,12.26,62.26,neither,false
2018,2019.1,2019-01-01,2020-02-10,406,406,27.79,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSL",35845571,36.48,190,37.04,187.14,2.86,69.86,neither,false
2018,2020.1,2020-02-11,2020-02-14,4,4,0.27,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",41737377,42.47,220,42.88,217.89,2.11,39.11,neither,false
2018,2020.2,2020-02-15,2020-06-16,123,123,8.42,"DEM, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",36297473,36.94,186,36.26,189.5,-3.5,67.5,neither,false
2018,2020.3,2020-06-17,2020-12-09,176,176,12.05,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB, PSL",42046483,42.79,221,43.08,219.51,1.49,37.49,neither,false
2018,2020.4,2020-12-10,2021-03-28,109,109,7.46,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB",30611482,31.15,169,32.94,159.81,9.19,97.19,neither,false
2018,2021.1,2021-03-29,2021-06-23,87,87,5.95,"DEM, NOVO, PATRIOTA, PR, PRB, PSD, PSDB, PSL",42046483,42.79,221,43.08,219.51,1.49,37.49,neither,false
2018,2021.2,2021-06-24,2021-08-03,41,41,2.81,"DEM, PATRIOTA, PR, PRB, PSD, PSDB, PSL",39298404,39.99,213,41.52,205.16,7.84,51.84,neither,false
2018,2021.3,2021-08-04,2022-02-07,188,188,12.87,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSDB, PSL",44706982,45.5,250,48.73,233.4,16.6,23.6,neither,false
2018,2022.1,2022-02-08,2022-03-31,52,52,3.56,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSDB, PSL",44706982,45.5,250,48.73,233.4,16.6,23.6,neither,false
2018,2022.2,2022-04-01,2022-04-01,1,1,0.07,"DEM, PATRIOTA, PP, PR, PRB, PSD, PSL",38815176,39.5,220,42.88,202.64,17.36,54.36,neither,false
2018,2022.3,2022-04-02,2022-12-31,274,274,18.75,"DEM, PATRIOTA, PP, PRB, PSD, PSL",33590585,34.18,187,36.45,175.36,11.64,81.64,neither,false
2022,2023.1,2023-01-01,2023-09-12,255,255,21.72,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",53490123,48.89,263,51.27,250.8,12.2,6.2,seats_only,true
2022,2023.2,2023-09-13,2025-12-23,833,833,70.95,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS, UNIÃO",69793935,63.79,350,68.23,327.24,22.76,-70.24,votes+seats,false
2022,2025.1,2025-12-24,2026-03-19,86,86,7.33,"MDB, PCdoB, PDT, PP, PSB, PSD, PSOL, PT, REDE, REPUBLICANOS",59578502,54.45,291,56.73,279.34,11.66,-22.34,votes+seats,false
