election_year,cabinet_period,period_start,period_end,days,cabinet_status,cabinet_vote_share,cabinet_vote_share_pct,cabinet_seats,cabinet_seat_diff,cabinet_n_parties,cabinet_parties,unmapped_cabinet_parties,cabinet_min_ideology_index,cabinet_max_ideology_index,cabinet_leftmost_party,cabinet_rightmost_party,cabinet_span_width,cabinet_mean_ideology_value_unweighted,cabinet_median_ideology_value_unweighted,cabinet_mean_ideology_value_seat_weighted,cabinet_mean_ideology_value_vote_weighted,cabinet_ideology_summary,cabinet_center_count,cabinet_center_right_count,cabinet_center_left_count,cabinet_right_count,cabinet_left_count,cabinet_far_right_count,cabinet_far_left_count,closure_start_party,closure_end_party,closure_n_parties,closure_vote_share,closure_vote_share_pct,closure_seats,closure_seat_diff,closure_status,closure_parties,closure_gap_n,closure_gap_parties,closure_mean_ideology_value_unweighted,closure_median_ideology_value_unweighted,closure_mean_ideology_value_seat_weighted,closure_mean_ideology_value_vote_weighted,closure_ideology_summary,gap_ideology_summary,gap_center_count,gap_center_right_count,gap_center_left_count,gap_right_count,gap_left_count,gap_far_right_count,gap_far_left_count,closest_mcw_start_party,closest_mcw_end_party,closest_mcw_n_parties,closest_mcw_vote_share_pct,closest_mcw_seats,closest_mcw_seat_diff,closest_mcw_status,closest_mcw_overlap_n,closest_mcw_jaccard,closest_mcw_cabinet_coverage,closest_mcw_parties,closest_mci_start_party,closest_mci_end_party,closest_mci_n_parties,closest_mci_vote_share_pct,closest_mci_seats,closest_mci_seat_diff,closest_mci_overlap_n,closest_mci_jaccard,closest_mci_cabinet_coverage,closest_mci_parties,delta_cabinet_mean_ideology_value_unweighted,delta_cabinet_mean_ideology_value_seat_weighted,delta_cabinet_span_width,entered_ideology_summary,left_ideology_summary
2014,2015.1,2015-01-01,2016-03-23,448,votes+seats,0.5768532873908506,57.69,318,22.07426356849362,9,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",,5,32,PCdoB,PP,28,5.863333333333333,7.01,5.9918867924528305,5.886682617353252,left: 2; center-left: 1; center-right: 1; right: 5,0,1,1,5,2,0,0,PCdoB,PP,25,0.9045991656504069,90.46,472,7.940628021341297,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",16,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PROS, PRP, PTC, PSDC, PSL",6.476000000000002,7.09,6.0577118644067784,6.026277103108963,left: 2; center-left: 2; center: 2; center-right: 5; right: 14,center-left: 1; center: 2; center-right: 4; right: 9,2,4,1,9,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.3125,0.5555555555555556,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,4,0.21052631578947367,0.4444444444444444,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",,,,,
2014,2016.1,2016-03-24,2016-04-13,21,votes+seats,0.5314030494922755,53.14,297,24.390235610462696,8,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",,5,32,PCdoB,PP,28,5.623749999999999,6.555,5.865454545454545,5.724749550651771,left: 2; center-left: 1; center-right: 1; right: 4,0,1,1,4,2,0,0,PCdoB,PP,25,0.9045991656504069,90.46,472,7.940628021341297,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",17,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PROS, PRP, PRB, PTC, PSDC, PSL",6.476000000000002,7.09,6.0577118644067784,6.026277103108963,left: 2; center-left: 2; center: 2; center-right: 5; right: 14,center-left: 1; center: 2; center-right: 4; right: 10,2,4,1,10,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.3333333333333333,0.625,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,4,0.2222222222222222,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.23958333333333393,-0.12643224699828526,0,,right: 1
2014,2016.2,2016-04-14,2016-04-15,2,seats only,0.4653584948188879,46.54,259,20.271092157910488,7,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",,5,26,PCdoB,PR,22,5.255714285714285,6.1,5.522934362934363,5.373457341629286,left: 2; center-left: 1; center-right: 1; right: 3,0,1,1,3,2,0,0,PCdoB,PR,20,0.7760866854841902,77.61,408,9.867530346610408,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",13,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSDB, PTN, PPL, PRTB, PROS, PRP",6.0920000000000005,6.92,5.745612745098038,5.694018376177074,left: 2; center-left: 2; center: 2; center-right: 5; right: 9,center-left: 1; center: 2; center-right: 4; right: 6,2,4,1,6,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.35714285714285715,0.7142857142857143,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,4,0.23529411764705882,0.5714285714285714,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.368035714285714,-0.34252018252018246,-6,,right: 1
2014,2016.3,2016-04-16,2016-05-11,26,neither,0.4040577778598597,40.41,223,15.718359957891977,6,"PCdoB, PDT, PMDB, PR, PT, PTB",,5,26,PCdoB,PR,22,4.95,5.01,5.2699551569506715,5.113035933071779,left: 2; center-left: 1; center-right: 1; right: 2,0,1,1,2,2,0,0,PCdoB,PR,20,0.7760866854841902,77.61,408,9.867530346610408,votes+seats,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,"PSB, PPS, PV, PT DO B, SOLIDARIEDADE, PMN, PHS, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP",6.0920000000000005,6.92,5.745612745098038,5.694018376177074,left: 2; center-left: 2; center: 2; center-right: 5; right: 9,center-left: 1; center: 2; center-right: 4; right: 7,2,4,1,7,0,0,0,PCdoB,PMDB,12,50.17,265,7.62654104262208,votes+seats,5,0.38461538461538464,0.8333333333333334,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB",PTB,PR,14,47.59,257,12.856855412389535,3,0.17647058823529413,0.5,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",-0.30571428571428516,-0.2529792059836913,0,,right: 1
2014,2016.4,2016-05-12,2017-12-27,595,votes+seats,0.5393244114750998,53.93,291,14.326576913273811,9,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PTB, PV",,8,35,PSB,DEM,28,6.482222222222222,7.01,6.7632989690721645,6.742625756438026,center-left: 1; center: 2; center-right: 1; right: 4; far right: 1,2,1,1,4,0,1,0,PSB,DEM,25,0.7841986379095288,78.42,409,6.7060987524117195,votes+seats,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",16,"PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PSC, PEN",7.1415999999999995,7.27,6.997726161369191,7.003366881244341,center-left: 1; center: 2; center-right: 5; right: 15; far right: 2,center-right: 4; right: 11; far right: 1,0,4,0,11,0,1,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,7,0.5,0.7777777777777778,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,7,0.5,0.7777777777777778,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",1.532222222222222,1.493343812121493,6,center-left: 1; center: 2; right: 3; far right: 1,left: 2; center-left: 1; right: 1
2014,2017.1,2017-12-28,2018-04-06,100,seats only,0.49911919584823244,49.91,266,9.951852529856751,8,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",,8,35,PSB,DEM,28,6.53,7.05,6.825639097744361,6.794390760308615,center-left: 1; center: 2; right: 4; far right: 1,2,0,1,4,0,1,0,PSB,DEM,25,0.7841986379095288,78.42,409,6.7060987524117195,votes+seats,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP, PSC, PEN, DEM",17,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PSC, PEN",7.1415999999999995,7.27,6.997726161369191,7.003366881244341,center-left: 1; center: 2; center-right: 5; right: 15; far right: 2,center-right: 5; right: 11; far right: 1,0,5,0,11,0,1,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,6,0.42857142857142855,0.75,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,6,0.42857142857142855,0.75,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0.04777777777777814,0.06234012867219629,0,,center-right: 1
2014,2018.1,2018-04-07,2018-05-27,51,neither,0.37218391707558274,37.22,203,12.069650540226064,5,"PMDB, PP, PPS, PSD, PSDB",,10,32,PPS,PP,23,6.866,7.09,7.170591133004925,7.1521415033469715,center: 1; right: 4,1,0,0,4,0,0,0,PPS,PP,21,0.6451023433184784,64.51,339,8.062497877620615,votes+seats,"PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",16,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",7.097142857142858,7.24,7.135722713864306,7.126512937111323,center: 2; center-right: 5; right: 14,center: 1; center-right: 5; right: 10,1,5,0,10,0,0,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,4,0.3076923076923077,0.8,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,4,0.3076923076923077,0.8,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0.3359999999999994,0.3449520352605644,-5,,center-left: 1; center: 1; far right: 1
2014,2018.2,2018-05-28,2018-12-31,218,neither,0.3796121885602717,37.96,207,12.258947268580641,6,"PMDB, PP, PPS, PSD, PSDB, PTN",,10,32,PPS,PP,23,6.928333333333332,7.1,7.171932367149758,7.153860723079748,center: 1; right: 5,1,0,0,5,0,0,0,PPS,PP,21,0.6451023433184784,64.51,339,8.062497877620615,votes+seats,"PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP",15,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",7.097142857142858,7.24,7.135722713864306,7.126512937111323,center: 2; center-right: 5; right: 14,center: 1; center-right: 5; right: 9,1,5,0,9,0,0,0,PSB,PTN,12,48.92,260,9.032375702727137,seats only,5,0.38461538461538464,0.8333333333333334,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",PSB,PTN,12,48.92,260,9.032375702727137,5,0.38461538461538464,0.8333333333333334,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",0.06233333333333224,0.0013412341448324483,0,right: 1,
2018,2019.1,2019-01-01,2020-02-10,406,neither,0.36478773192960734,36.48,190,2.8638935201114464,7,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSL",,18,35,MDB,DEM,18,7.99,8.11,7.888105263157895,7.926981771890313,right: 5; far right: 2,0,0,0,5,0,2,0,MDB,DEM,18,0.6290560070764334,62.91,326,3.294268369789677,votes+seats,"MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC, PATRIOTA, DEM",11,"PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PTC, DC, PP, PSC",7.758333333333332,7.78,7.738527607361964,7.7527234882751435,right: 16; far right: 2,right: 11,0,0,0,11,0,0,0,PSDB,DEM,16,51.52,257,-7.292662922271063,votes+seats,6,0.35294117647058826,0.8571428571428571,"PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC, PATRIOTA, DEM",,,,,,,,,,,,,,,
2018,2020.1,2020-02-11,2020-02-14,4,neither,0.4247465633207784,42.47,220,2.1050130164406653,8,"DEM, MDB, NOVO, PATRIOTA, PR, PRB, PSDB, PSL",,18,35,MDB,DEM,18,7.880000000000002,7.945,7.782,7.811653534911884,right: 6; far right: 2,0,0,0,6,0,2,0,MDB,DEM,18,0.6290560070764334,62.91,326,3.294268369789677,votes+seats,"MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC, PATRIOTA, DEM",10,"PSD, PODE, PPL, PRTB, PROS, PRP, PTC, DC, PP, PSC",7.758333333333332,7.78,7.738527607361964,7.7527234882751435,right: 16; far right: 2,right: 10,0,0,0,10,0,0,0,PSDB,DEM,16,51.52,257,-7.292662922271063,votes+seats,7,0.4117647058823529,0.875,"PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC, PATRIOTA, DEM",,,,,,,,,,,-0.10999999999999854,-0.10610526315789492,0,right: 1,
