election_year,start_party,end_party,n_parties,vote_share,vote_share_pct,seats,quota,seat_diff,status,contains_PT,coalition_inversion,parties
2014,PCdoB,PMDB,12,0.5017026490397231,50.17,265,257.3734589573779,7.62654104262208,votes+seats,true,false,"PCdoB, PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB"
2014,PT,PSD,12,0.5433535478695912,54.34,291,278.7403700571003,12.259629942899721,votes+seats,true,false,"PT, PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD"
2014,PDT,PSDB,12,0.518029301192824,51.8,276,265.7490315119187,10.250968488081298,votes+seats,false,false,"PDT, PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB"
2014,PSB,PTN,12,0.4892156419050153,48.92,260,250.96762429727286,9.032375702727137,seats only,false,true,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN"
2014,PTB,PR,14,0.47591256254894826,47.59,257,244.14314458761046,12.856855412389535,seats only,false,true,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR"
2014,PT DO B,PSDC,16,0.48986848735612426,48.99,257,251.30253401369174,5.697465986308259,seats only,false,true,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC"
2014,SOLIDARIEDADE,PSL,16,0.48982958862231657,48.98,257,251.2825789632484,5.7174210367516025,seats only,false,true,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL"
2014,PMDB,PP,14,0.5137476260422206,51.37,272,263.55253215965917,8.447467840340835,votes+seats,false,false,"PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL, PP"
2018,PT,PSDB,15,0.5018337809531631,50.18,267,257.4407296289727,9.55927037102731,votes+seats,true,false,"PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PMB, PHS, MDB, PSD, PSDB"
2018,PDT,PR,20,0.5151997080523434,51.52,268,264.2974502308522,3.702549769147822,votes+seats,false,false,"PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PMB, PHS, MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR"
2018,PSB,PRB,20,0.5195007967805972,51.95,269,266.5039087484464,2.496091251553594,votes+seats,false,false,"PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PMB, PHS, MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB"
2018,SOLIDARIEDADE,PSL,17,0.5105437087508684,51.05,262,261.90892258919547,0.09107741080453025,votes+seats,false,false,"SOLIDARIEDADE, PMN, PMB, PHS, MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL"
2018,PMN,NOVO,17,0.5186342349130441,51.86,257,266.0593625103916,-9.059362510391622,votes+seats,false,false,"PMN, PMB, PHS, MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO"
2018,MDB,PP,15,0.5503577345928359,55.04,285,282.3335178461248,2.666482153875222,votes+seats,false,false,"MDB, PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP"
2018,PSD,PSC,15,0.5124990802855038,51.25,258,262.9120281864635,-4.912028186463488,votes+seats,false,false,"PSD, PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC"
2018,PSDB,DEM,16,0.5151903760668052,51.52,257,264.29266292227106,-7.292662922271063,votes+seats,false,false,"PSDB, PODE, PPL, PRTB, PROS, PRP, PR, PRB, PTC, DC, PSL, NOVO, PP, PSC, PATRIOTA, DEM"
2022,PT,PP,19,0.5785863204386061,57.86,284,296.81478238500495,-12.814782385004946,votes+seats,true,false,"PT, PSB, REDE, PDT, PV, SOLIDARIEDADE, CIDADANIA, AVANTE, MDB, PMN, PSDB, PSD, PMB, PODE, PROS, PRTB, AGIR, PTB, PP"
2022,PSB,PSC,21,0.5458354739891897,54.58,261,280.01359815645435,-19.01359815645435,votes+seats,false,false,"PSB, REDE, PDT, PV, SOLIDARIEDADE, CIDADANIA, AVANTE, MDB, PMN, PSDB, PSD, PMB, PODE, PROS, PRTB, AGIR, PTB, PP, DC, REPUBLICANOS, PSC"
2022,MDB,UNIÃO,15,0.49982222487556105,49.98,265,256.40880136116283,8.59119863883717,seats only,false,true,"MDB, PMN, PSDB, PSD, PMB, PODE, PROS, PRTB, AGIR, PTB, PP, DC, REPUBLICANOS, PSC, UNIÃO"
2022,PP,PL,8,0.4534989317772354,45.35,258,232.64495200172175,25.355047998278252,seats only,false,true,"PP, DC, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL"
