periodo,data_inicio,data_fim,partido
2015.1,2015-01-01,2016-03-23,MDB
2015.1,2015-01-01,2016-03-23,PCdoB
2015.1,2015-01-01,2016-03-23,PDT
2015.1,2015-01-01,2016-03-23,PL
2015.1,2015-01-01,2016-03-23,PP
2015.1,2015-01-01,2016-03-23,PSD
2015.1,2015-01-01,2016-03-23,PT
2015.1,2015-01-01,2016-03-23,PTB
2015.1,2015-01-01,2016-03-23,REPUBLICANOS
2016.1,2016-03-24,2016-04-13,MDB
2016.1,2016-03-24,2016-04-13,PCdoB
2016.1,2016-03-24,2016-04-13,PDT
2016.1,2016-03-24,2016-04-13,PL
2016.1,2016-03-24,2016-04-13,PP
2016.1,2016-03-24,2016-04-13,PSD
2016.1,2016-03-24,2016-04-13,PT
2016.1,2016-03-24,2016-04-13,PTB
2016.2,2016-04-14,2016-04-15,MDB
2016.2,2016-04-14,2016-04-15,PCdoB
2016.2,2016-04-14,2016-04-15,PDT
2016.2,2016-04-14,2016-04-15,PL
2016.2,2016-04-14,2016-04-15,PSD
2016.2,2016-04-14,2016-04-15,PT
2016.2,2016-04-14,2016-04-15,PTB
2016.3,2016-04-16,2016-05-11,MDB
2016.3,2016-04-16,2016-05-11,PCdoB
2016.3,2016-04-16,2016-05-11,PDT
2016.3,2016-04-16,2016-05-11,PL
2016.3,2016-04-16,2016-05-11,PT
2016.3,2016-04-16,2016-05-11,PTB
2016.4,2016-05-12,2017-12-27,DEM
2016.4,2016-05-12,2017-12-27,MDB
2016.4,2016-05-12,2017-12-27,PP
2016.4,2016-05-12,2017-12-27,PPS
2016.4,2016-05-12,2017-12-27,PSB
2016.4,2016-05-12,2017-12-27,PSD
2016.4,2016-05-12,2017-12-27,PSDB
2016.4,2016-05-12,2017-12-27,PTB
2016.4,2016-05-12,2017-12-27,PV
2017.1,2017-12-28,2018-04-06,DEM
2017.1,2017-12-28,2018-04-06,MDB
2017.1,2017-12-28,2018-04-06,PP
2017.1,2017-12-28,2018-04-06,PPS
2017.1,2017-12-28,2018-04-06,PSB
2017.1,2017-12-28,2018-04-06,PSD
2017.1,2017-12-28,2018-04-06,PSDB
2017.1,2017-12-28,2018-04-06,PV
2018.1,2018-04-07,2018-05-27,MDB
2018.1,2018-04-07,2018-05-27,PP
2018.1,2018-04-07,2018-05-27,PPS
2018.1,2018-04-07,2018-05-27,PSD
2018.1,2018-04-07,2018-05-27,PSDB
2018.2,2018-05-28,2018-12-31,MDB
2018.2,2018-05-28,2018-12-31,PODE
2018.2,2018-05-28,2018-12-31,PP
2018.2,2018-05-28,2018-12-31,PPS
2018.2,2018-05-28,2018-12-31,PSD
2018.2,2018-05-28,2018-12-31,PSDB
2019.1,2019-01-01,2020-02-10,DEM
2019.1,2019-01-01,2020-02-10,MDB
2019.1,2019-01-01,2020-02-10,NOVO
2019.1,2019-01-01,2020-02-10,PATRIOTA
2019.1,2019-01-01,2020-02-10,PL
2019.1,2019-01-01,2020-02-10,REPUBLICANOS
2019.1,2019-01-01,2020-02-10,PSL
2020.1,2020-02-11,2020-02-14,DEM
2020.1,2020-02-11,2020-02-14,MDB
2020.1,2020-02-11,2020-02-14,NOVO
2020.1,2020-02-11,2020-02-14,PATRIOTA
2020.1,2020-02-11,2020-02-14,PL
2020.1,2020-02-11,2020-02-14,REPUBLICANOS
2020.1,2020-02-11,2020-02-14,PSDB
2020.1,2020-02-11,2020-02-14,PSL
2020.2,2020-02-15,2020-06-16,DEM
2020.2,2020-02-15,2020-06-16,NOVO
2020.2,2020-02-15,2020-06-16,PATRIOTA
2020.2,2020-02-15,2020-06-16,PL
2020.2,2020-02-15,2020-06-16,REPUBLICANOS
2020.2,2020-02-15,2020-06-16,PSDB
2020.2,2020-02-15,2020-06-16,PSL
2020.3,2020-06-17,2020-12-09,DEM
2020.3,2020-06-17,2020-12-09,NOVO
2020.3,2020-06-17,2020-12-09,PATRIOTA
2020.3,2020-06-17,2020-12-09,PL
2020.3,2020-06-17,2020-12-09,REPUBLICANOS
2020.3,2020-06-17,2020-12-09,PSD
2020.3,2020-06-17,2020-12-09,PSDB
2020.3,2020-06-17,2020-12-09,PSL
2020.4,2020-12-10,2021-03-28,DEM
2020.4,2020-12-10,2021-03-28,NOVO
2020.4,2020-12-10,2021-03-28,PATRIOTA
