candidate_name,ballot_name,candidate_id,uf,raw_party,canonical_party,DS_CARGO,DS_SITUACAO_CANDIDATURA,CD_SITUACAO_CANDIDATURA,DS_SIT_TOT_TURNO,CD_SIT_TOT_TURNO,current_loader_counts,raw_party_seat_count,canonical_party_seat_count,psc_current_winner
LEDA MARIA SADALA BRITO,LEDA SADALA,30000619275,AP,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,7,7,false
MANOEL ISIDORIO DE SANTANA JUNIOR,PASTOR SARGENTO ISIDÓRIO,50000608176,BA,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,7,7,false
CARLOS TITO MARQUES CORDEIRO,TITO,50000608186,BA,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,7,7,false
LUIS HENRIQUE DE OLIVEIRA RESENDE,LUIS TIBE,130000606453,MG,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,7,7,false
ANDRE LUIS GASPAR JANONES,ANDRE JANONES,130000606459,MG,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,7,7,false
GREYCE DE QUEIROZ ELIAS,GREYCE ELIAS,130000606513,MG,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,7,7,false
JOÃO FRANCISCO INÁCIO BRAZÃO,CHIQUINHO BRAZÃO,190000616200,RJ,AVANTE,AVANTE,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,7,7,false
LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,LUIZ ANTÔNIO,190000625195,RJ,DC,DC,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,1,1,false
ALAN RICK MIRANDA,ALAN RICK,10000602509,AC,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
ARTHUR DE OLIVEIRA MAIA DA SILVA,ARTHUR MAIA,50000608629,BA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
ELMAR JOSÉ VIEIRA NASCIMENTO,ELMAR,50000608631,BA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,LEUR LOMANTO JR,50000608636,BA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
PAULO VELLOSO DANTAS AZI,PAULO AZI,50000608640,BA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
LUIS CLAUDIO FERNANDES MIRANDA,LUIS MIRANDA,70000625533,DF,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
NORMA AYUB ALVES,NORMA AYUB,80000622450,ES,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
JOSE MARIO SCHREINER,ZÉ MARIO,90000616000,GO,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
ZACARIAS CALIL HAMU,DR. ZACARIAS CALIL,90000616011,GO,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
JOSÉ JUSCELINO DOS SANTOS REZENDE FILHO,JUSCELINO FILHO,100000601901,MA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
OLAVO BILAC PINTO NETO,BILAC PINTO,130000613261,MG,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
TEREZA CRISTINA CORREA DA COSTA DIAS,TEREZA CRISTINA,120000613465,MS,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
HÉLIO LEITE DA SILVA,HÉLIO LEITE,140000613810,PA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
OLIVAL HENRIQUE MARQUES DE SOUZA,OLIVAL MARQUES,140000613811,PA,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
EFRAIM DE ARAUJO MORAIS FILHO,EFRAIM FILHO,150000608820,PB,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
FERNANDO BEZERRA DE SOUZA COELHO FILHO,FERNANDO FILHO,170000616977,PE,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
PEDRO DEBONI LUPION MELLO,PEDRO LUPION,160000623128,PR,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RODRIGO MAIA,190000607414,RJ,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
ROGERIO TEIXEIRA JUNIOR,JUNINHO DO PNEU,190000607415,RJ,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
PEDRO PAULO CARVALHO TEIXEIRA,PEDRO PAULO,190000607425,RJ,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
SÓSTENES SILVA CAVALCANTE,SÓSTENES,190000607427,RJ,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
ONYX DORNELLES LORENZONI,ONYX LORENZONI,210000603662,RS,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
ADRIANO ELI CORRÊA,ELI CORRÊA FILHO,250000605456,SP,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
ALEXANDRE LEITE DA SILVA,ALEXANDRE LEITE,250000605457,SP,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
DAVID BEZERRA RIBEIRO SOARES,DAVID SOARES,250000605458,SP,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
EUGENIO JOSÉ ZULIANI,GENINHO ZULIANI,250000605462,SP,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
KIM PATROCA KATAGUIRI,KIM KATAGUIRI,250000605466,SP,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
CARLOS HENRIQUE AMORIM,CARLOS HENRIQUE GAGUIM,270000618828,TO,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR QP,2,true,29,29,false
MARIA AUXILIADORA SEABRA REZENDE,PROFESSORA DORINHA,270000618831,TO,DEM,DEM,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,29,29,false
FLAVIANO FLAVIO BAPTISTA DE MELO,FLAVIANO MELO,10000602515,AC,MDB,MDB,DEPUTADO FEDERAL,APTO,12,ELEITO POR MÉDIA,3,true,34,34,false
